rule_id,rule_name,rule_type,threshold_value,weight,severity_level,recommendation_text
34,White Space Ratio,formatting,24,0.65,Low,Ensure the resume doesn't look cluttered or sparse
35,Experience Date Format,formatting,2,0.65,Low,Include both start and end dates for each role
36,Action Verb Usage,content,70,0.06,High,"Use past tense for previous roles, present for current"
37,Tense Consistency,grammar,95,0.65,Medium,Use present tense only for current role
38,Gap Analysis,timeline,12,0.48,High,Use functional format if gaps are significant
39,Quantified Achievements,content,64,0.76,High,Include at least 2-3 metrics per role
40,File Naming Convention,formatting,3,1.0,Low,Include target role in filename for organization
41,Skills Section Format,formatting,13,0.78,Medium,Prioritize hard skills over soft skills in this section
42,Keyword Density,content,26,0.78,Medium,Don't keyword-stuff — maintain readability
43,Quantified Achievements,content,34,0.66,High,Use numbers to differentiate your resume from generic ones
44,Acronym Expansion,content,3,0.98,Low,Use industry-standard acronyms without expansion
45,Contact Information Completeness,content,3,0.88,Critical,Add LinkedIn profile URL for professional credibility
46,Resume Length,formatting,2,0.97,High,Keep resume to 1 page for less than 10 years experience
47,Personal Pronoun Usage,grammar,1,0.18,High,Start bullets with action verbs instead of pronouns
48,Hyperlink Validation,formatting,1,0.75,Low,"Include LinkedIn, portfolio, or GitHub links"
49,White Space Ratio,formatting,36,0.81,Low,Maintain 20-30% white space for readability
50,White Space Ratio,formatting,37,0.41,Low,Avoid cramming text — use proper margins and spacing
51,Contact Information Completeness,content,4,0.56,High,Add LinkedIn profile URL for professional credibility
52,Relevance Score,content,67,0.1,Medium,Highlight transferable skills from unrelated roles
53,Font Consistency,formatting,2,0.9,Medium,Avoid decorative or script fonts
54,Keyword Density,content,15,0.05,Medium,Don't keyword-stuff — maintain readability
55,Quantified Achievements,content,75,0.25,Critical,"Add team sizes, project budgets, or user counts"
56,Certification Listing,content,9,0.77,Low,List certifications with issuing body and date
57,Summary Section Length,formatting,39,0.78,Medium,Summary should be 50-80 words for optimal impact
58,Action Verb Usage,content,85,0.42,Medium,Choose action verbs that demonstrate leadership and impact
59,Experience Date Format,formatting,2,0.26,Medium,Use consistent date format (Month Year - Month Year)
60,Quantified Achievements,content,38,0.74,High,Include at least 2-3 metrics per role
61,Gap Analysis,timeline,21,0.47,Medium,Use functional format if gaps are significant
62,Hyperlink Validation,formatting,2,0.65,Medium,Ensure all URLs are clickable and functional
63,Personal Pronoun Usage,grammar,2,0.27,Medium,Avoid third-person references as well
64,Keyword Density,content,14,0.2,Medium,Match exact phrases from the job posting when possible
65,Project Showcase,content,3,0.41,High,Include 2-3 key projects with measurable outcomes
66,Quantified Achievements,content,37,0.45,Critical,Use numbers to differentiate your resume from generic ones
67,Skills Section Format,formatting,20,0.55,Medium,List 8-15 most relevant skills for the target role
68,Section Order,structure,6,0.88,High,Lead with Summary/Profile section for immediate impact
69,Hyperlink Validation,formatting,3,0.1,Medium,Use shortened URLs for cleaner formatting
70,Contact Information Completeness,content,5,0.66,Critical,Include city and state (full address not required)
71,Education Section Detail,content,5,0.13,Medium,"Include honors, Dean's List, or academic awards"
72,Contact Information Completeness,content,6,0.26,High,Ensure email is professional (not personal/funny)
73,ATS-Friendly Formatting,compatibility,3,0.58,High,Don't put critical info in headers or footers
74,Gap Analysis,timeline,12,0.09,Critical,Be prepared to explain gaps in interviews
75,Contact Information Completeness,content,3,0.97,High,"Include full name, email, phone, LinkedIn, and location"
76,Action Verb Usage,content,83,0.73,High,Choose action verbs that demonstrate leadership and impact
77,Bullet Point Length,formatting,21,0.59,Medium,Shorten overly long bullets to focus on key results
78,Personal Pronoun Usage,grammar,0,0.69,High,Avoid third-person references as well
79,Bullet Point Count Per Role,formatting,4,0.07,High,Reduce bullet points to highlight key achievements only
80,Education Section Detail,content,2,0.81,Medium,List certifications separately from formal education
81,Certification Listing,content,7,0.83,Medium,Prioritize industry-recognized certifications
82,White Space Ratio,formatting,31,0.47,Low,Use consistent spacing between sections
83,Bullet Point Length,formatting,20,0.99,Medium,Expand brief bullets with metrics and context
84,Quantified Achievements,content,79,0.58,Medium,"Quantify impact with percentages, dollars, or timeframes"
85,Acronym Expansion,content,6,0.79,Medium,Don't assume the reader knows company-specific acronyms
86,Skills Section Format,formatting,20,0.38,Low,Use industry-standard skill names for ATS matching
87,Acronym Expansion,content,4,0.15,Medium,Don't assume the reader knows company-specific acronyms
88,Certification Listing,content,1,0.64,Medium,Prioritize industry-recognized certifications
89,File Naming Convention,formatting,1,0.3,Low,Avoid generic names like 'resume.pdf' or 'document.docx'
90,Spelling and Grammar,grammar,98,0.82,Critical,Have a peer review your resume before submitting
91,White Space Ratio,formatting,25,0.07,Low,Use consistent spacing between sections
92,Experience Date Format,formatting,3,0.43,Medium,Include both start and end dates for each role
93,Spelling and Grammar,grammar,95,0.14,High,Proofread thoroughly — spelling errors are automatic rejections
94,Relevance Score,content,98,0.19,High,Highlight transferable skills from unrelated roles
95,Education Section Detail,content,4,0.93,Medium,Add relevant coursework for entry-level candidates
96,Contact Information Completeness,content,5,1.0,High,Include city and state (full address not required)
97,Keyword Density,content,6,0.68,Medium,Distribute keywords naturally throughout the resume
98,Quantified Achievements,content,31,0.84,High,"Quantify impact with percentages, dollars, or timeframes"
99,Action Verb Usage,content,75,0.67,Medium,Choose action verbs that demonstrate leadership and impact
100,Experience Date Format,formatting,2,0.28,Low,Use 'Present' for current positions
101,Bullet Point Count Per Role,formatting,7,0.44,Medium,Consolidate similar bullets into stronger impact statements
102,Acronym Expansion,content,10,0.23,Low,Balance between full terms (ATS) and acronyms (readability)
103,Personal Pronoun Usage,grammar,4,0.76,High,Avoid third-person references as well
104,Spelling and Grammar,grammar,97,0.4,Critical,Pay special attention to company and technology names
105,Action Verb Usage,content,80,0.96,High,Start every bullet point with a strong action verb
106,Summary Section Length,formatting,50,0.14,Low,Summary should be 50-80 words for optimal impact
107,Personal Pronoun Usage,grammar,5,0.15,High,Resume should use implied first person
108,Relevance Score,content,54,0.49,High,Remove irrelevant experience for focused applications
109,Gap Analysis,timeline,1,0.52,High,Be prepared to explain gaps in interviews
110,ATS-Friendly Formatting,compatibility,1,0.58,High,"Avoid tables, text boxes, and columns for ATS parsing"
111,Acronym Expansion,content,1,0.87,Medium,Balance between full terms (ATS) and acronyms (readability)
112,Summary Section Length,formatting,34,0.96,Medium,Keep professional summary to 3-4 sentences maximum
113,Quantified Achievements,content,66,0.73,High,Include at least 2-3 metrics per role
114,Tense Consistency,grammar,93,0.25,Low,Avoid mixing tenses within the same section
115,Keyword Density,content,14,0.27,High,Don't keyword-stuff — maintain readability
116,Personal Pronoun Usage,grammar,3,0.87,Medium,Resume should use implied first person
117,Relevance Score,content,43,0.79,High,Tailor resume content to match the target role by 70%+
118,Section Order,structure,5,0.74,Medium,Put Skills section near the top for ATS optimization
119,Certification Listing,content,3,0.84,Low,Include certification ID or verification link
120,Bullet Point Count Per Role,formatting,8,0.37,Medium,Use 3-6 bullet points per role for optimal readability
121,Contact Information Completeness,content,6,0.41,Critical,Ensure email is professional (not personal/funny)
122,Tense Consistency,grammar,84,0.14,Medium,Use present tense only for current role
123,White Space Ratio,formatting,25,0.52,Medium,Use consistent spacing between sections
124,Skills Section Format,formatting,13,0.27,Medium,List 8-15 most relevant skills for the target role
125,File Naming Convention,formatting,3,0.48,Low,Include target role in filename for organization
126,Contact Information Completeness,content,5,0.98,High,"Include full name, email, phone, LinkedIn, and location"
127,Bullet Point Length,formatting,21,0.05,Low,Keep bullet points between 1-2 lines for scannability
128,Personal Pronoun Usage,grammar,0,0.42,Medium,Resume should use implied first person
129,Bullet Point Count Per Role,formatting,7,0.87,High,Add more bullet points to fully describe your contributions
130,Skills Section Format,formatting,11,0.56,Medium,List 8-15 most relevant skills for the target role
131,White Space Ratio,formatting,23,0.6,Low,Use consistent spacing between sections
132,Keyword Density,content,27,0.82,Medium,Distribute keywords naturally throughout the resume
133,Keyword Density,content,5,0.82,Medium,Include 15-25 relevant keywords from the job description
134,Resume Length,formatting,2,0.7,Medium,Remove outdated roles beyond 15 years
135,Gap Analysis,timeline,16,0.52,Medium,Address employment gaps longer than 6 months
136,Relevance Score,content,49,0.93,High,Customize skills section for each application
137,Acronym Expansion,content,7,0.69,Medium,Spell out acronyms on first use with abbreviation in parentheses
138,Section Order,structure,3,0.18,Medium,Order sections by relevance to target role
139,Tense Consistency,grammar,86,0.39,Medium,Use past tense for all previous positions
140,Tense Consistency,grammar,98,0.68,Low,Use past tense for all previous positions
141,Education Section Detail,content,5,0.35,Low,"Include honors, Dean's List, or academic awards"
142,Keyword Density,content,29,0.95,Medium,Don't keyword-stuff — maintain readability
143,ATS-Friendly Formatting,compatibility,4,0.13,Critical,Don't put critical info in headers or footers
144,Bullet Point Count Per Role,formatting,6,0.58,Low,Add more bullet points to fully describe your contributions
145,Relevance Score,content,64,0.99,High,Customize skills section for each application
146,Project Showcase,content,3,0.23,Medium,Include 2-3 key projects with measurable outcomes
147,Section Order,structure,3,0.75,Medium,Order sections by relevance to target role
148,Acronym Expansion,content,1,0.42,Low,Don't assume the reader knows company-specific acronyms
149,White Space Ratio,formatting,37,0.75,Low,Ensure the resume doesn't look cluttered or sparse
150,Personal Pronoun Usage,grammar,1,0.92,High,"Remove all first-person pronouns (I, me, my)"
151,Contact Information Completeness,content,6,0.73,High,Add LinkedIn profile URL for professional credibility
152,Section Order,structure,6,0.25,Medium,Put Skills section near the top for ATS optimization
153,File Naming Convention,formatting,3,0.93,Low,Name file: FirstName_LastName_Resume.pdf
154,Experience Date Format,formatting,1,0.91,Medium,Use consistent date format (Month Year - Month Year)
155,Hyperlink Validation,formatting,2,0.84,Low,Use shortened URLs for cleaner formatting
156,White Space Ratio,formatting,32,0.18,Low,Avoid cramming text — use proper margins and spacing
157,Action Verb Usage,content,99,0.7,High,Choose action verbs that demonstrate leadership and impact
158,Spelling and Grammar,grammar,100,0.94,Critical,Use Grammarly or similar tools for final review
159,File Naming Convention,formatting,3,0.71,Low,Never use special characters in filename
160,ATS-Friendly Formatting,compatibility,4,0.85,Critical,Save as .docx or .pdf only — avoid .jpg or .png
161,Experience Date Format,formatting,4,0.65,Medium,Use consistent date format (Month Year - Month Year)
162,Font Consistency,formatting,1,0.68,Medium,Keep font size between 10-12pt for body text
163,Action Verb Usage,content,64,0.2,Medium,Start every bullet point with a strong action verb
164,Tense Consistency,grammar,82,0.21,Low,Be consistent within each role's bullet points
165,Certification Listing,content,4,0.56,Medium,Prioritize industry-recognized certifications
166,Resume Length,formatting,3,0.77,High,Keep resume to 1 page for less than 10 years experience
167,Font Consistency,formatting,1,0.24,Low,Avoid decorative or script fonts
168,Personal Pronoun Usage,grammar,0,0.15,High,Avoid third-person references as well
169,Action Verb Usage,content,62,0.13,High,Avoid repeating the same action verb within a role
170,Spelling and Grammar,grammar,95,0.63,High,Pay special attention to company and technology names
171,Keyword Density,content,28,0.62,Medium,Match exact phrases from the job posting when possible
172,Bullet Point Length,formatting,16,0.35,Low,Expand brief bullets with metrics and context
173,Gap Analysis,timeline,0,0.87,Medium,"Include freelance, volunteer, or education during gaps"
174,Quantified Achievements,content,41,0.24,High,Use numbers to differentiate your resume from generic ones
175,File Naming Convention,formatting,1,0.2,Low,Never use special characters in filename
176,Resume Length,formatting,3,0.22,Medium,2-page maximum for senior professionals
177,Experience Date Format,formatting,3,0.88,Medium,Use consistent date format (Month Year - Month Year)
178,Section Order,structure,7,0.58,Medium,Order sections by relevance to target role
179,Summary Section Length,formatting,65,0.16,Medium,Keep professional summary to 3-4 sentences maximum
180,Section Order,structure,4,0.74,Medium,Lead with Summary/Profile section for immediate impact
181,Education Section Detail,content,4,0.91,Low,Add relevant coursework for entry-level candidates
182,Hyperlink Validation,formatting,1,0.05,Low,Use shortened URLs for cleaner formatting
183,Bullet Point Length,formatting,22,0.77,Low,Keep bullet points between 1-2 lines for scannability
184,Bullet Point Length,formatting,12,0.83,Low,Expand brief bullets with metrics and context
185,Tense Consistency,grammar,98,0.7,Medium,Be consistent within each role's bullet points
186,Font Consistency,formatting,2,0.63,Low,Avoid decorative or script fonts
187,White Space Ratio,formatting,40,0.92,Medium,Ensure the resume doesn't look cluttered or sparse
188,Summary Section Length,formatting,59,0.19,Medium,Summary should be 50-80 words for optimal impact
189,File Naming Convention,formatting,3,1.0,Low,Never use special characters in filename
190,Skills Section Format,formatting,16,0.82,Low,Prioritize hard skills over soft skills in this section
191,Summary Section Length,formatting,32,0.73,Medium,Include 2-3 key achievements in your summary
192,Acronym Expansion,content,4,0.85,Medium,Use industry-standard acronyms without expansion
193,White Space Ratio,formatting,26,0.89,Medium,Ensure the resume doesn't look cluttered or sparse
194,Keyword Density,content,28,0.95,High,Match exact phrases from the job posting when possible
195,Keyword Density,content,16,0.68,High,Don't keyword-stuff — maintain readability
196,Summary Section Length,formatting,76,0.26,Low,Summary should be 50-80 words for optimal impact
197,Experience Date Format,formatting,2,0.57,Medium,Avoid listing only years — include months for precision
198,Project Showcase,content,4,0.25,High,"Quantify project impact (users, revenue, efficiency)"
199,Summary Section Length,formatting,60,0.34,Low,Include 2-3 key achievements in your summary
200,Project Showcase,content,5,0.24,High,Include 2-3 key projects with measurable outcomes
201,Education Section Detail,content,3,0.22,Medium,List certifications separately from formal education
202,Keyword Density,content,5,0.59,Medium,Match exact phrases from the job posting when possible
203,Skills Section Format,formatting,13,0.6,Low,Prioritize hard skills over soft skills in this section
204,Experience Date Format,formatting,2,0.5,Medium,Use 'Present' for current positions
205,Certification Listing,content,2,0.63,Medium,Prioritize industry-recognized certifications
206,Project Showcase,content,5,0.8,Medium,Include 2-3 key projects with measurable outcomes
207,Section Order,structure,1,0.36,Medium,Place Experience section before Education for 3+ years experience
208,Section Order,structure,3,0.76,High,Lead with Summary/Profile section for immediate impact
209,Experience Date Format,formatting,3,0.64,Low,Use 'Present' for current positions
210,Education Section Detail,content,5,0.72,Medium,"Include honors, Dean's List, or academic awards"
211,Resume Length,formatting,2,0.91,Medium,2-page maximum for senior professionals
212,Summary Section Length,formatting,40,0.56,Medium,Keep professional summary to 3-4 sentences maximum
213,Relevance Score,content,66,0.71,Medium,Customize skills section for each application
214,Quantified Achievements,content,74,0.68,Medium,Include at least 2-3 metrics per role
215,Summary Section Length,formatting,58,0.18,Low,Keep professional summary to 3-4 sentences maximum
216,Font Consistency,formatting,2,0.21,Medium,Avoid decorative or script fonts
217,Bullet Point Count Per Role,formatting,7,0.93,High,Add more bullet points to fully describe your contributions
218,Gap Analysis,timeline,18,0.9,Medium,Be prepared to explain gaps in interviews
219,Tense Consistency,grammar,98,0.99,Medium,Be consistent within each role's bullet points
220,White Space Ratio,formatting,22,0.64,Low,Avoid cramming text — use proper margins and spacing
221,Hyperlink Validation,formatting,3,0.99,Low,Ensure all URLs are clickable and functional
222,Hyperlink Validation,formatting,1,0.73,Medium,Verify links point to professional content
223,Section Order,structure,3,0.64,High,Place Experience section before Education for 3+ years experience
224,Gap Analysis,timeline,13,0.86,Medium,"Include freelance, volunteer, or education during gaps"
225,Experience Date Format,formatting,3,0.35,Low,Avoid listing only years — include months for precision
226,Skills Section Format,formatting,6,0.3,Low,Use industry-standard skill names for ATS matching
227,ATS-Friendly Formatting,compatibility,3,0.76,High,Save as .docx or .pdf only — avoid .jpg or .png
228,Project Showcase,content,4,0.57,Medium,"Quantify project impact (users, revenue, efficiency)"
229,Summary Section Length,formatting,69,0.34,Low,Keep professional summary to 3-4 sentences maximum
230,Experience Date Format,formatting,4,0.08,Medium,Avoid listing only years — include months for precision
231,Hyperlink Validation,formatting,2,0.4,Medium,Verify links point to professional content
232,Personal Pronoun Usage,grammar,3,0.18,High,Resume should use implied first person
233,White Space Ratio,formatting,28,0.32,Low,Ensure the resume doesn't look cluttered or sparse
234,Section Order,structure,4,0.87,Medium,Order sections by relevance to target role
235,Contact Information Completeness,content,3,0.28,High,"Include full name, email, phone, LinkedIn, and location"
236,Skills Section Format,formatting,16,0.59,Low,List 8-15 most relevant skills for the target role
237,Action Verb Usage,content,65,0.74,Medium,Start every bullet point with a strong action verb
238,Certification Listing,content,5,0.6,Low,Include certification ID or verification link
239,Keyword Density,content,25,0.63,High,Include 15-25 relevant keywords from the job description
240,Bullet Point Length,formatting,14,0.93,Low,Expand brief bullets with metrics and context
241,Skills Section Format,formatting,7,0.46,Low,"Group skills by category (Technical, Soft, Tools)"
242,Hyperlink Validation,formatting,1,0.73,Low,Ensure all URLs are clickable and functional
243,Font Consistency,formatting,2,0.83,Low,Avoid decorative or script fonts
244,Spelling and Grammar,grammar,98,0.32,High,Pay special attention to company and technology names
245,Hyperlink Validation,formatting,4,0.23,Low,Use shortened URLs for cleaner formatting
246,Bullet Point Count Per Role,formatting,3,0.3,Low,Reduce bullet points to highlight key achievements only
247,Acronym Expansion,content,10,0.72,Low,Spell out acronyms on first use with abbreviation in parentheses
248,Section Order,structure,2,0.77,Medium,Order sections by relevance to target role
249,Action Verb Usage,content,70,0.62,High,"Use past tense for previous roles, present for current"
250,Personal Pronoun Usage,grammar,5,0.46,High,Start bullets with action verbs instead of pronouns
251,White Space Ratio,formatting,27,0.32,Low,Use consistent spacing between sections
252,Skills Section Format,formatting,7,0.52,Low,"Group skills by category (Technical, Soft, Tools)"
253,Certification Listing,content,0,0.69,Medium,List certifications with issuing body and date
254,Spelling and Grammar,grammar,98,0.35,High,Proofread thoroughly — spelling errors are automatic rejections
255,Project Showcase,content,3,0.74,Medium,"Quantify project impact (users, revenue, efficiency)"
256,Education Section Detail,content,5,0.4,Medium,List certifications separately from formal education
257,Resume Length,formatting,2,0.27,High,2-page maximum for senior professionals
258,Skills Section Format,formatting,6,0.49,Medium,Prioritize hard skills over soft skills in this section
259,Keyword Density,content,15,0.88,High,Match exact phrases from the job posting when possible
260,Keyword Density,content,19,0.75,Medium,Distribute keywords naturally throughout the resume
261,Font Consistency,formatting,2,0.8,Low,Keep font size between 10-12pt for body text
262,Font Consistency,formatting,3,0.4,Low,Avoid decorative or script fonts
263,ATS-Friendly Formatting,compatibility,2,0.26,High,"Use standard section headers (Experience, Education, Skills)"
264,Bullet Point Count Per Role,formatting,6,0.31,Medium,Reduce bullet points to highlight key achievements only
265,Experience Date Format,formatting,1,0.2,Medium,Avoid listing only years — include months for precision
266,Acronym Expansion,content,5,0.51,Low,Use industry-standard acronyms without expansion
267,Certification Listing,content,7,0.95,Medium,Remove expired certifications unless renewal is pending
268,Skills Section Format,formatting,20,0.96,Low,Use industry-standard skill names for ATS matching
269,Section Order,structure,3,0.18,High,Order sections by relevance to target role
270,Personal Pronoun Usage,grammar,3,0.52,Medium,Avoid third-person references as well
271,Resume Length,formatting,3,0.65,Medium,Remove outdated roles beyond 15 years
272,Hyperlink Validation,formatting,4,0.62,Medium,Ensure all URLs are clickable and functional
273,Personal Pronoun Usage,grammar,2,0.82,High,Resume should use implied first person
274,Summary Section Length,formatting,53,0.07,Medium,Keep professional summary to 3-4 sentences maximum
275,White Space Ratio,formatting,33,0.95,Low,Avoid cramming text — use proper margins and spacing
276,Spelling and Grammar,grammar,96,0.8,Critical,Pay special attention to company and technology names
277,Acronym Expansion,content,6,0.91,Medium,Use industry-standard acronyms without expansion
278,Education Section Detail,content,3,0.51,Low,Add relevant coursework for entry-level candidates
279,Tense Consistency,grammar,80,0.41,Medium,Use past tense for all previous positions
280,Summary Section Length,formatting,69,0.55,Medium,Keep professional summary to 3-4 sentences maximum
281,Keyword Density,content,24,0.48,High,Include 15-25 relevant keywords from the job description
282,Project Showcase,content,2,0.4,High,Describe your specific role and contribution
283,Project Showcase,content,1,0.26,High,Describe your specific role and contribution
284,Bullet Point Count Per Role,formatting,5,0.58,Medium,Consolidate similar bullets into stronger impact statements
285,Quantified Achievements,content,50,0.62,High,"Add team sizes, project budgets, or user counts"
286,Acronym Expansion,content,4,0.33,Low,Spell out acronyms on first use with abbreviation in parentheses
287,Bullet Point Length,formatting,16,0.8,Medium,Keep bullet points between 1-2 lines for scannability
288,ATS-Friendly Formatting,compatibility,1,0.24,Critical,Save as .docx or .pdf only — avoid .jpg or .png
289,Resume Length,formatting,1,0.12,Medium,Prioritize recent and relevant experience
290,Keyword Density,content,29,0.64,Medium,Match exact phrases from the job posting when possible
291,Acronym Expansion,content,3,0.15,Medium,Don't assume the reader knows company-specific acronyms
292,Quantified Achievements,content,59,0.72,High,"Quantify impact with percentages, dollars, or timeframes"
293,Keyword Density,content,14,0.36,Medium,Distribute keywords naturally throughout the resume
294,Bullet Point Count Per Role,formatting,3,0.57,Low,Add more bullet points to fully describe your contributions
295,White Space Ratio,formatting,24,0.57,Medium,Ensure the resume doesn't look cluttered or sparse
296,File Naming Convention,formatting,2,0.22,Low,Never use special characters in filename
297,Relevance Score,content,93,0.36,Medium,Highlight transferable skills from unrelated roles
298,Project Showcase,content,5,0.74,Medium,Include 2-3 key projects with measurable outcomes
299,Spelling and Grammar,grammar,96,0.93,Critical,Proofread thoroughly — spelling errors are automatic rejections
300,Summary Section Length,formatting,39,0.94,Low,Summary should be 50-80 words for optimal impact
301,Action Verb Usage,content,65,0.37,High,"Use past tense for previous roles, present for current"
302,ATS-Friendly Formatting,compatibility,3,0.43,High,Don't put critical info in headers or footers
303,Bullet Point Length,formatting,23,0.2,Medium,Expand brief bullets with metrics and context
304,Section Order,structure,7,0.2,Medium,Put Skills section near the top for ATS optimization
305,Project Showcase,content,3,0.1,Medium,Describe your specific role and contribution
306,Hyperlink Validation,formatting,4,0.66,Low,Ensure all URLs are clickable and functional
307,Spelling and Grammar,grammar,96,0.09,Critical,Proofread thoroughly — spelling errors are automatic rejections
308,Project Showcase,content,2,0.53,Medium,Describe your specific role and contribution
309,Education Section Detail,content,5,0.53,Medium,"Include degree, institution, graduation year, and GPA if above 3.5"
310,Resume Length,formatting,2,0.57,Medium,Prioritize recent and relevant experience
311,Bullet Point Length,formatting,16,0.27,Low,Keep bullet points between 1-2 lines for scannability
312,Tense Consistency,grammar,80,0.6,Medium,Use past tense for all previous positions
313,White Space Ratio,formatting,36,0.25,Low,Ensure the resume doesn't look cluttered or sparse
314,Acronym Expansion,content,1,0.58,Medium,Don't assume the reader knows company-specific acronyms
315,Personal Pronoun Usage,grammar,3,0.77,Medium,Start bullets with action verbs instead of pronouns
316,Quantified Achievements,content,51,0.9,Medium,"Add team sizes, project budgets, or user counts"
317,Font Consistency,formatting,1,0.08,Medium,Avoid decorative or script fonts
318,Relevance Score,content,81,0.23,High,Remove irrelevant experience for focused applications
319,Bullet Point Length,formatting,22,0.94,Low,Expand brief bullets with metrics and context
320,Experience Date Format,formatting,2,0.89,Medium,Include both start and end dates for each role
321,Resume Length,formatting,2,0.67,High,Keep resume to 1 page for less than 10 years experience
322,Action Verb Usage,content,96,0.54,High,Avoid repeating the same action verb within a role
323,Resume Length,formatting,1,0.87,Medium,2-page maximum for senior professionals
324,Experience Date Format,formatting,4,0.48,Medium,Use 'Present' for current positions
325,Font Consistency,formatting,3,0.51,Low,Avoid decorative or script fonts
326,Relevance Score,content,58,0.64,Medium,Tailor resume content to match the target role by 70%+
327,Bullet Point Count Per Role,formatting,3,0.86,High,Use 3-6 bullet points per role for optimal readability
328,Quantified Achievements,content,30,0.41,High,Use numbers to differentiate your resume from generic ones
329,Gap Analysis,timeline,5,0.4,Medium,Address employment gaps longer than 6 months
330,File Naming Convention,formatting,1,0.12,Low,Include target role in filename for organization
331,ATS-Friendly Formatting,compatibility,1,0.9,Critical,"Avoid tables, text boxes, and columns for ATS parsing"
332,Resume Length,formatting,1,0.93,High,Prioritize recent and relevant experience
333,Experience Date Format,formatting,1,0.22,Low,Avoid listing only years — include months for precision
334,Contact Information Completeness,content,3,0.88,High,Ensure email is professional (not personal/funny)
335,Gap Analysis,timeline,22,0.31,Critical,"Include freelance, volunteer, or education during gaps"
336,Spelling and Grammar,grammar,99,0.74,Critical,Proofread thoroughly — spelling errors are automatic rejections
337,Summary Section Length,formatting,43,0.69,Low,Include 2-3 key achievements in your summary
338,Bullet Point Count Per Role,formatting,3,0.84,Medium,Consolidate similar bullets into stronger impact statements
339,ATS-Friendly Formatting,compatibility,2,0.67,High,"Avoid tables, text boxes, and columns for ATS parsing"
340,Project Showcase,content,3,0.24,High,Link to live projects or case studies when possible
341,Quantified Achievements,content,31,0.97,Critical,"Add team sizes, project budgets, or user counts"
342,Experience Date Format,formatting,2,1.0,Medium,Use consistent date format (Month Year - Month Year)
343,Bullet Point Length,formatting,23,0.73,Medium,Keep bullet points between 1-2 lines for scannability
344,Certification Listing,content,0,0.13,Medium,Prioritize industry-recognized certifications
345,White Space Ratio,formatting,34,0.4,Medium,Avoid cramming text — use proper margins and spacing
346,White Space Ratio,formatting,37,0.75,Low,Use consistent spacing between sections
347,White Space Ratio,formatting,33,0.4,Low,Ensure the resume doesn't look cluttered or sparse
348,White Space Ratio,formatting,29,0.69,Low,Ensure the resume doesn't look cluttered or sparse
349,ATS-Friendly Formatting,compatibility,3,0.62,Critical,"Avoid tables, text boxes, and columns for ATS parsing"
