mapping_id,role_id,skill_id,importance_weight,required_level,is_mandatory,experience_required_years,recency_required_years,certification_required,priority_rank
141,26446,26037,0.84,Intermediate,No,3,5,Yes,3
142,20186,38678,0.17,Advanced,No,10,4,Yes,5
143,26126,44201,0.41,Intermediate,No,3,1,Yes,3
144,15996,27791,0.25,Basic,Yes,1,1,Yes,7
145,3465,16892,0.84,Advanced,No,1,2,Yes,9
146,13633,27081,0.84,Advanced,Yes,2,2,Yes,8
147,17655,47883,0.33,Basic,Yes,8,2,No,5
148,25170,40198,0.03,Advanced,No,5,1,No,7
149,24655,34517,0.51,Advanced,Yes,10,4,Yes,6
150,20678,34131,0.91,Basic,No,1,4,No,5
151,24500,10929,0.24,Advanced,Yes,1,3,No,10
152,40489,34327,0.57,Intermediate,Yes,1,1,Yes,9
153,48976,2502,0.57,Basic,Yes,1,4,Yes,7
154,25980,28550,0.55,Basic,No,8,3,No,5
155,6140,26327,0.51,Advanced,Yes,9,4,Yes,6
156,7161,25482,0.48,Advanced,Yes,2,3,Yes,8
157,38826,49257,0.09,Basic,No,8,4,No,8
158,23115,16839,0.92,Basic,No,9,1,No,4
159,15165,20356,0.79,Intermediate,Yes,2,1,No,3
160,26729,101,0.98,Basic,Yes,4,2,Yes,2
161,44944,32123,0.09,Advanced,Yes,6,5,No,10
162,18266,47342,0.5,Advanced,Yes,3,4,Yes,8
163,10405,46832,0.18,Advanced,No,2,4,Yes,3
164,26658,14780,0.74,Advanced,No,2,2,Yes,2
165,24507,24306,0.38,Basic,Yes,4,1,No,8
166,30802,35936,0.71,Intermediate,No,10,1,Yes,6
167,42859,21881,0.18,Basic,No,2,5,No,10
168,4173,4035,0.59,Intermediate,Yes,6,4,Yes,1
169,5514,17554,0.25,Advanced,No,2,5,Yes,10
170,49398,22503,0.92,Intermediate,Yes,8,4,No,4
171,30766,2753,0.43,Advanced,No,4,2,Yes,9
172,10064,12320,0.24,Intermediate,Yes,10,3,No,3
173,36795,38471,0.4,Basic,No,6,3,Yes,8
174,40247,20900,0.74,Basic,No,3,5,No,4
175,33150,16459,0.49,Advanced,Yes,10,1,No,2
176,42215,39806,0.8,Intermediate,No,9,2,No,9
177,32878,25925,0.39,Advanced,Yes,3,2,No,1
178,34512,36971,0.59,Advanced,No,7,5,No,1
179,36829,15537,0.69,Advanced,Yes,2,5,No,10
180,37209,48543,0.7,Advanced,Yes,4,2,No,10
181,25944,19290,0.61,Basic,No,4,3,Yes,8
182,5835,11139,0.09,Basic,Yes,4,1,No,4
183,12940,11493,0.86,Intermediate,Yes,0,3,No,6
184,26369,44648,0.13,Advanced,Yes,6,3,Yes,4
185,40519,4406,0.38,Advanced,No,10,4,Yes,8
186,38793,35168,0.39,Intermediate,Yes,2,5,Yes,8
187,19972,16325,0.83,Advanced,No,9,4,Yes,1
188,38701,46276,0.44,Intermediate,No,4,4,No,9
189,13440,28955,0.65,Intermediate,Yes,10,2,Yes,1
190,13935,29016,0.35,Basic,Yes,8,3,No,8
191,18870,27600,0.85,Basic,No,10,1,No,2
192,22204,41994,0.4,Advanced,Yes,3,5,Yes,2
193,13188,38979,0.56,Advanced,Yes,3,1,Yes,10
194,7967,17119,0.91,Advanced,No,6,1,Yes,5
195,18805,12080,0.62,Intermediate,Yes,7,3,Yes,10
196,18401,18918,0.38,Advanced,No,5,1,Yes,2
197,34012,7411,0.92,Intermediate,Yes,5,2,No,9
198,2472,24922,0.55,Advanced,No,10,1,No,8
199,47608,3254,0.73,Advanced,Yes,8,2,Yes,1
200,11190,16222,0.74,Intermediate,No,4,4,Yes,3
201,49961,21132,0.07,Advanced,Yes,3,2,Yes,1
202,33727,30131,0.69,Intermediate,Yes,2,4,Yes,3
203,46203,7372,0.54,Intermediate,Yes,6,3,Yes,8
204,15645,15158,0.85,Advanced,No,1,4,No,7
205,26898,40840,0.03,Advanced,No,5,4,No,10
206,49094,31546,0.35,Advanced,No,3,5,Yes,6
207,6697,22429,0.24,Basic,Yes,7,3,Yes,10
208,39778,17832,0.63,Advanced,No,6,1,No,5
209,29764,40364,0.43,Intermediate,Yes,1,1,No,10
210,25505,26843,0.98,Intermediate,No,0,2,Yes,7
211,2919,34487,0.95,Intermediate,No,6,4,No,4
212,36559,39118,0.78,Advanced,No,6,5,No,7
213,750,9942,0.12,Basic,Yes,8,1,No,6
214,24411,29704,0.23,Intermediate,Yes,8,3,Yes,2
215,43927,32798,0.09,Advanced,No,4,5,Yes,1
216,27305,2183,0.28,Intermediate,Yes,10,1,Yes,9
217,6648,3020,0.55,Advanced,No,9,5,Yes,4
218,40241,32253,0.1,Advanced,No,9,3,Yes,10
219,44202,31999,0.9,Basic,No,3,3,No,5
220,1804,41038,0.41,Intermediate,No,0,5,Yes,6
221,20200,42439,0.26,Intermediate,Yes,2,3,Yes,10
222,38550,34305,0.46,Basic,No,4,3,Yes,2
223,45,16505,0.74,Intermediate,Yes,9,1,No,7
224,23328,29477,0.4,Basic,No,6,3,No,8
225,12725,45294,0.17,Advanced,No,5,3,Yes,2
226,36663,43595,0.07,Advanced,Yes,7,5,Yes,6
227,44227,1451,0.1,Advanced,Yes,6,3,No,1
228,12834,33430,0.36,Intermediate,Yes,4,1,No,1
229,31384,6099,0.58,Basic,Yes,1,2,No,8
230,46773,33494,0.71,Advanced,Yes,10,2,No,8
231,6433,7645,0.86,Intermediate,Yes,6,1,Yes,9
232,41739,14174,0.51,Intermediate,Yes,7,5,No,6
233,27124,36134,0.72,Intermediate,No,5,5,No,1
234,46210,30673,0.03,Intermediate,No,3,1,Yes,3
235,18097,44955,0.11,Advanced,No,8,3,No,6
236,1966,31864,0.67,Basic,Yes,7,3,No,5
237,15359,26229,0.3,Intermediate,No,1,5,Yes,4
238,42052,36770,0.75,Intermediate,No,4,5,No,7
239,25906,612,0.07,Advanced,Yes,8,2,No,7
240,22618,19093,0.53,Advanced,Yes,7,1,Yes,7
241,7289,19961,0.85,Basic,No,8,1,No,5
242,19617,8678,0.75,Basic,No,0,5,Yes,3
243,9901,49346,0.71,Advanced,No,0,3,Yes,2
244,19041,39651,0.36,Basic,No,9,1,No,7
245,30025,39297,0.47,Advanced,No,0,2,Yes,7
246,35105,20028,0.17,Basic,No,2,3,Yes,4
247,46160,47156,0.86,Advanced,No,8,2,No,9
248,28174,39651,0.92,Advanced,No,10,1,Yes,4
249,39785,15662,0.95,Advanced,Yes,1,1,Yes,9
250,21214,40292,0.57,Advanced,No,3,3,No,1
251,23433,6490,0.37,Intermediate,Yes,1,4,No,6
252,46412,38369,0.53,Advanced,No,7,5,Yes,8
253,34642,2399,0.9,Advanced,Yes,10,2,Yes,3
254,43622,45,0.16,Advanced,No,5,5,Yes,5
255,5919,14686,0.34,Advanced,No,0,5,No,1
256,45248,17742,0.33,Intermediate,Yes,2,4,Yes,10
257,18890,34553,0.01,Intermediate,Yes,4,1,Yes,4
258,27478,47344,0.96,Basic,No,8,3,No,4
259,19624,19245,0.0,Advanced,No,8,4,Yes,9
260,11035,49348,0.61,Intermediate,No,3,3,Yes,1
261,33028,6520,0.16,Basic,Yes,9,2,No,7
262,28043,1879,0.45,Intermediate,Yes,9,1,Yes,3
263,46729,34727,0.16,Intermediate,No,8,2,No,6
264,29110,12763,0.78,Advanced,Yes,10,5,No,6
265,42050,40039,0.04,Advanced,No,6,5,Yes,9
266,45526,2425,0.01,Basic,Yes,8,1,No,1
267,1713,39709,0.97,Intermediate,No,0,4,No,6
268,48949,38856,0.05,Advanced,Yes,8,3,No,3
269,42030,18975,0.82,Basic,Yes,6,3,Yes,5
270,17861,36608,0.89,Basic,Yes,7,3,Yes,2
271,17820,21626,0.4,Advanced,Yes,6,3,No,6
272,35631,39838,0.72,Intermediate,No,5,2,Yes,4
273,9577,4703,0.74,Basic,No,1,5,No,7
274,34385,41950,0.87,Basic,Yes,7,2,Yes,1
275,10193,36982,0.69,Advanced,Yes,3,1,Yes,9
276,33774,3850,0.93,Intermediate,No,0,4,Yes,9
277,31262,7881,0.48,Basic,No,4,3,Yes,6
278,20385,2287,0.22,Intermediate,Yes,7,1,No,7
279,27750,34876,0.29,Intermediate,Yes,7,3,Yes,6
280,9405,36620,0.53,Intermediate,No,3,1,Yes,5
281,34756,31850,0.13,Basic,No,5,5,No,4
282,32824,35542,0.4,Basic,Yes,9,5,Yes,6
283,9473,12498,0.41,Advanced,No,4,3,Yes,5
284,49152,39294,0.11,Basic,Yes,0,3,No,4
285,25372,31582,0.03,Basic,No,6,5,Yes,8
286,32546,20156,0.48,Intermediate,No,7,1,No,10
287,25242,32141,0.9,Advanced,No,4,4,No,8
288,31755,46958,0.38,Advanced,Yes,3,3,Yes,1
289,44683,11140,0.65,Basic,Yes,6,2,Yes,5
290,12887,17862,0.44,Intermediate,Yes,1,1,No,6
291,23519,11733,0.15,Intermediate,No,9,3,Yes,2
292,32586,29777,0.65,Advanced,No,7,4,No,7
293,45427,30748,0.65,Advanced,Yes,1,1,Yes,1
294,40710,28163,0.69,Intermediate,Yes,6,1,Yes,2
295,15175,41216,0.16,Advanced,Yes,5,4,Yes,8
296,43312,28904,0.87,Basic,No,7,2,No,9
297,3413,46193,0.77,Advanced,Yes,7,1,No,8
298,29168,38857,0.64,Basic,No,0,5,No,2
299,32182,42511,0.86,Intermediate,Yes,6,2,No,10
300,684,39310,0.91,Advanced,No,0,4,Yes,10
301,11564,31507,0.47,Advanced,Yes,1,4,Yes,1
302,45162,39713,0.87,Advanced,Yes,8,1,Yes,4
303,29970,36811,0.94,Advanced,No,6,3,No,10
304,13090,7031,0.88,Basic,No,7,2,Yes,8
305,23551,37979,0.32,Intermediate,Yes,10,5,Yes,4
306,45733,14316,0.47,Intermediate,No,9,2,Yes,10
307,36666,8802,0.59,Basic,No,7,1,Yes,9
308,23399,17273,0.94,Intermediate,Yes,1,3,Yes,4
309,35272,42519,0.11,Advanced,Yes,3,3,Yes,7
310,12814,18101,0.01,Advanced,No,3,5,No,5
311,4088,33540,0.68,Advanced,Yes,9,4,Yes,10
312,48733,12920,0.7,Basic,No,1,2,No,8
313,15327,21750,0.53,Advanced,No,5,1,No,9
314,45678,13169,0.99,Intermediate,No,8,2,Yes,6
315,45108,34873,0.14,Basic,No,8,5,No,1
316,27315,27122,0.44,Intermediate,Yes,8,2,Yes,6
317,33300,27421,0.36,Advanced,Yes,7,2,No,1
318,35625,5021,0.17,Basic,No,6,4,Yes,5
319,23403,16244,0.04,Advanced,Yes,1,5,No,9
320,32396,22291,0.05,Basic,Yes,3,1,No,2
321,38006,48854,0.31,Basic,No,1,3,Yes,2
322,27378,49605,0.39,Intermediate,No,6,4,No,8
323,20664,16146,0.08,Basic,No,1,3,Yes,1
324,4984,9265,0.01,Intermediate,No,5,3,No,3
325,20929,34666,0.64,Advanced,Yes,1,5,Yes,5
326,29906,37014,0.31,Basic,Yes,8,3,Yes,6
327,42247,48830,0.23,Intermediate,Yes,10,1,No,7
328,35099,25911,0.6,Advanced,No,8,3,No,2
329,23086,42431,0.04,Advanced,No,1,5,No,7
330,18694,25811,0.17,Basic,No,2,1,No,7
331,38221,6047,0.57,Advanced,Yes,9,4,No,5
332,24254,10169,0.88,Intermediate,Yes,5,4,Yes,7
333,1107,16191,0.09,Basic,No,6,3,No,3
334,28262,1984,0.05,Basic,Yes,8,1,No,2
335,4439,2453,0.97,Basic,No,7,1,No,9
336,32850,8009,0.87,Advanced,No,7,5,No,7
337,38997,19455,0.32,Advanced,Yes,1,1,Yes,7
338,40755,41479,0.1,Basic,Yes,10,5,Yes,6
339,4334,3186,0.56,Basic,Yes,1,1,No,2
340,1228,47214,0.21,Basic,No,1,1,Yes,6
341,8015,5581,0.2,Advanced,Yes,9,2,Yes,9
342,28791,2421,0.58,Advanced,No,10,4,No,5
343,8456,2378,0.1,Advanced,No,7,1,Yes,3
344,9118,36958,0.47,Basic,No,9,3,No,3
345,36067,33327,0.76,Advanced,No,6,2,Yes,3
346,841,15947,0.4,Basic,No,4,4,No,1
347,9248,30685,0.3,Intermediate,Yes,5,1,No,10
348,2182,16500,0.12,Intermediate,No,2,4,Yes,4
349,12248,46180,0.96,Advanced,No,7,3,No,5
350,45729,4829,0.17,Advanced,Yes,3,2,Yes,4
351,40652,45967,0.81,Intermediate,Yes,4,2,Yes,4
352,718,48044,0.48,Intermediate,Yes,4,4,No,9
353,49631,26018,0.52,Basic,Yes,3,1,Yes,9
354,45176,22754,0.1,Advanced,No,4,4,Yes,6
355,12039,16813,0.48,Intermediate,Yes,4,3,Yes,4
356,10019,3946,0.56,Intermediate,No,6,5,No,4
357,8489,49763,0.61,Advanced,No,10,4,No,9
358,38658,19224,0.26,Basic,No,1,5,Yes,7
359,17039,44504,0.54,Basic,Yes,6,5,Yes,2
360,35362,28131,0.09,Intermediate,Yes,3,2,No,6
361,37500,22911,1.0,Basic,No,9,2,No,6
362,25154,39458,0.85,Basic,Yes,2,2,No,10
363,31239,23078,0.08,Basic,No,4,5,Yes,8
364,2818,48208,0.34,Intermediate,No,1,4,Yes,2
365,33688,12327,0.54,Intermediate,No,4,5,No,6
366,49048,49449,0.38,Advanced,Yes,2,3,Yes,8
367,25118,37915,0.52,Basic,No,0,3,No,8
368,6367,6791,0.38,Advanced,No,5,5,Yes,2
369,19238,20352,0.23,Advanced,No,0,5,No,8
370,21834,27584,0.66,Advanced,Yes,5,1,No,6
371,23327,45843,0.56,Advanced,Yes,6,4,Yes,8
372,27377,20995,0.12,Intermediate,No,4,3,No,1
373,39908,27322,0.13,Intermediate,No,1,4,No,2
374,3297,7740,0.5,Intermediate,No,9,2,No,4
375,23876,8961,0.77,Basic,Yes,2,4,No,4
376,43167,27073,0.89,Advanced,No,9,1,No,9
377,42577,41340,0.93,Advanced,Yes,2,2,Yes,1
378,18974,25157,0.63,Basic,Yes,0,4,Yes,3
379,16206,46602,0.99,Intermediate,No,6,5,Yes,6
380,11081,13643,1.0,Basic,Yes,2,2,No,9
381,9920,17171,0.73,Advanced,No,3,4,No,1
382,16231,12497,0.03,Advanced,Yes,7,5,No,9
383,31799,15275,0.15,Advanced,Yes,10,1,No,1
384,41345,23713,0.45,Advanced,Yes,1,3,Yes,1
385,9986,14630,0.43,Basic,No,5,4,Yes,8
386,37820,21344,0.89,Intermediate,Yes,8,2,Yes,2
387,33311,43038,0.12,Basic,No,4,2,Yes,2
388,31519,33558,0.37,Basic,Yes,8,4,No,5
389,20906,21157,0.21,Advanced,No,3,2,No,1
390,35921,28044,0.34,Advanced,No,1,2,Yes,3
391,1866,13014,0.09,Intermediate,No,0,3,Yes,7
392,33150,21302,0.82,Advanced,No,4,3,No,2
393,7672,43242,0.14,Advanced,Yes,5,4,Yes,10
394,36946,32712,0.69,Intermediate,Yes,3,1,No,8
395,45182,21732,0.28,Advanced,No,8,2,Yes,7
396,14874,32480,0.01,Intermediate,No,4,3,No,5
397,6693,12119,0.46,Advanced,Yes,9,4,Yes,8
398,7536,28780,0.09,Intermediate,No,5,5,No,8
399,27656,1427,0.77,Basic,Yes,2,5,Yes,1
400,12741,44897,0.12,Basic,Yes,6,2,No,10
401,32805,20499,0.6,Intermediate,No,2,2,No,7
402,26775,37422,0.97,Basic,No,2,5,No,4
403,5004,9429,0.25,Basic,Yes,6,1,Yes,10
404,34765,40334,0.76,Basic,No,9,2,Yes,2
405,26138,46482,0.07,Basic,Yes,6,5,No,2
406,2633,14029,0.04,Intermediate,Yes,4,2,Yes,9
407,21527,13744,0.88,Intermediate,No,10,4,Yes,10
408,25083,28101,0.94,Basic,No,6,3,No,9
409,45119,40426,0.92,Intermediate,Yes,4,2,No,5
410,26848,19557,0.56,Intermediate,No,10,4,No,4
411,29537,9854,0.7,Intermediate,No,0,5,No,2
412,19770,35277,0.77,Basic,No,10,5,Yes,7
413,43885,28949,0.33,Basic,No,10,3,No,9
414,31116,48681,0.99,Intermediate,Yes,10,3,Yes,5
415,2946,39905,0.32,Intermediate,No,10,3,No,8
416,29305,32984,0.35,Intermediate,Yes,1,3,No,5
417,35472,38857,0.0,Basic,Yes,8,1,Yes,9
418,32052,20567,0.09,Intermediate,Yes,5,2,Yes,5
419,20343,17572,0.7,Advanced,Yes,2,5,Yes,3
420,6378,38430,0.82,Advanced,No,1,4,No,9
421,37629,2353,0.68,Basic,No,4,4,Yes,10
422,20141,26343,0.82,Advanced,Yes,7,3,No,4
423,29956,24487,0.99,Intermediate,No,1,3,No,10
424,35411,37837,0.24,Advanced,Yes,0,1,No,5
425,326,24283,0.73,Advanced,Yes,10,2,No,9
426,12471,24560,0.94,Intermediate,Yes,0,3,No,6
427,46444,2484,0.24,Intermediate,No,1,4,No,6
428,44941,38627,0.42,Basic,No,5,4,No,10
429,31582,8626,0.86,Advanced,Yes,0,5,Yes,7
430,3770,16587,0.83,Intermediate,No,1,5,No,3
431,40832,46469,0.28,Intermediate,No,5,2,No,1
432,40164,35318,0.14,Advanced,Yes,4,5,Yes,2
433,25819,37530,0.73,Intermediate,Yes,7,3,No,8
434,34047,29351,0.07,Advanced,Yes,10,4,No,3
435,46064,1240,0.63,Advanced,Yes,10,3,Yes,6
436,22798,27921,0.55,Basic,No,5,5,Yes,4
437,11627,18893,0.47,Intermediate,No,0,4,No,1
438,36722,25048,0.09,Basic,No,8,3,No,7
439,41960,21608,0.09,Basic,Yes,10,5,Yes,4
440,44326,18131,0.62,Intermediate,No,10,5,Yes,2
441,12297,13950,0.73,Advanced,Yes,1,3,No,2
442,39181,23304,0.12,Advanced,No,3,3,Yes,10
443,45378,47685,0.94,Basic,No,2,4,Yes,3
444,22910,47838,0.53,Advanced,Yes,6,3,No,5
445,44145,8315,0.0,Advanced,No,3,3,No,1
446,12936,34876,0.61,Intermediate,Yes,2,1,Yes,9
447,2156,10023,0.68,Intermediate,Yes,3,2,Yes,8
448,1065,27409,0.1,Basic,No,6,5,No,9
449,20181,30528,0.32,Intermediate,No,4,2,No,7
450,28374,24156,0.93,Advanced,Yes,9,1,Yes,4
451,36772,18955,0.12,Basic,Yes,9,2,No,3
452,45463,27650,0.81,Basic,Yes,2,4,Yes,6
453,32043,4454,0.41,Advanced,No,7,5,Yes,8
454,28837,11539,0.54,Intermediate,No,9,1,Yes,4
455,47160,23922,0.81,Advanced,No,9,5,Yes,1
456,33040,20526,0.99,Intermediate,No,6,1,Yes,8
457,24791,26696,0.83,Basic,No,2,5,No,10
458,28087,44339,0.72,Advanced,Yes,4,2,Yes,1
459,36617,25429,0.37,Intermediate,Yes,8,3,Yes,7
460,1299,44405,0.14,Intermediate,Yes,4,2,No,6
461,22089,48265,0.12,Basic,No,6,5,No,2
462,21456,33586,0.61,Advanced,Yes,4,1,Yes,4
463,11805,23599,0.06,Intermediate,Yes,8,1,Yes,7
464,28349,26299,0.83,Intermediate,No,4,1,Yes,3
465,18255,46742,0.79,Intermediate,No,9,5,Yes,3
466,9999,23733,0.42,Intermediate,No,3,5,No,3
467,28999,23378,0.34,Intermediate,No,8,3,No,7
468,38572,31109,0.39,Advanced,No,7,2,No,2
469,35991,33598,0.23,Intermediate,No,3,1,Yes,10
470,4973,3162,0.01,Intermediate,No,3,5,Yes,5
471,47099,49136,0.23,Basic,No,2,2,Yes,5
472,47661,33864,0.02,Basic,Yes,6,2,No,10
473,36493,40990,0.89,Intermediate,Yes,10,1,Yes,9
474,28363,6580,0.2,Advanced,No,4,4,No,1
475,41764,27103,0.29,Advanced,Yes,10,2,Yes,8
476,44029,21326,0.02,Basic,No,4,4,No,6
477,22041,21016,0.12,Advanced,Yes,10,2,Yes,7
478,11144,7006,0.47,Intermediate,No,4,2,Yes,10
