certification_id,certification_name,provider,related_skill_id,difficulty_level,average_cost,duration_months,global_recognition_score,renewal_required,validity_years
50,Oracle Java SE,ProviderX,316,Advanced,368,4,0.94,Yes,3
51,Google Cloud Engineer,ProviderX,697,Intermediate,76,6,0.0,Yes,2
52,Oracle Java SE,ProviderX,477,Beginner,91,8,0.66,Yes,4
53,Oracle Java SE,ProviderX,783,Advanced,330,3,0.74,No,2
54,AWS Solutions Architect,ProviderX,184,Beginner,329,12,0.04,No,3
55,AWS Solutions Architect,ProviderX,867,Advanced,139,7,0.98,No,1
56,TensorFlow Developer,ProviderX,740,Beginner,341,8,0.57,No,3
57,Azure Administrator,ProviderX,940,Beginner,420,3,0.36,No,3
58,TensorFlow Developer,ProviderX,476,Intermediate,405,8,0.12,Yes,4
59,Azure Administrator,ProviderX,896,Beginner,342,10,0.35,No,2
60,Oracle Java SE,ProviderX,356,Advanced,310,12,0.64,No,1
61,TensorFlow Developer,ProviderX,507,Advanced,448,8,0.01,No,4
62,Google Cloud Engineer,ProviderX,180,Intermediate,52,10,0.73,No,4
63,TensorFlow Developer,ProviderX,772,Intermediate,253,10,0.61,No,2
64,Azure Administrator,ProviderX,956,Beginner,148,12,0.22,Yes,1
65,Azure Administrator,ProviderX,447,Advanced,485,11,0.17,No,1
66,Oracle Java SE,ProviderX,67,Beginner,324,8,0.19,Yes,3
67,AWS Solutions Architect,ProviderX,411,Intermediate,229,12,0.38,Yes,5
68,Azure Administrator,ProviderX,423,Beginner,414,2,0.73,No,3
69,TensorFlow Developer,ProviderX,187,Beginner,278,2,0.59,No,4
70,Google Cloud Engineer,ProviderX,867,Beginner,336,12,0.46,No,1
71,Google Cloud Engineer,ProviderX,287,Beginner,429,12,0.3,Yes,4
72,TensorFlow Developer,ProviderX,182,Beginner,393,1,0.37,No,5
73,AWS Solutions Architect,ProviderX,635,Intermediate,65,7,0.82,No,4
74,Azure Administrator,ProviderX,591,Intermediate,316,8,0.7,No,1
75,Azure Administrator,ProviderX,638,Intermediate,299,1,0.12,Yes,4
76,AWS Solutions Architect,ProviderX,971,Advanced,112,2,0.47,No,3
77,Azure Administrator,ProviderX,472,Beginner,301,11,0.49,Yes,1
78,Oracle Java SE,ProviderX,773,Beginner,89,6,0.1,Yes,5
79,TensorFlow Developer,ProviderX,503,Intermediate,263,5,0.07,Yes,1
80,TensorFlow Developer,ProviderX,15,Beginner,106,12,0.25,Yes,1
81,Azure Administrator,ProviderX,531,Beginner,416,6,0.99,Yes,4
82,Oracle Java SE,ProviderX,737,Beginner,243,9,0.63,Yes,2
83,Google Cloud Engineer,ProviderX,736,Advanced,67,6,0.86,Yes,5
84,TensorFlow Developer,ProviderX,841,Beginner,465,10,0.77,No,2
85,Azure Administrator,ProviderX,23,Advanced,252,3,0.23,No,4
86,Oracle Java SE,ProviderX,824,Advanced,477,5,0.36,No,5
87,AWS Solutions Architect,ProviderX,815,Intermediate,189,2,0.37,No,1
88,Azure Administrator,ProviderX,446,Intermediate,86,1,0.4,No,4
89,TensorFlow Developer,ProviderX,840,Advanced,452,6,0.84,No,1
90,Azure Administrator,ProviderX,635,Advanced,249,12,0.62,Yes,4
91,TensorFlow Developer,ProviderX,568,Intermediate,251,6,0.52,Yes,2
92,Azure Administrator,ProviderX,920,Advanced,120,3,0.09,No,1
93,Oracle Java SE,ProviderX,253,Advanced,120,11,0.09,No,3
94,Azure Administrator,ProviderX,509,Intermediate,455,4,0.23,No,1
95,Oracle Java SE,ProviderX,784,Intermediate,232,4,0.31,No,4
96,AWS Solutions Architect,ProviderX,174,Beginner,324,7,0.44,Yes,3
97,AWS Solutions Architect,ProviderX,89,Advanced,71,2,0.95,No,5
98,Oracle Java SE,ProviderX,377,Intermediate,333,12,0.06,No,2
99,Google Cloud Engineer,ProviderX,575,Intermediate,185,9,0.72,No,4
100,TensorFlow Developer,ProviderX,975,Advanced,125,8,0.47,No,3
101,Azure Administrator,ProviderX,929,Beginner,307,6,0.33,No,2
102,Google Cloud Engineer,ProviderX,531,Intermediate,195,3,0.36,Yes,5
103,Oracle Java SE,ProviderX,7,Beginner,437,10,0.32,No,5
104,AWS Solutions Architect,ProviderX,677,Intermediate,149,11,0.01,No,5
105,Azure Administrator,ProviderX,78,Advanced,292,2,0.05,Yes,1
106,TensorFlow Developer,ProviderX,730,Beginner,439,12,0.24,No,4
107,TensorFlow Developer,ProviderX,611,Advanced,116,11,0.04,Yes,5
108,Google Cloud Engineer,ProviderX,777,Advanced,132,2,0.99,Yes,4
109,Google Cloud Engineer,ProviderX,127,Intermediate,313,11,0.29,Yes,3
110,Oracle Java SE,ProviderX,268,Beginner,108,1,0.11,No,1
111,Azure Administrator,ProviderX,627,Beginner,63,10,0.79,No,1
112,Azure Administrator,ProviderX,134,Intermediate,415,12,0.52,No,2
113,TensorFlow Developer,ProviderX,807,Intermediate,430,9,0.19,Yes,5
114,Oracle Java SE,ProviderX,782,Beginner,129,3,0.88,No,5
115,Oracle Java SE,ProviderX,15,Advanced,224,11,0.67,Yes,2
116,Oracle Java SE,ProviderX,609,Beginner,75,12,0.43,No,4
117,TensorFlow Developer,ProviderX,689,Intermediate,158,11,0.58,Yes,4
118,Oracle Java SE,ProviderX,450,Intermediate,371,1,0.51,Yes,2
119,Azure Administrator,ProviderX,115,Beginner,270,11,0.08,Yes,2
120,Azure Administrator,ProviderX,66,Beginner,328,2,0.77,Yes,4
121,TensorFlow Developer,ProviderX,85,Advanced,64,10,0.66,No,2
122,Azure Administrator,ProviderX,459,Intermediate,60,5,0.03,No,4
123,Azure Administrator,ProviderX,109,Advanced,489,7,0.37,No,3
124,Google Cloud Engineer,ProviderX,678,Intermediate,258,8,0.14,Yes,2
125,Azure Administrator,ProviderX,570,Intermediate,339,1,0.36,No,3
126,Oracle Java SE,ProviderX,69,Beginner,91,3,0.86,No,4
127,Google Cloud Engineer,ProviderX,87,Advanced,469,7,0.9,No,1
128,Oracle Java SE,ProviderX,838,Intermediate,327,11,0.05,Yes,1
129,Azure Administrator,ProviderX,537,Beginner,62,1,0.09,Yes,3
130,Google Cloud Engineer,ProviderX,849,Intermediate,452,5,0.77,Yes,4
131,AWS Solutions Architect,ProviderX,220,Intermediate,159,1,0.25,Yes,5
132,TensorFlow Developer,ProviderX,50,Intermediate,438,6,0.67,No,4
133,TensorFlow Developer,ProviderX,170,Intermediate,359,11,0.7,Yes,3
134,AWS Solutions Architect,ProviderX,707,Beginner,79,2,0.08,No,3
135,AWS Solutions Architect,ProviderX,515,Beginner,498,10,0.18,No,5
136,TensorFlow Developer,ProviderX,598,Beginner,297,7,0.63,Yes,1
137,TensorFlow Developer,ProviderX,743,Intermediate,293,3,0.53,Yes,5
138,Google Cloud Engineer,ProviderX,999,Intermediate,449,12,0.2,No,2
139,TensorFlow Developer,ProviderX,355,Advanced,239,3,0.98,No,4
140,TensorFlow Developer,ProviderX,895,Intermediate,374,12,0.77,Yes,3
141,Azure Administrator,ProviderX,231,Intermediate,291,11,0.66,Yes,4
142,AWS Solutions Architect,ProviderX,846,Beginner,226,4,0.68,No,4
143,Azure Administrator,ProviderX,314,Advanced,400,3,0.04,Yes,2
144,Azure Administrator,ProviderX,833,Intermediate,117,3,0.97,No,4
145,AWS Solutions Architect,ProviderX,611,Beginner,457,1,0.5,Yes,4
146,Google Cloud Engineer,ProviderX,940,Intermediate,74,6,0.57,Yes,4
147,TensorFlow Developer,ProviderX,399,Intermediate,392,1,0.97,No,1
148,Google Cloud Engineer,ProviderX,623,Intermediate,429,1,0.57,Yes,2
149,AWS Solutions Architect,ProviderX,654,Advanced,353,7,0.73,Yes,4
150,AWS Solutions Architect,ProviderX,216,Intermediate,55,4,0.51,No,3
151,Azure Administrator,ProviderX,887,Advanced,455,2,0.42,Yes,1
152,AWS Solutions Architect,ProviderX,148,Beginner,105,5,0.61,Yes,5
153,Google Cloud Engineer,ProviderX,335,Intermediate,434,1,0.05,Yes,2
154,AWS Solutions Architect,ProviderX,52,Beginner,230,12,0.02,Yes,4
155,Azure Administrator,ProviderX,228,Beginner,123,4,0.48,No,5
156,Google Cloud Engineer,ProviderX,44,Advanced,137,9,0.19,No,5
157,AWS Solutions Architect,ProviderX,107,Advanced,314,4,0.29,No,4
158,TensorFlow Developer,ProviderX,166,Advanced,403,4,0.01,Yes,1
159,AWS Solutions Architect,ProviderX,677,Intermediate,227,4,0.17,No,5
160,Oracle Java SE,ProviderX,693,Advanced,361,5,0.68,Yes,2
161,AWS Solutions Architect,ProviderX,13,Beginner,74,2,0.7,No,2
162,Azure Administrator,ProviderX,73,Beginner,375,3,0.78,Yes,3
163,Azure Administrator,ProviderX,756,Advanced,138,2,0.82,No,3
164,Oracle Java SE,ProviderX,981,Beginner,105,8,0.63,Yes,3
165,AWS Solutions Architect,ProviderX,637,Intermediate,274,2,0.71,Yes,5
166,Google Cloud Engineer,ProviderX,105,Intermediate,151,1,0.65,No,3
167,Google Cloud Engineer,ProviderX,28,Intermediate,476,1,0.26,No,5
168,AWS Solutions Architect,ProviderX,627,Beginner,203,11,0.28,Yes,1
169,AWS Solutions Architect,ProviderX,360,Advanced,110,9,0.92,No,3
170,Google Cloud Engineer,ProviderX,450,Intermediate,197,9,0.1,No,4
171,Azure Administrator,ProviderX,936,Beginner,103,8,0.64,Yes,1
172,Oracle Java SE,ProviderX,630,Intermediate,75,12,0.62,Yes,2
173,Oracle Java SE,ProviderX,322,Advanced,380,11,0.17,Yes,4
174,Google Cloud Engineer,ProviderX,568,Intermediate,240,7,0.43,Yes,2
175,Google Cloud Engineer,ProviderX,328,Beginner,155,6,0.44,No,4
176,Azure Administrator,ProviderX,946,Intermediate,126,2,0.14,No,2
177,Oracle Java SE,ProviderX,685,Beginner,62,3,0.25,No,3
178,AWS Solutions Architect,ProviderX,766,Intermediate,104,6,0.05,Yes,3
179,Azure Administrator,ProviderX,117,Intermediate,286,10,0.64,Yes,3
180,Oracle Java SE,ProviderX,110,Advanced,483,9,0.58,Yes,3
181,Google Cloud Engineer,ProviderX,62,Beginner,346,5,0.97,Yes,5
182,Azure Administrator,ProviderX,693,Advanced,474,12,0.67,Yes,3
183,Google Cloud Engineer,ProviderX,994,Intermediate,254,3,0.62,Yes,1
184,Azure Administrator,ProviderX,587,Intermediate,476,1,0.55,Yes,2
185,AWS Solutions Architect,ProviderX,639,Intermediate,182,3,0.26,No,1
186,AWS Solutions Architect,ProviderX,820,Intermediate,370,1,0.51,Yes,1
187,TensorFlow Developer,ProviderX,565,Intermediate,484,2,0.84,Yes,2
188,AWS Solutions Architect,ProviderX,95,Advanced,398,6,0.38,No,2
189,Google Cloud Engineer,ProviderX,769,Beginner,462,3,0.6,No,3
190,Google Cloud Engineer,ProviderX,547,Advanced,327,8,0.1,Yes,3
191,Azure Administrator,ProviderX,393,Advanced,384,9,0.29,Yes,1
192,TensorFlow Developer,ProviderX,262,Intermediate,149,6,0.41,No,2
193,AWS Solutions Architect,ProviderX,382,Intermediate,274,11,0.74,Yes,2
194,Oracle Java SE,ProviderX,503,Beginner,217,5,0.31,No,1
195,Azure Administrator,ProviderX,540,Beginner,194,2,0.87,Yes,2
196,Azure Administrator,ProviderX,649,Beginner,206,3,0.33,No,1
197,AWS Solutions Architect,ProviderX,320,Advanced,132,9,0.76,No,3
198,Oracle Java SE,ProviderX,889,Beginner,266,8,0.11,No,3
199,Azure Administrator,ProviderX,28,Advanced,238,12,0.27,Yes,4
200,AWS Solutions Architect,ProviderX,735,Intermediate,158,8,0.04,Yes,5
201,Oracle Java SE,ProviderX,731,Intermediate,459,10,0.84,Yes,4
202,TensorFlow Developer,ProviderX,817,Advanced,289,6,0.16,Yes,2
203,Azure Administrator,ProviderX,660,Beginner,175,1,0.63,Yes,4
204,Oracle Java SE,ProviderX,76,Advanced,445,8,0.05,No,1
205,TensorFlow Developer,ProviderX,124,Advanced,74,10,0.98,No,1
206,Azure Administrator,ProviderX,406,Intermediate,66,7,0.35,Yes,2
207,Oracle Java SE,ProviderX,450,Advanced,346,4,0.08,No,2
208,Oracle Java SE,ProviderX,41,Intermediate,480,1,0.47,No,5
209,AWS Solutions Architect,ProviderX,836,Beginner,255,3,0.18,Yes,2
210,Azure Administrator,ProviderX,267,Beginner,272,12,0.2,Yes,4
211,TensorFlow Developer,ProviderX,907,Advanced,217,6,0.75,No,4
212,Azure Administrator,ProviderX,71,Intermediate,292,3,0.11,No,1
213,TensorFlow Developer,ProviderX,598,Advanced,269,4,0.62,Yes,1
214,AWS Solutions Architect,ProviderX,851,Beginner,318,12,0.22,No,5
215,TensorFlow Developer,ProviderX,418,Advanced,485,3,0.82,No,5
216,AWS Solutions Architect,ProviderX,600,Intermediate,476,7,0.87,Yes,5
217,Azure Administrator,ProviderX,208,Intermediate,474,9,0.78,No,1
218,Azure Administrator,ProviderX,746,Advanced,267,4,0.95,Yes,4
219,TensorFlow Developer,ProviderX,802,Intermediate,468,9,0.52,No,1
220,Oracle Java SE,ProviderX,444,Intermediate,378,2,0.81,Yes,4
221,AWS Solutions Architect,ProviderX,585,Intermediate,147,8,0.45,No,3
222,AWS Solutions Architect,ProviderX,232,Advanced,189,5,0.06,Yes,4
223,Azure Administrator,ProviderX,884,Beginner,192,7,0.55,No,1
224,AWS Solutions Architect,ProviderX,600,Beginner,85,12,0.71,Yes,2
225,Azure Administrator,ProviderX,171,Intermediate,263,1,0.15,No,3
226,Azure Administrator,ProviderX,733,Advanced,350,5,0.64,Yes,2
227,Oracle Java SE,ProviderX,818,Beginner,426,3,0.27,No,1
228,TensorFlow Developer,ProviderX,855,Advanced,124,8,0.83,Yes,4
229,Oracle Java SE,ProviderX,348,Advanced,247,4,0.6,Yes,5
230,Oracle Java SE,ProviderX,582,Beginner,326,10,0.1,Yes,3
231,Google Cloud Engineer,ProviderX,538,Intermediate,354,1,0.44,Yes,2
232,Google Cloud Engineer,ProviderX,694,Advanced,416,11,0.45,No,5
233,AWS Solutions Architect,ProviderX,984,Intermediate,95,11,0.09,Yes,1
234,Azure Administrator,ProviderX,886,Intermediate,422,6,0.28,No,1
235,Azure Administrator,ProviderX,669,Advanced,449,6,0.17,No,1
236,Oracle Java SE,ProviderX,599,Intermediate,55,2,0.36,No,3
237,Google Cloud Engineer,ProviderX,258,Beginner,243,7,0.48,Yes,2
238,TensorFlow Developer,ProviderX,203,Beginner,199,1,0.7,No,3
239,Google Cloud Engineer,ProviderX,824,Advanced,435,7,0.87,No,2
240,Azure Administrator,ProviderX,1000,Advanced,426,4,0.04,Yes,5
241,AWS Solutions Architect,ProviderX,498,Beginner,52,1,0.84,No,2
242,TensorFlow Developer,ProviderX,185,Beginner,390,9,0.05,No,4
243,Oracle Java SE,ProviderX,165,Advanced,66,8,0.95,Yes,4
244,Azure Administrator,ProviderX,84,Beginner,86,6,0.03,No,5
245,Oracle Java SE,ProviderX,811,Advanced,59,5,0.37,Yes,4
246,Google Cloud Engineer,ProviderX,627,Beginner,435,5,0.9,No,3
247,Oracle Java SE,ProviderX,941,Advanced,289,11,0.57,No,5
248,TensorFlow Developer,ProviderX,838,Advanced,51,10,0.56,No,5
249,Azure Administrator,ProviderX,200,Advanced,391,10,0.81,No,3
250,TensorFlow Developer,ProviderX,30,Intermediate,236,5,0.59,No,3
251,Azure Administrator,ProviderX,514,Beginner,301,8,0.02,No,2
252,Oracle Java SE,ProviderX,741,Intermediate,69,1,0.19,Yes,4
253,AWS Solutions Architect,ProviderX,887,Advanced,87,11,0.81,Yes,2
254,AWS Solutions Architect,ProviderX,461,Intermediate,457,10,0.59,No,4
255,TensorFlow Developer,ProviderX,360,Beginner,411,3,0.08,No,2
256,TensorFlow Developer,ProviderX,376,Advanced,317,1,0.31,No,1
257,AWS Solutions Architect,ProviderX,160,Beginner,458,5,0.76,Yes,3
258,Google Cloud Engineer,ProviderX,351,Advanced,124,5,0.86,No,2
259,Oracle Java SE,ProviderX,135,Advanced,115,8,0.78,No,2
260,AWS Solutions Architect,ProviderX,542,Intermediate,477,5,0.65,No,2
261,Oracle Java SE,ProviderX,870,Beginner,134,1,0.47,Yes,3
262,Oracle Java SE,ProviderX,27,Beginner,194,1,0.13,No,3
263,Oracle Java SE,ProviderX,159,Beginner,452,3,0.1,Yes,4
264,Azure Administrator,ProviderX,802,Intermediate,165,11,0.14,Yes,2
265,Google Cloud Engineer,ProviderX,290,Beginner,478,8,0.48,No,4
266,Google Cloud Engineer,ProviderX,124,Intermediate,411,11,0.15,No,5
267,Google Cloud Engineer,ProviderX,386,Beginner,428,1,0.44,Yes,4
268,TensorFlow Developer,ProviderX,134,Beginner,476,1,0.12,Yes,2
269,Oracle Java SE,ProviderX,880,Intermediate,372,3,0.46,No,4
270,Azure Administrator,ProviderX,79,Advanced,110,4,0.27,No,3
271,Azure Administrator,ProviderX,76,Advanced,414,5,0.5,Yes,4
272,Oracle Java SE,ProviderX,762,Beginner,301,9,0.62,No,1
273,Google Cloud Engineer,ProviderX,236,Intermediate,288,8,0.74,Yes,5
274,Oracle Java SE,ProviderX,418,Intermediate,130,11,0.48,No,1
275,Google Cloud Engineer,ProviderX,679,Advanced,142,3,0.13,Yes,5
276,TensorFlow Developer,ProviderX,468,Advanced,198,9,0.83,Yes,4
277,Oracle Java SE,ProviderX,190,Advanced,378,9,0.56,Yes,1
278,Azure Administrator,ProviderX,988,Beginner,159,2,0.0,Yes,3
279,Oracle Java SE,ProviderX,627,Beginner,217,5,0.98,Yes,3
280,Azure Administrator,ProviderX,606,Advanced,321,11,0.58,Yes,3
281,Oracle Java SE,ProviderX,874,Advanced,184,7,0.48,Yes,2
282,AWS Solutions Architect,ProviderX,100,Intermediate,382,6,0.7,No,4
283,TensorFlow Developer,ProviderX,765,Intermediate,186,10,0.92,No,2
284,TensorFlow Developer,ProviderX,311,Beginner,345,7,0.67,Yes,4
285,TensorFlow Developer,ProviderX,935,Beginner,434,10,0.28,Yes,5
286,Google Cloud Engineer,ProviderX,547,Intermediate,443,2,0.21,Yes,3
287,Azure Administrator,ProviderX,998,Intermediate,291,9,0.93,No,2
288,Google Cloud Engineer,ProviderX,285,Intermediate,341,11,0.76,Yes,4
289,TensorFlow Developer,ProviderX,584,Advanced,147,12,0.01,Yes,2
290,Azure Administrator,ProviderX,233,Intermediate,165,3,0.65,Yes,2
291,Azure Administrator,ProviderX,954,Beginner,478,4,0.52,Yes,5
292,Azure Administrator,ProviderX,579,Intermediate,104,12,0.37,No,3
293,Azure Administrator,ProviderX,38,Beginner,238,7,0.92,No,3
294,AWS Solutions Architect,ProviderX,195,Intermediate,306,2,0.24,No,5
295,TensorFlow Developer,ProviderX,910,Advanced,289,2,0.73,No,5
296,Google Cloud Engineer,ProviderX,921,Beginner,481,1,0.75,No,5
297,Azure Administrator,ProviderX,866,Beginner,406,5,0.34,No,3
298,Google Cloud Engineer,ProviderX,631,Beginner,106,2,0.58,No,4
299,AWS Solutions Architect,ProviderX,765,Beginner,74,7,0.67,No,2
300,Azure Administrator,ProviderX,296,Intermediate,462,11,0.98,Yes,3
301,Oracle Java SE,ProviderX,2,Advanced,202,7,0.73,Yes,1
302,Azure Administrator,ProviderX,269,Beginner,78,4,0.03,Yes,3
303,AWS Solutions Architect,ProviderX,939,Beginner,202,2,0.07,No,5
304,Google Cloud Engineer,ProviderX,978,Intermediate,365,3,0.96,No,2
305,TensorFlow Developer,ProviderX,211,Beginner,435,8,0.29,Yes,4
306,Azure Administrator,ProviderX,314,Beginner,497,8,0.94,No,2
307,Google Cloud Engineer,ProviderX,611,Intermediate,368,5,0.85,No,5
308,AWS Solutions Architect,ProviderX,887,Advanced,85,10,0.63,Yes,4
309,Google Cloud Engineer,ProviderX,360,Intermediate,441,2,0.88,No,1
310,Google Cloud Engineer,ProviderX,666,Advanced,203,11,0.72,Yes,5
311,Google Cloud Engineer,ProviderX,364,Intermediate,381,7,0.78,No,4
312,TensorFlow Developer,ProviderX,550,Advanced,106,4,0.4,No,1
313,Azure Administrator,ProviderX,189,Beginner,324,7,0.62,Yes,3
314,Google Cloud Engineer,ProviderX,298,Intermediate,411,9,0.48,Yes,2
315,TensorFlow Developer,ProviderX,801,Intermediate,241,5,0.98,Yes,1
316,Oracle Java SE,ProviderX,805,Intermediate,447,6,0.73,No,2
317,Google Cloud Engineer,ProviderX,971,Advanced,470,8,0.34,No,5
318,Azure Administrator,ProviderX,828,Advanced,54,7,0.49,Yes,2
319,Google Cloud Engineer,ProviderX,506,Intermediate,232,10,0.61,No,2
320,Azure Administrator,ProviderX,769,Advanced,205,6,0.75,Yes,4
321,TensorFlow Developer,ProviderX,354,Beginner,406,9,0.21,Yes,4
322,TensorFlow Developer,ProviderX,207,Intermediate,314,9,0.15,No,5
323,Google Cloud Engineer,ProviderX,850,Advanced,147,2,0.07,No,2
324,TensorFlow Developer,ProviderX,321,Intermediate,225,8,0.35,No,5
325,TensorFlow Developer,ProviderX,468,Beginner,111,7,0.31,No,4
326,TensorFlow Developer,ProviderX,424,Advanced,67,12,0.36,No,1
327,Oracle Java SE,ProviderX,338,Beginner,247,10,0.22,No,4
328,TensorFlow Developer,ProviderX,399,Intermediate,463,2,0.35,Yes,3
329,AWS Solutions Architect,ProviderX,258,Beginner,137,2,0.59,No,1
330,Oracle Java SE,ProviderX,933,Intermediate,324,11,0.6,No,2
331,TensorFlow Developer,ProviderX,992,Advanced,364,6,0.56,No,3
332,AWS Solutions Architect,ProviderX,73,Intermediate,476,2,0.06,Yes,4
333,TensorFlow Developer,ProviderX,55,Advanced,337,12,0.51,No,1
334,Oracle Java SE,ProviderX,987,Advanced,189,7,0.17,No,4
335,Google Cloud Engineer,ProviderX,395,Beginner,307,7,0.58,Yes,3
336,Azure Administrator,ProviderX,219,Beginner,316,2,0.69,Yes,1
337,TensorFlow Developer,ProviderX,680,Advanced,194,9,0.45,No,1
338,AWS Solutions Architect,ProviderX,831,Beginner,98,10,0.3,No,5
339,AWS Solutions Architect,ProviderX,211,Intermediate,208,1,0.82,No,3
340,TensorFlow Developer,ProviderX,434,Advanced,376,5,0.98,No,2
341,Google Cloud Engineer,ProviderX,269,Intermediate,308,2,0.68,No,5
342,Oracle Java SE,ProviderX,477,Intermediate,431,3,0.15,Yes,2
343,Google Cloud Engineer,ProviderX,904,Intermediate,253,8,0.63,No,5
344,Google Cloud Engineer,ProviderX,956,Beginner,457,5,0.96,No,3
345,Azure Administrator,ProviderX,340,Beginner,364,2,0.37,No,2
346,Azure Administrator,ProviderX,659,Intermediate,153,11,0.9,No,3
347,Oracle Java SE,ProviderX,222,Advanced,463,11,0.9,No,2
348,AWS Solutions Architect,ProviderX,238,Advanced,175,7,0.13,No,1
349,Google Cloud Engineer,ProviderX,69,Intermediate,51,6,0.78,Yes,4
350,Google Cloud Engineer,ProviderX,553,Beginner,134,4,0.81,Yes,4
351,Google Cloud Engineer,ProviderX,744,Intermediate,254,12,0.5,Yes,4
352,TensorFlow Developer,ProviderX,332,Beginner,293,12,0.73,Yes,2
353,Azure Administrator,ProviderX,319,Beginner,65,5,0.38,Yes,1
354,Azure Administrator,ProviderX,328,Intermediate,354,1,0.02,Yes,4
355,Oracle Java SE,ProviderX,561,Beginner,112,10,0.49,Yes,3
356,AWS Solutions Architect,ProviderX,940,Advanced,90,8,0.47,Yes,3
357,TensorFlow Developer,ProviderX,404,Advanced,388,2,0.33,No,3
358,Google Cloud Engineer,ProviderX,391,Advanced,490,1,0.49,No,3
359,Oracle Java SE,ProviderX,646,Beginner,371,9,0.38,Yes,3
360,Google Cloud Engineer,ProviderX,517,Intermediate,493,5,0.63,Yes,5
361,AWS Solutions Architect,ProviderX,325,Intermediate,386,2,0.42,No,2
362,Google Cloud Engineer,ProviderX,202,Advanced,294,9,0.47,No,3
363,TensorFlow Developer,ProviderX,711,Intermediate,457,1,0.98,No,3
364,Azure Administrator,ProviderX,463,Intermediate,109,3,0.28,No,1
