domain_id,domain_name,parent_domain,industry_sector,domain_growth_rate,automation_risk_score
45,Cybersecurity,Technology,IT,4.17,0.09
46,HealthTech,Technology,IT,9.88,0.08
47,Data Science,Technology,IT,19.64,0.38
48,Data Science,Technology,IT,22.87,0.89
49,Cybersecurity,Technology,IT,2.23,0.47
50,Data Science,Technology,IT,15.99,0.38
51,Cybersecurity,Technology,IT,5.66,0.55
52,Cybersecurity,Technology,IT,8.96,0.63
53,FinTech,Technology,IT,7.01,0.22
54,Cybersecurity,Technology,IT,3.41,0.2
55,Software Development,Technology,IT,10.77,0.78
56,Cybersecurity,Technology,IT,11.81,0.1
57,FinTech,Technology,IT,23.45,0.72
58,HealthTech,Technology,IT,13.99,0.04
59,HealthTech,Technology,IT,6.63,0.81
60,FinTech,Technology,IT,21.25,0.19
61,Software Development,Technology,IT,11.7,0.93
62,Software Development,Technology,IT,23.74,0.22
63,FinTech,Technology,IT,15.21,0.9
64,Data Science,Technology,IT,24.88,0.92
65,Cloud Computing,Technology,IT,8.78,0.63
66,HealthTech,Technology,IT,9.2,0.18
67,Data Science,Technology,IT,2.67,0.78
68,Software Development,Technology,IT,2.76,0.59
69,FinTech,Technology,IT,10.05,0.03
70,Data Science,Technology,IT,3.95,0.74
71,Software Development,Technology,IT,20.05,0.47
72,Data Science,Technology,IT,9.79,0.79
73,Software Development,Technology,IT,11.24,0.93
74,Data Science,Technology,IT,14.86,0.72
75,Cybersecurity,Technology,IT,19.8,0.77
76,Data Science,Technology,IT,2.72,0.1
77,Software Development,Technology,IT,16.09,0.7
78,FinTech,Technology,IT,23.37,0.76
79,Software Development,Technology,IT,2.75,0.59
80,Cybersecurity,Technology,IT,5.17,0.4
81,Cybersecurity,Technology,IT,3.8,0.34
82,Cloud Computing,Technology,IT,16.04,0.58
83,FinTech,Technology,IT,6.7,0.84
84,Cloud Computing,Technology,IT,20.55,0.56
85,Data Science,Technology,IT,14.51,0.42
86,Cybersecurity,Technology,IT,8.69,0.77
87,Data Science,Technology,IT,21.15,0.42
88,Software Development,Technology,IT,11.77,0.72
89,Cloud Computing,Technology,IT,9.45,0.67
90,Cybersecurity,Technology,IT,2.73,0.43
91,FinTech,Technology,IT,4.2,0.23
92,Software Development,Technology,IT,5.92,0.93
93,FinTech,Technology,IT,24.27,0.68
94,Cybersecurity,Technology,IT,12.01,0.47
95,FinTech,Technology,IT,2.38,0.45
96,FinTech,Technology,IT,20.84,0.28
97,Software Development,Technology,IT,9.05,0.68
98,Data Science,Technology,IT,13.22,0.93
99,Cybersecurity,Technology,IT,13.85,0.11
100,Cybersecurity,Technology,IT,7.21,0.42
101,FinTech,Technology,IT,4.5,0.91
102,Software Development,Technology,IT,22.5,0.21
103,FinTech,Technology,IT,13.49,0.31
104,Cybersecurity,Technology,IT,2.38,0.07
105,HealthTech,Technology,IT,22.27,0.26
106,Software Development,Technology,IT,7.52,0.34
107,Software Development,Technology,IT,20.88,0.93
108,Data Science,Technology,IT,9.94,0.17
109,FinTech,Technology,IT,10.93,0.25
110,FinTech,Technology,IT,22.01,0.99
111,Cybersecurity,Technology,IT,17.03,0.1
112,HealthTech,Technology,IT,20.2,0.38
113,HealthTech,Technology,IT,4.74,0.55
114,Cloud Computing,Technology,IT,22.29,0.93
115,Software Development,Technology,IT,23.0,0.42
116,Software Development,Technology,IT,19.34,0.23
117,Cybersecurity,Technology,IT,14.94,0.63
118,Software Development,Technology,IT,10.94,0.77
119,FinTech,Technology,IT,7.01,0.74
120,Software Development,Technology,IT,13.53,0.81
121,FinTech,Technology,IT,8.67,0.48
122,Cloud Computing,Technology,IT,11.66,0.47
123,FinTech,Technology,IT,7.42,0.62
124,HealthTech,Technology,IT,9.76,0.13
125,HealthTech,Technology,IT,13.91,0.49
126,Cybersecurity,Technology,IT,16.21,0.75
127,HealthTech,Technology,IT,2.52,0.14
128,FinTech,Technology,IT,11.92,0.66
129,Cybersecurity,Technology,IT,24.84,0.98
130,Data Science,Technology,IT,11.33,0.86
131,Cloud Computing,Technology,IT,17.24,0.34
132,Cloud Computing,Technology,IT,7.31,0.11
133,Cloud Computing,Technology,IT,8.8,0.91
134,Data Science,Technology,IT,9.08,0.33
135,Software Development,Technology,IT,18.34,0.02
136,Software Development,Technology,IT,4.95,0.82
137,HealthTech,Technology,IT,13.64,0.15
138,Cloud Computing,Technology,IT,6.95,0.21
139,FinTech,Technology,IT,23.84,0.91
140,Data Science,Technology,IT,12.71,0.81
141,FinTech,Technology,IT,19.27,0.15
142,Cybersecurity,Technology,IT,3.04,0.43
143,Cybersecurity,Technology,IT,3.86,0.6
144,FinTech,Technology,IT,7.02,0.76
145,Cybersecurity,Technology,IT,11.81,0.09
146,Data Science,Technology,IT,4.4,0.57
147,Cybersecurity,Technology,IT,3.29,0.11
148,Cloud Computing,Technology,IT,11.69,0.31
149,Data Science,Technology,IT,14.79,0.42
150,Cybersecurity,Technology,IT,4.17,0.28
151,Cybersecurity,Technology,IT,5.65,0.32
152,Cloud Computing,Technology,IT,7.97,0.46
153,Cybersecurity,Technology,IT,2.07,0.4
154,Software Development,Technology,IT,12.64,0.0
155,Software Development,Technology,IT,5.42,0.39
156,FinTech,Technology,IT,19.33,0.39
157,Cybersecurity,Technology,IT,3.74,0.31
158,Software Development,Technology,IT,5.3,0.69
159,Cybersecurity,Technology,IT,4.94,0.12
160,HealthTech,Technology,IT,18.81,0.95
161,Data Science,Technology,IT,9.22,0.02
162,Cloud Computing,Technology,IT,15.94,0.3
163,Cybersecurity,Technology,IT,22.03,0.45
164,Software Development,Technology,IT,2.35,0.94
165,Cloud Computing,Technology,IT,3.92,0.79
166,Cybersecurity,Technology,IT,19.56,0.95
167,Cybersecurity,Technology,IT,8.05,0.18
168,Cloud Computing,Technology,IT,6.83,0.59
169,HealthTech,Technology,IT,5.79,0.42
170,Cloud Computing,Technology,IT,17.17,0.11
171,FinTech,Technology,IT,9.79,0.59
172,Cloud Computing,Technology,IT,8.97,0.95
173,HealthTech,Technology,IT,6.25,0.81
174,HealthTech,Technology,IT,8.12,0.62
175,FinTech,Technology,IT,13.75,0.85
176,Cloud Computing,Technology,IT,4.75,0.97
177,Software Development,Technology,IT,11.95,0.57
178,Cloud Computing,Technology,IT,3.43,0.1
179,Software Development,Technology,IT,6.84,0.14
180,Data Science,Technology,IT,11.35,0.34
181,FinTech,Technology,IT,17.49,0.15
182,FinTech,Technology,IT,5.03,0.2
183,Data Science,Technology,IT,6.09,0.28
184,Software Development,Technology,IT,2.68,0.87
185,Data Science,Technology,IT,5.71,0.47
186,FinTech,Technology,IT,6.1,0.02
187,FinTech,Technology,IT,15.68,0.03
188,Software Development,Technology,IT,7.5,0.12
189,FinTech,Technology,IT,20.04,0.35
190,HealthTech,Technology,IT,16.6,0.82
191,Software Development,Technology,IT,4.13,0.84
192,Software Development,Technology,IT,20.12,0.75
193,HealthTech,Technology,IT,13.32,0.54
194,Cloud Computing,Technology,IT,4.62,0.54
195,Cloud Computing,Technology,IT,4.23,0.69
196,Cybersecurity,Technology,IT,17.88,0.82
197,Software Development,Technology,IT,20.69,0.55
198,FinTech,Technology,IT,19.88,0.3
199,Cybersecurity,Technology,IT,24.11,0.87
200,Data Science,Technology,IT,16.72,0.79
201,Cybersecurity,Technology,IT,20.35,0.58
202,Cybersecurity,Technology,IT,3.92,0.41
203,Data Science,Technology,IT,2.39,0.7
204,FinTech,Technology,IT,14.92,0.69
205,Cybersecurity,Technology,IT,7.35,0.53
206,Cloud Computing,Technology,IT,15.15,0.25
207,Cybersecurity,Technology,IT,6.85,0.72
208,Software Development,Technology,IT,7.61,0.23
209,FinTech,Technology,IT,6.91,0.3
210,FinTech,Technology,IT,17.54,0.55
211,Cloud Computing,Technology,IT,16.09,0.5
212,HealthTech,Technology,IT,12.75,0.73
213,HealthTech,Technology,IT,4.99,0.8
214,Software Development,Technology,IT,8.93,0.99
215,Cloud Computing,Technology,IT,13.08,0.03
216,Cybersecurity,Technology,IT,5.12,0.21
217,Software Development,Technology,IT,13.26,0.18
218,HealthTech,Technology,IT,11.14,0.78
219,Cloud Computing,Technology,IT,19.14,0.25
220,Software Development,Technology,IT,15.82,0.42
221,FinTech,Technology,IT,3.02,0.44
222,Cybersecurity,Technology,IT,3.92,0.41
223,Software Development,Technology,IT,19.55,0.36
224,Software Development,Technology,IT,18.14,0.74
225,HealthTech,Technology,IT,9.62,0.2
226,FinTech,Technology,IT,23.6,0.73
227,HealthTech,Technology,IT,19.04,0.94
228,Cybersecurity,Technology,IT,4.35,0.14
229,HealthTech,Technology,IT,6.55,0.94
230,FinTech,Technology,IT,23.92,0.94
231,Software Development,Technology,IT,20.38,0.25
232,Software Development,Technology,IT,3.22,0.18
233,Cloud Computing,Technology,IT,19.44,0.06
234,HealthTech,Technology,IT,19.56,0.13
235,FinTech,Technology,IT,23.07,0.13
236,FinTech,Technology,IT,10.16,0.09
237,Cybersecurity,Technology,IT,12.55,0.48
238,HealthTech,Technology,IT,19.67,0.03
239,HealthTech,Technology,IT,16.75,0.91
240,Cloud Computing,Technology,IT,23.23,0.22
241,Data Science,Technology,IT,4.99,0.92
242,Cybersecurity,Technology,IT,7.74,0.13
243,Cybersecurity,Technology,IT,12.27,0.44
244,Data Science,Technology,IT,12.06,0.46
245,Data Science,Technology,IT,9.46,0.18
246,Software Development,Technology,IT,12.64,0.35
247,Software Development,Technology,IT,12.67,0.01
248,Cybersecurity,Technology,IT,4.58,0.62
249,HealthTech,Technology,IT,5.39,0.49
250,Data Science,Technology,IT,8.73,0.12
251,Cybersecurity,Technology,IT,7.27,0.14
252,Cloud Computing,Technology,IT,6.35,0.15
253,Cybersecurity,Technology,IT,14.32,0.32
254,Cloud Computing,Technology,IT,8.43,0.15
255,Software Development,Technology,IT,4.95,0.72
256,FinTech,Technology,IT,18.1,0.22
257,Cybersecurity,Technology,IT,6.52,0.73
258,Cybersecurity,Technology,IT,16.25,0.21
259,FinTech,Technology,IT,23.42,0.77
260,HealthTech,Technology,IT,14.06,0.31
261,FinTech,Technology,IT,18.63,0.8
262,Software Development,Technology,IT,14.93,0.37
263,FinTech,Technology,IT,8.03,0.24
264,HealthTech,Technology,IT,10.8,0.31
265,Cloud Computing,Technology,IT,11.03,0.3
266,Cloud Computing,Technology,IT,18.57,0.02
267,Software Development,Technology,IT,15.6,0.67
268,FinTech,Technology,IT,8.18,0.93
269,Data Science,Technology,IT,6.29,0.84
270,FinTech,Technology,IT,11.27,0.84
271,Cloud Computing,Technology,IT,24.42,0.69
272,Data Science,Technology,IT,12.18,0.43
273,Data Science,Technology,IT,19.39,0.73
274,Cloud Computing,Technology,IT,8.12,0.71
275,Software Development,Technology,IT,20.57,0.14
276,FinTech,Technology,IT,7.07,0.94
277,FinTech,Technology,IT,22.26,0.27
278,Data Science,Technology,IT,13.7,0.85
279,Data Science,Technology,IT,19.3,0.85
280,FinTech,Technology,IT,4.22,0.79
281,Data Science,Technology,IT,19.55,0.7
282,FinTech,Technology,IT,14.11,0.06
283,FinTech,Technology,IT,21.6,0.52
284,HealthTech,Technology,IT,9.91,0.92
285,Cybersecurity,Technology,IT,12.52,0.42
286,FinTech,Technology,IT,15.78,0.8
287,Data Science,Technology,IT,17.73,0.95
288,Cybersecurity,Technology,IT,16.36,0.04
289,HealthTech,Technology,IT,20.9,0.43
290,Cybersecurity,Technology,IT,3.12,0.72
291,Cybersecurity,Technology,IT,3.06,0.73
292,FinTech,Technology,IT,22.14,0.66
293,FinTech,Technology,IT,11.44,0.88
294,HealthTech,Technology,IT,2.37,0.2
295,Cloud Computing,Technology,IT,5.0,0.38
296,Cybersecurity,Technology,IT,7.45,0.7
297,HealthTech,Technology,IT,2.89,0.34
298,Cloud Computing,Technology,IT,4.76,0.62
299,FinTech,Technology,IT,18.12,0.43
300,Data Science,Technology,IT,14.17,0.84
301,Software Development,Technology,IT,10.78,0.81
302,FinTech,Technology,IT,21.49,0.99
303,Data Science,Technology,IT,12.73,0.72
304,Cloud Computing,Technology,IT,20.12,0.51
305,Cybersecurity,Technology,IT,8.76,0.6
306,FinTech,Technology,IT,18.74,0.68
307,Cybersecurity,Technology,IT,9.23,0.77
308,Data Science,Technology,IT,5.45,0.75
309,FinTech,Technology,IT,8.16,0.74
310,Data Science,Technology,IT,17.87,0.85
311,Cybersecurity,Technology,IT,12.08,0.03
312,Cloud Computing,Technology,IT,3.9,0.94
313,Data Science,Technology,IT,21.54,0.31
314,FinTech,Technology,IT,12.16,0.39
315,Cloud Computing,Technology,IT,22.28,0.82
316,Cybersecurity,Technology,IT,12.02,0.17
317,Cybersecurity,Technology,IT,11.05,1.0
318,FinTech,Technology,IT,7.27,0.26
319,FinTech,Technology,IT,3.56,0.88
320,Cloud Computing,Technology,IT,18.42,0.64
321,FinTech,Technology,IT,9.53,0.82
322,HealthTech,Technology,IT,19.96,0.84
323,FinTech,Technology,IT,14.53,0.48
324,FinTech,Technology,IT,14.96,0.59
325,Cloud Computing,Technology,IT,9.87,0.36
326,Cybersecurity,Technology,IT,10.68,0.9
327,Cybersecurity,Technology,IT,2.99,0.15
328,Data Science,Technology,IT,8.88,0.15
329,FinTech,Technology,IT,24.73,0.21
330,Cloud Computing,Technology,IT,3.22,0.31
331,HealthTech,Technology,IT,22.9,0.68
332,FinTech,Technology,IT,11.19,0.16
333,Cloud Computing,Technology,IT,3.59,0.35
334,Cybersecurity,Technology,IT,4.71,0.66
335,HealthTech,Technology,IT,15.59,0.2
336,FinTech,Technology,IT,22.53,0.91
337,FinTech,Technology,IT,17.41,0.44
338,Data Science,Technology,IT,19.54,0.88
339,Cloud Computing,Technology,IT,9.9,0.06
340,FinTech,Technology,IT,19.89,0.5
341,Cloud Computing,Technology,IT,2.75,0.74
342,Data Science,Technology,IT,2.7,0.88
343,Cloud Computing,Technology,IT,5.82,0.18
344,Cybersecurity,Technology,IT,15.28,0.49
345,Cybersecurity,Technology,IT,14.12,0.2
346,FinTech,Technology,IT,5.85,0.08
347,Cybersecurity,Technology,IT,16.85,0.49
348,FinTech,Technology,IT,23.63,0.98
349,FinTech,Technology,IT,4.61,0.59
350,Cloud Computing,Technology,IT,20.49,0.62
351,Cloud Computing,Technology,IT,13.63,0.25
352,Cybersecurity,Technology,IT,18.61,0.32
353,Software Development,Technology,IT,8.25,0.15
354,Cybersecurity,Technology,IT,24.33,0.46
355,FinTech,Technology,IT,13.57,0.09
356,FinTech,Technology,IT,14.75,0.43
357,Data Science,Technology,IT,19.81,0.88
358,Software Development,Technology,IT,17.66,0.78
359,Data Science,Technology,IT,3.54,0.2
360,FinTech,Technology,IT,11.56,0.82
361,Software Development,Technology,IT,20.93,0.37
362,Cybersecurity,Technology,IT,3.8,0.98
363,FinTech,Technology,IT,20.8,0.83
364,Data Science,Technology,IT,3.29,0.0
365,Cloud Computing,Technology,IT,23.52,0.75
366,Cloud Computing,Technology,IT,7.52,0.98
367,Cybersecurity,Technology,IT,6.75,0.63
368,Cloud Computing,Technology,IT,5.3,0.76
369,Cybersecurity,Technology,IT,15.32,0.79
370,Data Science,Technology,IT,12.05,0.14
371,FinTech,Technology,IT,13.07,0.79
372,Cloud Computing,Technology,IT,4.9,0.94
373,Software Development,Technology,IT,5.89,0.29
374,Software Development,Technology,IT,23.1,0.65
375,FinTech,Technology,IT,9.09,0.66
376,Data Science,Technology,IT,5.01,0.62
377,Software Development,Technology,IT,8.87,0.93
378,FinTech,Technology,IT,16.7,0.41
379,HealthTech,Technology,IT,16.03,0.22
380,HealthTech,Technology,IT,6.01,0.43
381,Software Development,Technology,IT,8.46,0.39
382,Cybersecurity,Technology,IT,2.1,0.57
383,HealthTech,Technology,IT,3.54,0.63
384,Cybersecurity,Technology,IT,10.86,0.58
385,FinTech,Technology,IT,19.33,0.14
386,Cloud Computing,Technology,IT,5.21,0.63
387,Data Science,Technology,IT,18.94,0.64
388,FinTech,Technology,IT,2.77,1.0
389,Data Science,Technology,IT,12.35,0.68
390,Cybersecurity,Technology,IT,24.09,0.11
391,Cloud Computing,Technology,IT,6.28,0.4
392,Cloud Computing,Technology,IT,21.82,0.86
393,Cybersecurity,Technology,IT,19.01,0.82
394,Cloud Computing,Technology,IT,2.59,0.43
395,HealthTech,Technology,IT,17.28,0.0
396,FinTech,Technology,IT,10.29,0.58
397,Software Development,Technology,IT,11.85,0.97
398,Data Science,Technology,IT,24.52,0.79
399,FinTech,Technology,IT,18.69,0.1
400,Cybersecurity,Technology,IT,7.62,0.1
401,Data Science,Technology,IT,24.19,0.74
402,Cloud Computing,Technology,IT,7.74,0.03
403,Data Science,Technology,IT,12.36,0.75
404,Software Development,Technology,IT,21.48,0.07
405,Cybersecurity,Technology,IT,18.19,0.16
406,Cybersecurity,Technology,IT,24.05,0.99
407,Data Science,Technology,IT,14.78,0.66
408,Data Science,Technology,IT,6.99,0.11
409,Software Development,Technology,IT,13.69,0.24
410,Cybersecurity,Technology,IT,11.38,0.93
411,FinTech,Technology,IT,8.94,0.84
412,Cybersecurity,Technology,IT,20.25,0.32
413,Software Development,Technology,IT,7.5,0.16
414,Cloud Computing,Technology,IT,24.16,0.13
415,Software Development,Technology,IT,24.59,0.81
416,Cybersecurity,Technology,IT,18.83,0.83
417,Software Development,Technology,IT,3.99,0.85
418,HealthTech,Technology,IT,21.99,0.21
419,Cybersecurity,Technology,IT,10.14,0.78
420,FinTech,Technology,IT,9.57,0.85
421,FinTech,Technology,IT,11.88,0.96
422,Cybersecurity,Technology,IT,7.12,0.48
423,Data Science,Technology,IT,12.39,0.63
424,Cloud Computing,Technology,IT,4.69,0.62
425,Cybersecurity,Technology,IT,19.87,0.52
426,HealthTech,Technology,IT,8.68,0.3
427,Cybersecurity,Technology,IT,17.95,0.01
428,Cybersecurity,Technology,IT,19.23,0.48
429,HealthTech,Technology,IT,23.03,0.38
430,Cybersecurity,Technology,IT,24.77,0.21
431,HealthTech,Technology,IT,13.43,0.94
432,FinTech,Technology,IT,4.14,0.56
433,Cloud Computing,Technology,IT,13.82,0.06
434,HealthTech,Technology,IT,17.37,0.87
435,Cybersecurity,Technology,IT,2.23,0.56
436,FinTech,Technology,IT,3.26,0.62
437,HealthTech,Technology,IT,10.49,0.07
438,HealthTech,Technology,IT,17.51,0.15
439,FinTech,Technology,IT,17.8,0.75
440,Data Science,Technology,IT,21.38,0.35
441,HealthTech,Technology,IT,19.69,0.71
442,Software Development,Technology,IT,10.68,0.16
443,HealthTech,Technology,IT,22.59,0.04
444,HealthTech,Technology,IT,15.97,0.69
445,Data Science,Technology,IT,2.32,0.78
446,Software Development,Technology,IT,22.03,0.32
447,Cybersecurity,Technology,IT,22.73,0.86
448,Cybersecurity,Technology,IT,13.01,0.82
449,HealthTech,Technology,IT,6.09,0.87
450,HealthTech,Technology,IT,18.17,0.54
451,Software Development,Technology,IT,6.67,0.98
452,Cybersecurity,Technology,IT,15.03,0.34
453,Software Development,Technology,IT,13.93,0.77
454,Cybersecurity,Technology,IT,19.68,0.31
455,FinTech,Technology,IT,5.02,0.55
456,FinTech,Technology,IT,19.23,0.97
457,HealthTech,Technology,IT,8.44,0.86
458,Software Development,Technology,IT,11.06,0.34
459,Cybersecurity,Technology,IT,19.33,0.12
460,Cybersecurity,Technology,IT,5.16,0.57
461,HealthTech,Technology,IT,2.96,0.25
462,Cybersecurity,Technology,IT,22.79,0.75
463,HealthTech,Technology,IT,21.41,0.32
464,Cloud Computing,Technology,IT,8.32,0.17
465,Software Development,Technology,IT,12.33,0.57
466,HealthTech,Technology,IT,11.31,0.26
467,FinTech,Technology,IT,6.86,0.5
468,FinTech,Technology,IT,7.36,0.08
469,HealthTech,Technology,IT,11.4,0.27
470,Software Development,Technology,IT,17.19,0.06
471,FinTech,Technology,IT,11.52,0.58
472,FinTech,Technology,IT,11.43,0.79
473,HealthTech,Technology,IT,5.75,0.22
474,Cybersecurity,Technology,IT,11.06,0.51
475,Data Science,Technology,IT,9.55,0.64
476,Data Science,Technology,IT,5.36,0.92
477,HealthTech,Technology,IT,4.52,0.36
478,Cloud Computing,Technology,IT,20.44,0.5
479,Cybersecurity,Technology,IT,22.3,0.78
480,Cloud Computing,Technology,IT,21.83,0.3
481,Cybersecurity,Technology,IT,14.48,0.23
482,HealthTech,Technology,IT,5.91,0.51
483,Data Science,Technology,IT,9.39,0.45
484,Software Development,Technology,IT,22.56,0.36
485,FinTech,Technology,IT,5.36,0.96
486,FinTech,Technology,IT,23.66,0.67
487,Data Science,Technology,IT,13.59,0.42
488,Software Development,Technology,IT,2.66,0.66
489,Cybersecurity,Technology,IT,15.34,0.89
490,Software Development,Technology,IT,9.0,0.62
491,HealthTech,Technology,IT,14.95,0.74
492,Cybersecurity,Technology,IT,7.7,0.37
493,Cybersecurity,Technology,IT,23.87,0.68
494,Software Development,Technology,IT,9.37,0.96
495,Cybersecurity,Technology,IT,18.02,0.98
496,Cloud Computing,Technology,IT,14.15,0.53
497,Cybersecurity,Technology,IT,6.97,0.35
498,Cybersecurity,Technology,IT,11.33,0.49
499,Cloud Computing,Technology,IT,10.24,0.81
500,Data Science,Technology,IT,23.48,0.96
501,Cloud Computing,Technology,IT,23.0,0.65
502,Cloud Computing,Technology,IT,14.49,0.41
503,Cloud Computing,Technology,IT,11.38,0.51
504,Data Science,Technology,IT,17.31,0.74
505,Data Science,Technology,IT,9.36,0.88
506,Cybersecurity,Technology,IT,14.03,0.69
507,Cybersecurity,Technology,IT,19.91,0.39
508,HealthTech,Technology,IT,4.46,0.67
509,Cloud Computing,Technology,IT,17.23,0.56
510,Cloud Computing,Technology,IT,17.4,0.58
511,Data Science,Technology,IT,5.61,0.23
512,HealthTech,Technology,IT,24.9,0.23
513,HealthTech,Technology,IT,5.08,0.42
514,Cloud Computing,Technology,IT,11.3,0.46
515,Data Science,Technology,IT,23.56,0.75
516,HealthTech,Technology,IT,8.52,0.42
517,Cloud Computing,Technology,IT,10.9,0.45
518,Cybersecurity,Technology,IT,24.67,0.78
519,Data Science,Technology,IT,12.83,0.94
520,Cloud Computing,Technology,IT,22.5,0.52
521,HealthTech,Technology,IT,12.58,0.24
522,Software Development,Technology,IT,8.32,0.11
523,Cybersecurity,Technology,IT,23.86,0.33
524,Data Science,Technology,IT,4.32,0.64
525,Cloud Computing,Technology,IT,17.85,0.85
526,Data Science,Technology,IT,12.0,0.64
527,Cloud Computing,Technology,IT,15.52,0.7
528,Data Science,Technology,IT,20.25,0.05
529,HealthTech,Technology,IT,7.53,0.81
530,HealthTech,Technology,IT,15.28,0.91
531,HealthTech,Technology,IT,23.42,0.59
532,Cloud Computing,Technology,IT,12.8,0.55
533,Cybersecurity,Technology,IT,3.8,0.97
534,HealthTech,Technology,IT,23.56,0.15
535,Software Development,Technology,IT,19.45,0.44
536,HealthTech,Technology,IT,15.06,0.92
537,Cloud Computing,Technology,IT,22.86,0.47
538,HealthTech,Technology,IT,20.92,0.23
539,Cloud Computing,Technology,IT,2.49,0.98
540,FinTech,Technology,IT,19.32,0.21
541,FinTech,Technology,IT,24.97,0.03
542,Data Science,Technology,IT,7.11,0.6
543,FinTech,Technology,IT,10.22,0.68
544,Data Science,Technology,IT,18.44,0.4
545,Software Development,Technology,IT,3.84,0.02
546,Cybersecurity,Technology,IT,20.66,0.63
547,Cloud Computing,Technology,IT,12.93,0.47
548,Software Development,Technology,IT,19.08,0.9
549,Software Development,Technology,IT,14.09,0.81
550,Cloud Computing,Technology,IT,2.96,0.65
551,Data Science,Technology,IT,23.01,0.9
552,Data Science,Technology,IT,14.66,0.27
553,Data Science,Technology,IT,23.33,0.15
554,FinTech,Technology,IT,24.83,0.09
555,FinTech,Technology,IT,9.74,0.94
556,FinTech,Technology,IT,19.06,0.4
557,Data Science,Technology,IT,3.44,0.65
558,Software Development,Technology,IT,19.34,0.05
559,HealthTech,Technology,IT,22.11,0.43
560,Software Development,Technology,IT,10.57,0.51
561,Cybersecurity,Technology,IT,7.34,0.38
562,Software Development,Technology,IT,11.71,0.98
563,FinTech,Technology,IT,3.73,0.5
564,Cybersecurity,Technology,IT,20.25,0.2
565,FinTech,Technology,IT,2.67,0.13
566,Cloud Computing,Technology,IT,21.19,0.52
567,Cybersecurity,Technology,IT,24.1,0.64
568,Cybersecurity,Technology,IT,23.13,0.26
569,HealthTech,Technology,IT,24.31,0.87
570,Software Development,Technology,IT,19.81,0.89
571,FinTech,Technology,IT,19.06,0.83
572,Software Development,Technology,IT,4.31,0.85
573,Cloud Computing,Technology,IT,15.65,0.84
574,Cloud Computing,Technology,IT,17.86,0.98
575,Data Science,Technology,IT,5.37,0.51
576,FinTech,Technology,IT,6.6,0.6
577,Cybersecurity,Technology,IT,14.33,0.22
578,Cybersecurity,Technology,IT,7.76,0.48
579,Cloud Computing,Technology,IT,15.94,0.96
580,Cloud Computing,Technology,IT,3.3,0.09
581,HealthTech,Technology,IT,18.46,0.99
582,Software Development,Technology,IT,14.93,0.8
583,HealthTech,Technology,IT,20.88,0.39
584,Data Science,Technology,IT,14.59,0.87
585,Data Science,Technology,IT,21.81,0.5
586,Data Science,Technology,IT,11.93,0.74
587,Software Development,Technology,IT,17.61,0.74
588,Cybersecurity,Technology,IT,24.26,0.7
589,Cloud Computing,Technology,IT,6.29,0.56
590,FinTech,Technology,IT,8.57,0.35
591,Cybersecurity,Technology,IT,8.03,0.19
592,Cloud Computing,Technology,IT,14.06,0.19
593,Cybersecurity,Technology,IT,3.46,0.48
594,Data Science,Technology,IT,10.71,0.36
595,Data Science,Technology,IT,19.36,0.39
596,Cloud Computing,Technology,IT,19.95,0.89
597,HealthTech,Technology,IT,10.73,0.35
598,Cloud Computing,Technology,IT,3.99,0.34
