indicator_id,phrase_pattern,soft_skill_type,weight,polarity,confidence_score
57,handled pressure,Problem Solving,1.0,positive,0.93
58,handled pressure,Teamwork,0.04,negative,0.62
59,collaborated with team,Communication,0.7,positive,0.9
60,resolved conflicts,Adaptability,0.46,positive,0.77
61,managed deadlines,Adaptability,0.37,negative,0.66
62,handled pressure,Teamwork,0.53,positive,0.87
63,managed deadlines,Communication,0.59,positive,0.76
64,communicated effectively,Communication,0.84,positive,0.72
65,collaborated with team,Communication,0.88,negative,0.9
66,handled pressure,Problem Solving,0.32,negative,0.67
67,managed deadlines,Communication,0.08,positive,0.66
68,handled pressure,Leadership,0.72,negative,0.81
69,handled pressure,Adaptability,0.39,negative,0.69
70,resolved conflicts,Teamwork,0.94,negative,0.76
71,communicated effectively,Adaptability,0.11,negative,0.69
72,managed deadlines,Teamwork,0.51,negative,0.82
73,managed deadlines,Teamwork,0.62,positive,0.79
74,collaborated with team,Leadership,0.06,negative,0.84
75,communicated effectively,Adaptability,0.13,positive,0.76
76,communicated effectively,Problem Solving,0.72,negative,0.91
77,managed deadlines,Communication,0.73,positive,0.91
78,managed deadlines,Communication,0.0,positive,0.88
79,communicated effectively,Teamwork,0.97,negative,0.83
80,handled pressure,Communication,0.24,positive,0.71
81,handled pressure,Problem Solving,0.61,positive,0.77
82,handled pressure,Leadership,0.17,positive,0.81
83,communicated effectively,Leadership,0.97,positive,0.86
84,managed deadlines,Teamwork,0.37,positive,0.91
85,communicated effectively,Adaptability,0.38,negative,0.96
86,collaborated with team,Adaptability,0.07,negative,0.97
87,resolved conflicts,Adaptability,0.03,positive,0.81
88,handled pressure,Problem Solving,0.81,negative,0.7
89,collaborated with team,Teamwork,0.09,negative,0.82
90,managed deadlines,Leadership,0.46,positive,0.89
91,collaborated with team,Leadership,0.28,negative,0.85
92,collaborated with team,Adaptability,0.66,negative,0.66
93,handled pressure,Problem Solving,0.02,positive,0.66
94,managed deadlines,Teamwork,0.3,positive,0.93
95,resolved conflicts,Communication,0.74,negative,0.85
96,managed deadlines,Problem Solving,0.46,negative,0.85
97,collaborated with team,Problem Solving,0.48,negative,0.76
98,managed deadlines,Communication,0.58,negative,0.72
99,collaborated with team,Teamwork,0.89,positive,0.65
100,communicated effectively,Teamwork,0.47,negative,0.63
101,collaborated with team,Teamwork,0.2,positive,0.7
102,resolved conflicts,Teamwork,0.48,positive,0.77
103,handled pressure,Teamwork,0.99,negative,0.81
104,collaborated with team,Communication,0.26,negative,0.78
105,handled pressure,Communication,0.8,negative,0.64
106,resolved conflicts,Leadership,0.25,negative,0.84
107,resolved conflicts,Adaptability,0.22,negative,0.86
108,collaborated with team,Adaptability,0.26,positive,0.8
109,handled pressure,Problem Solving,0.64,negative,0.83
110,collaborated with team,Leadership,0.84,positive,0.68
111,collaborated with team,Problem Solving,0.36,positive,0.86
112,communicated effectively,Leadership,0.45,positive,0.85
113,collaborated with team,Communication,0.05,negative,0.98
114,managed deadlines,Adaptability,0.5,positive,0.85
115,resolved conflicts,Teamwork,0.89,negative,0.87
116,collaborated with team,Teamwork,0.8,positive,0.9
117,resolved conflicts,Adaptability,0.16,negative,0.67
118,communicated effectively,Communication,0.05,negative,0.71
119,handled pressure,Leadership,0.49,positive,0.93
120,collaborated with team,Adaptability,0.05,negative,0.87
121,handled pressure,Communication,0.83,negative,0.69
122,collaborated with team,Communication,0.63,positive,0.91
123,handled pressure,Communication,0.36,positive,0.9
124,resolved conflicts,Adaptability,0.8,negative,0.8
125,managed deadlines,Adaptability,0.84,positive,0.71
126,collaborated with team,Adaptability,0.82,positive,0.82
127,managed deadlines,Teamwork,0.57,positive,0.69
128,resolved conflicts,Communication,0.88,negative,0.76
129,communicated effectively,Problem Solving,0.43,positive,0.98
130,collaborated with team,Teamwork,0.59,negative,0.73
131,communicated effectively,Leadership,0.04,negative,0.8
132,resolved conflicts,Adaptability,0.24,positive,0.69
133,communicated effectively,Leadership,0.15,negative,0.99
134,handled pressure,Adaptability,0.56,positive,0.65
135,handled pressure,Teamwork,0.76,positive,0.69
136,communicated effectively,Adaptability,0.19,negative,0.63
137,resolved conflicts,Teamwork,0.26,negative,0.69
138,managed deadlines,Adaptability,0.42,negative,0.7
139,collaborated with team,Adaptability,0.16,positive,0.97
140,handled pressure,Adaptability,0.77,positive,0.82
141,collaborated with team,Leadership,0.61,positive,0.95
142,collaborated with team,Problem Solving,0.39,negative,0.67
143,handled pressure,Problem Solving,0.85,positive,0.69
144,communicated effectively,Communication,0.33,negative,0.84
145,managed deadlines,Teamwork,0.97,negative,0.85
146,resolved conflicts,Leadership,0.29,positive,0.92
147,handled pressure,Problem Solving,0.63,negative,0.91
148,handled pressure,Leadership,0.25,negative,0.88
149,resolved conflicts,Adaptability,0.7,positive,0.86
150,handled pressure,Problem Solving,0.35,negative,0.86
151,resolved conflicts,Problem Solving,0.42,negative,0.92
152,resolved conflicts,Communication,0.83,positive,0.85
153,handled pressure,Teamwork,0.71,positive,0.91
154,collaborated with team,Problem Solving,0.34,negative,0.89
155,handled pressure,Adaptability,0.85,positive,0.71
156,managed deadlines,Leadership,0.08,positive,0.88
157,resolved conflicts,Communication,0.24,negative,0.91
158,communicated effectively,Problem Solving,0.07,negative,0.81
159,resolved conflicts,Teamwork,0.2,positive,0.88
160,collaborated with team,Leadership,0.92,positive,0.75
161,communicated effectively,Communication,0.42,negative,0.9
162,handled pressure,Communication,0.52,positive,0.98
163,collaborated with team,Teamwork,0.43,negative,0.72
164,managed deadlines,Adaptability,0.83,positive,0.95
165,collaborated with team,Problem Solving,0.56,negative,0.86
166,managed deadlines,Teamwork,0.26,positive,0.73
167,handled pressure,Problem Solving,0.5,positive,0.71
168,resolved conflicts,Communication,0.36,positive,0.8
169,communicated effectively,Communication,0.31,positive,0.72
170,collaborated with team,Teamwork,0.9,positive,0.89
171,managed deadlines,Adaptability,0.75,negative,0.79
172,communicated effectively,Adaptability,0.39,negative,0.75
173,collaborated with team,Leadership,0.08,positive,0.62
174,resolved conflicts,Adaptability,0.27,positive,0.83
175,resolved conflicts,Communication,0.43,positive,0.71
176,handled pressure,Leadership,0.15,positive,0.85
177,managed deadlines,Communication,0.1,negative,0.72
178,handled pressure,Teamwork,0.03,negative,0.96
179,communicated effectively,Teamwork,0.97,positive,0.78
180,handled pressure,Teamwork,0.66,negative,0.81
181,collaborated with team,Problem Solving,0.91,negative,0.96
182,handled pressure,Adaptability,0.95,negative,0.91
183,communicated effectively,Problem Solving,0.4,positive,0.71
184,handled pressure,Communication,0.83,positive,0.76
185,managed deadlines,Problem Solving,0.99,negative,0.93
186,collaborated with team,Problem Solving,0.96,negative,0.81
187,handled pressure,Leadership,0.09,negative,0.93
188,collaborated with team,Problem Solving,0.86,positive,0.8
189,collaborated with team,Communication,0.19,negative,0.93
190,collaborated with team,Adaptability,0.37,positive,0.8
191,handled pressure,Teamwork,0.89,negative,0.91
192,managed deadlines,Adaptability,0.98,positive,0.7
193,managed deadlines,Teamwork,0.22,negative,0.89
194,collaborated with team,Leadership,0.47,positive,0.9
195,handled pressure,Leadership,0.9,positive,0.89
196,resolved conflicts,Leadership,0.74,positive,0.72
197,handled pressure,Teamwork,0.81,negative,0.79
198,handled pressure,Leadership,0.52,negative,0.63
199,resolved conflicts,Leadership,0.38,positive,0.93
200,handled pressure,Communication,0.45,positive,0.87
201,collaborated with team,Adaptability,0.92,positive,0.96
202,communicated effectively,Teamwork,0.45,positive,0.76
203,managed deadlines,Teamwork,0.81,positive,0.97
204,resolved conflicts,Leadership,0.15,positive,0.73
205,handled pressure,Adaptability,0.17,negative,0.83
206,communicated effectively,Communication,0.73,positive,0.79
207,resolved conflicts,Problem Solving,0.08,positive,0.98
208,managed deadlines,Leadership,0.4,negative,0.84
209,collaborated with team,Adaptability,0.54,positive,0.64
210,managed deadlines,Adaptability,0.78,negative,0.67
211,resolved conflicts,Adaptability,0.35,positive,0.8
212,managed deadlines,Leadership,0.29,negative,0.98
213,handled pressure,Leadership,0.87,negative,0.82
214,managed deadlines,Problem Solving,0.2,negative,0.88
215,communicated effectively,Leadership,0.45,positive,0.82
216,managed deadlines,Communication,0.23,positive,0.81
217,handled pressure,Leadership,0.05,negative,0.95
218,collaborated with team,Adaptability,0.22,negative,0.61
219,collaborated with team,Communication,0.02,positive,0.81
220,communicated effectively,Leadership,0.65,negative,0.68
221,communicated effectively,Teamwork,0.4,positive,0.62
222,collaborated with team,Communication,0.94,positive,0.85
223,collaborated with team,Leadership,0.61,negative,0.96
224,managed deadlines,Adaptability,0.85,negative,0.88
225,managed deadlines,Problem Solving,0.33,positive,0.94
226,resolved conflicts,Problem Solving,0.2,positive,0.98
227,communicated effectively,Problem Solving,0.42,negative,0.8
228,handled pressure,Teamwork,0.67,positive,0.87
229,managed deadlines,Problem Solving,0.2,positive,0.9
230,collaborated with team,Communication,0.3,positive,0.77
231,managed deadlines,Communication,0.92,negative,0.8
232,communicated effectively,Adaptability,0.7,positive,0.79
233,communicated effectively,Teamwork,0.24,positive,0.63
234,communicated effectively,Teamwork,0.02,positive,0.66
235,communicated effectively,Teamwork,0.35,negative,0.72
236,collaborated with team,Adaptability,0.9,negative,0.73
237,resolved conflicts,Adaptability,0.46,negative,0.75
238,handled pressure,Teamwork,0.97,positive,0.68
239,collaborated with team,Communication,0.36,negative,0.79
240,collaborated with team,Teamwork,0.5,negative,0.97
241,managed deadlines,Leadership,0.03,positive,0.65
242,collaborated with team,Adaptability,0.64,positive,0.71
243,collaborated with team,Problem Solving,0.83,positive,0.93
244,handled pressure,Teamwork,0.41,negative,0.81
245,resolved conflicts,Adaptability,0.7,positive,0.61
246,handled pressure,Communication,0.92,negative,0.93
247,handled pressure,Leadership,0.27,positive,0.94
248,resolved conflicts,Problem Solving,0.85,negative,0.6
249,managed deadlines,Leadership,0.22,negative,0.67
250,handled pressure,Communication,0.74,negative,0.94
251,resolved conflicts,Communication,0.53,positive,0.76
252,handled pressure,Leadership,0.64,negative,0.98
253,communicated effectively,Communication,0.87,negative,0.94
254,handled pressure,Teamwork,0.27,positive,0.88
255,communicated effectively,Adaptability,0.47,negative,0.97
256,resolved conflicts,Communication,0.83,positive,0.91
257,collaborated with team,Adaptability,0.45,positive,0.62
258,collaborated with team,Communication,0.84,negative,0.64
259,collaborated with team,Teamwork,0.24,positive,0.83
260,collaborated with team,Teamwork,0.41,positive,0.61
261,handled pressure,Teamwork,0.53,negative,0.79
262,communicated effectively,Adaptability,0.66,positive,0.74
263,managed deadlines,Communication,0.12,negative,0.88
264,managed deadlines,Teamwork,0.89,positive,0.91
265,collaborated with team,Teamwork,0.61,positive,0.93
266,managed deadlines,Adaptability,0.49,negative,0.98
267,collaborated with team,Teamwork,0.39,positive,0.98
268,handled pressure,Problem Solving,0.99,negative,0.66
269,managed deadlines,Leadership,0.35,positive,0.65
270,managed deadlines,Communication,0.74,positive,0.85
271,handled pressure,Teamwork,1.0,negative,0.7
272,handled pressure,Teamwork,0.69,negative,0.84
273,managed deadlines,Teamwork,0.88,positive,0.94
274,resolved conflicts,Adaptability,0.01,negative,0.74
275,handled pressure,Communication,0.85,positive,0.71
276,collaborated with team,Leadership,0.12,negative,0.75
277,managed deadlines,Leadership,0.89,positive,0.79
278,resolved conflicts,Communication,0.79,positive,0.68
279,collaborated with team,Teamwork,0.9,positive,0.7
280,resolved conflicts,Leadership,0.14,negative,0.65
281,communicated effectively,Communication,0.45,negative,0.61
282,resolved conflicts,Problem Solving,0.5,negative,0.7
283,communicated effectively,Problem Solving,0.58,positive,0.85
284,communicated effectively,Problem Solving,0.32,negative,0.9
285,resolved conflicts,Problem Solving,0.99,positive,0.67
286,collaborated with team,Adaptability,0.09,positive,0.94
287,communicated effectively,Teamwork,0.56,negative,0.93
288,collaborated with team,Teamwork,0.69,positive,0.7
289,communicated effectively,Communication,0.2,negative,0.63
290,managed deadlines,Leadership,0.46,positive,0.97
291,resolved conflicts,Adaptability,0.32,negative,0.82
292,resolved conflicts,Adaptability,0.3,negative,0.77
293,communicated effectively,Leadership,0.52,negative,0.94
294,managed deadlines,Communication,0.58,positive,0.63
295,collaborated with team,Leadership,0.48,negative,0.85
296,handled pressure,Communication,0.29,negative,0.63
297,managed deadlines,Adaptability,0.01,negative,0.8
298,resolved conflicts,Communication,0.59,positive,0.68
299,communicated effectively,Problem Solving,0.34,negative,0.65
300,communicated effectively,Communication,0.55,negative,0.9
301,communicated effectively,Problem Solving,0.67,positive,0.82
302,managed deadlines,Teamwork,0.01,positive,0.63
303,resolved conflicts,Problem Solving,0.21,positive,0.68
304,communicated effectively,Adaptability,0.21,negative,0.61
305,collaborated with team,Leadership,0.1,positive,0.9
306,communicated effectively,Adaptability,0.76,negative,0.65
307,managed deadlines,Adaptability,0.33,positive,0.72
308,communicated effectively,Leadership,0.88,positive,0.69
309,handled pressure,Adaptability,0.79,negative,0.92
310,handled pressure,Leadership,0.83,positive,0.71
311,resolved conflicts,Adaptability,0.38,positive,0.88
312,handled pressure,Leadership,0.43,positive,0.88
313,collaborated with team,Leadership,0.88,negative,0.75
314,collaborated with team,Teamwork,0.01,positive,0.68
315,resolved conflicts,Adaptability,0.54,positive,0.85
316,resolved conflicts,Adaptability,0.56,negative,0.66
317,collaborated with team,Teamwork,0.35,negative,0.79
318,resolved conflicts,Problem Solving,0.55,positive,0.75
319,managed deadlines,Leadership,0.32,negative,0.69
320,collaborated with team,Teamwork,0.31,negative,0.73
321,collaborated with team,Leadership,0.29,negative,0.69
322,resolved conflicts,Adaptability,0.46,negative,0.65
323,handled pressure,Leadership,0.36,positive,0.95
324,communicated effectively,Leadership,0.9,negative,0.74
325,resolved conflicts,Communication,0.32,negative,0.91
326,handled pressure,Leadership,0.57,positive,0.78
327,handled pressure,Adaptability,0.83,positive,0.77
328,resolved conflicts,Problem Solving,0.23,negative,0.88
329,handled pressure,Adaptability,0.53,negative,0.95
330,communicated effectively,Leadership,0.88,negative,0.98
331,managed deadlines,Leadership,0.62,negative,0.81
332,communicated effectively,Communication,0.34,negative,0.72
333,collaborated with team,Leadership,0.1,positive,0.87
334,resolved conflicts,Problem Solving,0.77,negative,0.99
335,managed deadlines,Communication,0.22,positive,0.98
336,handled pressure,Adaptability,0.17,positive,0.78
337,communicated effectively,Leadership,0.55,positive,0.88
338,collaborated with team,Problem Solving,0.12,positive,0.9
339,communicated effectively,Adaptability,0.07,positive,0.7
340,collaborated with team,Communication,0.98,negative,0.95
341,resolved conflicts,Communication,0.27,negative,0.93
342,resolved conflicts,Teamwork,0.05,positive,0.78
343,resolved conflicts,Communication,0.32,positive,0.96
344,handled pressure,Problem Solving,0.43,positive,0.73
345,collaborated with team,Communication,0.25,positive,0.8
346,communicated effectively,Teamwork,0.44,positive,0.67
347,managed deadlines,Adaptability,0.46,negative,0.92
348,managed deadlines,Adaptability,0.08,positive,0.98
349,collaborated with team,Problem Solving,0.54,negative,0.92
350,collaborated with team,Communication,0.9,negative,0.63
351,resolved conflicts,Teamwork,0.65,negative,0.95
352,managed deadlines,Leadership,0.2,negative,0.9
353,resolved conflicts,Adaptability,0.07,negative,0.86
354,handled pressure,Problem Solving,0.72,positive,0.9
355,resolved conflicts,Leadership,0.74,negative,0.74
356,communicated effectively,Leadership,0.56,positive,0.88
357,managed deadlines,Leadership,0.19,negative,0.77
358,communicated effectively,Leadership,0.82,negative,0.73
359,communicated effectively,Communication,0.32,negative,0.68
360,managed deadlines,Leadership,0.72,negative,0.76
361,collaborated with team,Leadership,0.12,positive,0.63
362,resolved conflicts,Problem Solving,0.18,positive,0.68
363,handled pressure,Communication,0.6,negative,0.81
364,resolved conflicts,Communication,0.33,positive,0.73
365,resolved conflicts,Problem Solving,0.49,positive,0.78
366,resolved conflicts,Teamwork,0.07,positive,0.6
367,communicated effectively,Communication,0.44,positive,0.66
368,communicated effectively,Adaptability,0.95,positive,0.86
369,managed deadlines,Leadership,0.48,positive,0.9
370,managed deadlines,Teamwork,0.09,positive,0.92
371,handled pressure,Communication,0.08,negative,0.7
372,handled pressure,Leadership,0.11,positive,0.86
373,collaborated with team,Problem Solving,0.33,positive,0.99
374,resolved conflicts,Communication,0.57,negative,0.63
375,handled pressure,Communication,0.66,positive,0.81
376,managed deadlines,Adaptability,0.41,negative,0.96
377,managed deadlines,Communication,0.06,positive,0.66
378,managed deadlines,Adaptability,0.28,positive,0.8
379,handled pressure,Adaptability,0.28,positive,0.93
380,communicated effectively,Communication,0.4,negative,0.69
381,resolved conflicts,Leadership,0.61,negative,0.72
382,communicated effectively,Leadership,0.88,positive,0.72
383,handled pressure,Communication,0.68,negative,0.96
384,communicated effectively,Problem Solving,0.8,negative,0.89
385,resolved conflicts,Communication,0.57,positive,0.75
386,resolved conflicts,Adaptability,0.27,positive,0.92
387,handled pressure,Adaptability,0.21,positive,0.77
388,communicated effectively,Leadership,0.19,negative,0.86
389,managed deadlines,Leadership,0.9,positive,0.95
390,managed deadlines,Problem Solving,0.36,positive,0.61
391,managed deadlines,Leadership,0.27,positive,0.84
392,handled pressure,Communication,0.41,positive,0.84
393,handled pressure,Communication,0.93,positive,0.73
394,handled pressure,Teamwork,0.8,positive,0.75
395,resolved conflicts,Teamwork,0.26,negative,0.87
396,communicated effectively,Communication,0.94,negative,0.73
397,resolved conflicts,Teamwork,0.78,negative,0.93
398,communicated effectively,Adaptability,0.55,positive,0.83
399,communicated effectively,Adaptability,0.94,negative,0.91
400,handled pressure,Teamwork,0.05,positive,0.86
401,managed deadlines,Problem Solving,0.62,negative,0.96
402,handled pressure,Communication,0.24,positive,0.92
403,collaborated with team,Leadership,0.64,negative,0.77
404,handled pressure,Adaptability,0.82,negative,0.75
405,managed deadlines,Teamwork,0.25,negative,0.96
406,managed deadlines,Teamwork,0.26,positive,0.88
407,managed deadlines,Leadership,0.49,negative,0.77
408,communicated effectively,Leadership,0.12,positive,0.9
409,communicated effectively,Leadership,0.65,positive,0.67
410,communicated effectively,Leadership,0.47,positive,0.73
411,collaborated with team,Adaptability,0.11,positive,0.95
412,managed deadlines,Communication,0.2,negative,0.78
413,communicated effectively,Teamwork,0.41,positive,0.61
414,resolved conflicts,Problem Solving,0.71,positive,0.76
415,communicated effectively,Communication,0.36,negative,0.61
416,communicated effectively,Adaptability,0.58,positive,0.68
417,managed deadlines,Problem Solving,0.84,negative,0.85
418,communicated effectively,Problem Solving,0.3,positive,0.94
419,collaborated with team,Leadership,0.87,negative,0.8
420,collaborated with team,Leadership,0.05,positive,0.71
421,collaborated with team,Communication,0.09,negative,0.96
422,managed deadlines,Teamwork,0.8,negative,0.9
423,communicated effectively,Problem Solving,0.53,negative,0.64
424,resolved conflicts,Problem Solving,0.23,negative,0.95
425,resolved conflicts,Adaptability,0.94,negative,0.64
426,resolved conflicts,Problem Solving,0.5,positive,0.86
427,handled pressure,Problem Solving,0.57,positive,0.75
428,collaborated with team,Teamwork,0.16,positive,0.72
429,handled pressure,Problem Solving,0.09,negative,0.9
430,resolved conflicts,Leadership,0.05,positive,0.97
431,collaborated with team,Teamwork,0.37,positive,0.87
432,communicated effectively,Problem Solving,0.58,positive,0.79
433,handled pressure,Teamwork,0.35,positive,0.95
434,collaborated with team,Teamwork,0.81,negative,0.85
435,communicated effectively,Leadership,0.87,negative,0.66
436,managed deadlines,Teamwork,0.15,positive,0.85
437,managed deadlines,Teamwork,0.12,positive,0.73
438,resolved conflicts,Problem Solving,0.59,negative,0.87
439,communicated effectively,Problem Solving,0.8,positive,0.91
440,collaborated with team,Communication,0.86,negative,0.7
441,managed deadlines,Communication,0.19,negative,0.66
442,communicated effectively,Problem Solving,0.21,positive,0.86
443,collaborated with team,Adaptability,0.75,positive,0.77
444,collaborated with team,Communication,0.29,negative,0.89
445,handled pressure,Leadership,0.11,positive,0.96
446,managed deadlines,Adaptability,0.37,positive,0.79
447,managed deadlines,Problem Solving,0.31,negative,0.99
448,communicated effectively,Leadership,0.14,negative,0.99
449,handled pressure,Adaptability,0.49,negative,0.97
450,managed deadlines,Communication,0.68,positive,0.76
451,managed deadlines,Leadership,0.8,positive,0.63
452,resolved conflicts,Communication,0.4,negative,0.67
453,collaborated with team,Teamwork,0.25,positive,0.83
454,managed deadlines,Communication,0.69,negative,0.89
455,handled pressure,Teamwork,0.95,negative,0.8
456,communicated effectively,Communication,0.67,negative,0.96
457,resolved conflicts,Adaptability,0.05,negative,0.63
458,collaborated with team,Communication,0.06,positive,0.89
459,resolved conflicts,Leadership,0.11,negative,0.92
460,managed deadlines,Leadership,0.49,positive,0.83
461,collaborated with team,Communication,0.43,positive,0.68
462,resolved conflicts,Adaptability,0.72,positive,0.87
463,communicated effectively,Problem Solving,0.66,negative,0.68
464,communicated effectively,Leadership,0.26,negative,0.84
465,communicated effectively,Problem Solving,0.02,negative,0.95
466,managed deadlines,Adaptability,0.82,positive,0.65
467,resolved conflicts,Problem Solving,0.17,negative,0.78
468,resolved conflicts,Adaptability,0.88,positive,0.75
469,managed deadlines,Problem Solving,0.85,negative,0.86
470,managed deadlines,Adaptability,0.14,positive,0.85
471,collaborated with team,Adaptability,0.03,negative,0.91
472,communicated effectively,Teamwork,0.07,negative,0.91
473,communicated effectively,Leadership,0.99,negative,0.94
474,managed deadlines,Problem Solving,0.74,negative,0.84
475,collaborated with team,Problem Solving,0.73,positive,0.74
476,communicated effectively,Leadership,0.17,negative,0.9
477,handled pressure,Teamwork,0.66,negative,0.94
478,managed deadlines,Communication,0.79,negative,0.73
479,communicated effectively,Teamwork,0.72,negative,0.87
480,managed deadlines,Teamwork,0.07,negative,0.64
481,handled pressure,Leadership,0.27,negative,0.95
482,resolved conflicts,Communication,0.81,negative,0.67
483,collaborated with team,Leadership,0.68,negative,0.75
484,collaborated with team,Communication,0.59,positive,0.65
485,collaborated with team,Adaptability,0.67,positive,0.62
486,collaborated with team,Leadership,0.22,negative,0.67
487,managed deadlines,Leadership,0.65,positive,0.91
488,managed deadlines,Teamwork,0.22,negative,0.71
489,handled pressure,Leadership,0.85,positive,0.62
490,communicated effectively,Problem Solving,0.13,positive,0.9
491,resolved conflicts,Adaptability,0.98,positive,0.61
492,collaborated with team,Communication,0.13,positive,0.68
493,communicated effectively,Leadership,0.02,positive,0.68
494,collaborated with team,Teamwork,0.04,positive,0.69
495,communicated effectively,Leadership,0.6,negative,0.73
496,communicated effectively,Communication,0.57,negative,0.89
497,managed deadlines,Adaptability,0.07,positive,0.94
498,collaborated with team,Adaptability,0.87,positive,0.66
499,collaborated with team,Teamwork,0.55,negative,0.77
500,handled pressure,Communication,0.62,positive,0.92
501,collaborated with team,Adaptability,0.66,positive,0.89
502,resolved conflicts,Adaptability,0.69,positive,0.66
503,managed deadlines,Leadership,0.53,negative,0.72
504,collaborated with team,Leadership,0.34,negative,0.86
505,collaborated with team,Communication,0.08,positive,0.71
506,resolved conflicts,Problem Solving,0.92,positive,0.87
507,communicated effectively,Problem Solving,0.67,positive,0.78
508,managed deadlines,Leadership,0.48,negative,0.61
509,collaborated with team,Communication,0.32,negative,0.61
510,managed deadlines,Communication,0.21,positive,0.72
511,managed deadlines,Leadership,0.5,positive,0.68
512,managed deadlines,Problem Solving,0.87,negative,0.87
513,communicated effectively,Adaptability,0.6,positive,0.87
514,communicated effectively,Communication,0.82,negative,0.96
515,communicated effectively,Adaptability,1.0,positive,0.9
516,managed deadlines,Communication,0.91,negative,0.68
517,managed deadlines,Leadership,0.64,negative,0.84
518,collaborated with team,Teamwork,0.86,negative,0.88
519,communicated effectively,Communication,0.72,positive,0.96
520,collaborated with team,Communication,0.86,positive,0.97
521,resolved conflicts,Adaptability,0.31,negative,0.74
522,managed deadlines,Problem Solving,0.85,positive,0.62
523,collaborated with team,Communication,0.78,negative,0.64
524,communicated effectively,Communication,0.42,negative,0.68
525,resolved conflicts,Problem Solving,0.3,negative,0.71
526,managed deadlines,Problem Solving,0.97,negative,0.6
527,resolved conflicts,Problem Solving,0.52,negative,0.93
528,managed deadlines,Adaptability,0.87,positive,0.6
529,resolved conflicts,Problem Solving,0.2,positive,0.82
530,managed deadlines,Problem Solving,0.66,positive,0.98
531,resolved conflicts,Adaptability,0.15,positive,0.79
532,managed deadlines,Problem Solving,0.09,positive,0.87
533,communicated effectively,Teamwork,0.45,negative,0.69
534,managed deadlines,Communication,0.5,negative,0.85
535,communicated effectively,Teamwork,0.65,positive,0.73
536,collaborated with team,Leadership,1.0,negative,0.94
537,handled pressure,Leadership,0.98,negative,0.87
538,resolved conflicts,Problem Solving,0.29,positive,0.87
539,handled pressure,Adaptability,0.66,positive,0.86
540,managed deadlines,Communication,0.35,negative,0.74
541,resolved conflicts,Teamwork,0.79,positive,0.64
542,collaborated with team,Communication,0.24,negative,0.81
543,collaborated with team,Adaptability,0.75,negative,0.75
544,collaborated with team,Adaptability,0.91,positive,0.93
