config_id,role_id,skill_weight,experience_weight,keyword_weight,structure_weight,soft_skill_weight,industry_alignment_weight,version,last_updated
165,991,0.64,0.82,0.61,0.13,0.46,0.82,v1,2026-02-19
166,289,0.06,0.33,0.83,0.78,0.42,0.49,v1,2026-02-19
167,203,0.77,0.43,0.82,0.96,0.07,0.78,v1,2026-02-19
168,801,0.8,0.94,0.48,0.34,0.83,0.09,v1,2026-02-19
169,87,0.55,0.62,0.81,0.55,0.43,0.26,v1,2026-02-19
170,800,0.76,0.09,0.27,0.84,0.71,0.41,v1,2026-02-19
171,922,0.73,0.02,0.06,0.54,0.32,0.25,v1,2026-02-19
172,743,0.34,0.24,0.6,0.65,0.51,0.49,v1,2026-02-19
173,215,0.76,0.09,0.68,0.68,0.79,0.83,v1,2026-02-19
174,453,0.41,0.51,0.72,0.62,0.57,0.7,v1,2026-02-19
175,124,0.3,0.09,0.04,0.86,0.98,0.07,v1,2026-02-19
176,860,0.27,0.86,0.16,0.47,0.55,0.21,v1,2026-02-19
177,950,0.22,0.7,0.13,0.28,0.16,0.15,v1,2026-02-19
178,586,0.24,0.98,0.82,0.58,0.42,0.08,v1,2026-02-19
179,841,0.51,0.98,0.7,0.48,0.33,0.4,v1,2026-02-19
180,965,0.4,0.65,0.1,0.32,0.2,0.55,v1,2026-02-19
181,881,0.46,0.62,0.3,0.02,0.44,0.21,v1,2026-02-19
182,271,0.25,0.89,0.23,0.67,0.58,0.68,v1,2026-02-19
183,17,0.14,0.29,0.57,0.9,0.5,0.49,v1,2026-02-19
184,5,0.56,0.38,0.59,0.14,0.13,0.98,v1,2026-02-19
185,922,0.26,0.29,0.9,0.8,0.95,0.25,v1,2026-02-19
186,574,0.13,0.82,0.24,0.04,0.44,0.3,v1,2026-02-19
187,587,0.93,0.98,0.68,0.6,0.35,0.09,v1,2026-02-19
188,127,0.29,0.52,0.59,0.22,0.51,0.59,v1,2026-02-19
189,940,0.6,0.94,0.36,0.17,0.12,0.03,v1,2026-02-19
190,698,0.07,0.33,0.24,0.8,0.43,0.08,v1,2026-02-19
191,836,0.52,0.21,0.05,0.0,0.37,0.68,v1,2026-02-19
192,118,0.46,0.96,0.59,0.4,0.2,0.97,v1,2026-02-19
193,209,0.51,0.85,0.11,0.72,0.31,0.59,v1,2026-02-19
194,56,0.19,0.25,0.91,0.95,0.62,0.16,v1,2026-02-19
195,364,0.19,0.64,0.98,0.49,0.48,0.06,v1,2026-02-19
196,284,0.98,0.71,0.51,0.32,0.35,0.35,v1,2026-02-19
197,726,0.64,0.96,0.95,0.49,0.54,0.07,v1,2026-02-19
198,617,0.57,0.31,0.76,0.83,0.73,0.4,v1,2026-02-19
199,160,0.19,0.34,0.4,0.8,0.24,0.88,v1,2026-02-19
200,512,0.41,0.66,0.54,0.56,0.44,0.34,v1,2026-02-19
201,27,0.33,0.65,0.08,0.92,0.61,0.99,v1,2026-02-19
202,163,0.77,0.55,0.09,0.83,0.98,0.39,v1,2026-02-19
203,395,0.43,0.07,0.31,0.94,0.78,0.42,v1,2026-02-19
204,971,0.9,0.86,0.33,0.86,0.78,0.11,v1,2026-02-19
205,35,0.29,0.71,0.19,0.69,0.6,0.42,v1,2026-02-19
206,777,0.52,0.83,0.54,0.61,0.86,0.56,v1,2026-02-19
207,75,0.42,0.01,0.94,0.53,0.12,0.61,v1,2026-02-19
208,460,0.07,0.88,0.03,0.7,0.07,0.28,v1,2026-02-19
209,208,0.62,0.84,0.42,0.72,0.69,0.53,v1,2026-02-19
210,210,0.93,0.24,0.36,0.18,0.03,0.84,v1,2026-02-19
211,922,0.7,0.37,0.07,0.26,0.42,0.7,v1,2026-02-19
212,707,0.82,0.7,0.2,0.08,0.09,0.11,v1,2026-02-19
213,526,0.45,0.49,0.01,0.58,0.09,0.28,v1,2026-02-19
214,490,0.37,0.02,0.63,0.59,0.57,0.83,v1,2026-02-19
215,501,0.56,0.93,0.76,0.14,0.91,0.82,v1,2026-02-19
216,236,0.63,0.17,0.59,0.46,0.47,0.62,v1,2026-02-19
217,587,0.43,0.2,0.82,0.33,0.24,0.66,v1,2026-02-19
218,415,0.26,0.21,0.36,0.93,0.06,0.24,v1,2026-02-19
219,136,0.43,0.22,0.12,0.36,0.14,0.04,v1,2026-02-19
220,695,0.18,0.21,0.41,0.18,0.75,0.44,v1,2026-02-19
221,971,0.3,0.75,0.9,0.78,0.02,0.52,v1,2026-02-19
222,867,0.25,0.24,0.36,0.25,0.19,0.64,v1,2026-02-19
223,600,0.89,0.85,0.12,0.19,0.65,0.09,v1,2026-02-19
224,78,0.21,0.72,0.9,0.97,0.22,0.13,v1,2026-02-19
225,375,0.48,0.76,0.26,0.12,0.99,0.67,v1,2026-02-19
226,102,0.47,0.11,0.17,0.19,0.76,0.45,v1,2026-02-19
227,299,0.29,0.81,0.69,0.4,0.21,0.49,v1,2026-02-19
228,810,0.11,0.49,0.35,0.37,0.41,0.25,v1,2026-02-19
229,181,0.67,0.6,0.71,0.43,0.84,0.22,v1,2026-02-19
230,883,0.79,0.71,0.87,0.42,0.06,0.93,v1,2026-02-19
231,63,0.63,0.18,0.93,0.85,0.66,0.45,v1,2026-02-19
232,176,0.82,0.31,0.89,0.17,0.07,0.74,v1,2026-02-19
233,382,0.66,0.44,0.43,0.16,0.15,0.48,v1,2026-02-19
234,466,0.5,0.31,0.67,0.64,0.91,0.85,v1,2026-02-19
235,126,0.76,0.71,0.05,0.29,0.25,0.42,v1,2026-02-19
236,771,0.08,0.13,0.17,0.2,0.26,0.96,v1,2026-02-19
237,321,0.16,0.4,0.85,0.2,0.63,0.21,v1,2026-02-19
238,463,0.24,0.66,0.24,0.09,0.85,0.79,v1,2026-02-19
239,606,0.77,0.13,0.8,0.01,0.29,0.68,v1,2026-02-19
240,815,0.83,0.74,0.11,0.02,0.6,0.8,v1,2026-02-19
241,27,0.59,0.19,0.8,0.99,0.44,0.93,v1,2026-02-19
242,979,0.5,0.14,0.99,0.26,0.3,0.2,v1,2026-02-19
243,235,0.72,0.93,0.57,0.54,0.84,0.32,v1,2026-02-19
244,638,0.31,0.01,0.25,0.53,0.4,0.05,v1,2026-02-19
245,626,0.37,0.33,0.49,0.2,0.53,0.43,v1,2026-02-19
246,837,0.6,0.46,0.52,0.66,0.47,0.01,v1,2026-02-19
247,335,0.74,0.86,0.89,0.47,0.58,0.16,v1,2026-02-19
248,250,0.48,0.42,0.32,0.99,0.85,0.15,v1,2026-02-19
249,245,0.15,0.66,0.25,0.68,0.78,0.54,v1,2026-02-19
250,611,0.28,0.36,0.85,0.24,0.97,0.86,v1,2026-02-19
251,132,0.35,0.07,0.95,0.12,0.06,0.32,v1,2026-02-19
252,764,0.6,0.52,0.06,0.68,0.51,0.68,v1,2026-02-19
253,464,0.36,0.95,0.13,0.11,0.9,0.75,v1,2026-02-19
254,13,0.63,0.8,0.06,0.58,0.77,0.35,v1,2026-02-19
255,581,0.94,0.7,0.39,0.13,0.37,0.46,v1,2026-02-19
256,555,0.17,0.84,0.87,0.73,0.24,0.47,v1,2026-02-19
257,846,0.8,0.28,0.51,0.68,0.46,0.29,v1,2026-02-19
258,81,0.99,0.92,0.24,0.91,0.51,0.9,v1,2026-02-19
259,162,0.11,0.6,0.27,0.83,0.39,0.25,v1,2026-02-19
260,930,0.55,0.05,0.79,0.89,0.92,0.76,v1,2026-02-19
261,848,0.45,0.51,0.11,0.95,0.02,0.4,v1,2026-02-19
262,299,0.89,0.68,0.19,0.09,0.54,0.64,v1,2026-02-19
263,666,0.91,0.31,0.53,0.83,0.03,0.64,v1,2026-02-19
264,205,0.93,0.52,0.72,0.9,0.58,0.71,v1,2026-02-19
265,737,0.61,0.27,0.89,0.48,0.38,0.53,v1,2026-02-19
266,343,0.57,0.64,0.4,0.7,0.84,0.93,v1,2026-02-19
267,487,0.79,0.57,0.85,0.19,0.06,0.46,v1,2026-02-19
268,364,0.9,0.1,0.96,0.13,0.39,0.4,v1,2026-02-19
269,877,0.36,0.69,0.36,0.25,0.12,0.33,v1,2026-02-19
270,479,0.43,0.96,0.77,0.98,0.68,0.02,v1,2026-02-19
271,704,0.57,0.43,0.8,0.98,0.41,0.23,v1,2026-02-19
272,894,0.34,0.29,0.13,0.23,0.17,0.35,v1,2026-02-19
273,120,0.47,0.77,0.09,0.92,0.48,0.75,v1,2026-02-19
274,379,0.27,0.52,0.32,0.01,0.35,0.41,v1,2026-02-19
275,792,0.99,0.18,0.77,0.34,0.9,0.53,v1,2026-02-19
276,59,0.08,0.36,0.35,0.47,0.39,0.08,v1,2026-02-19
277,358,0.14,0.69,0.33,0.02,0.99,0.17,v1,2026-02-19
278,469,0.76,0.12,0.58,0.49,0.71,0.71,v1,2026-02-19
279,301,0.39,0.29,0.97,0.19,0.73,0.08,v1,2026-02-19
280,990,0.14,0.3,0.23,0.44,0.96,0.39,v1,2026-02-19
281,562,0.07,0.84,0.45,0.58,0.99,0.07,v1,2026-02-19
282,264,0.34,0.05,0.44,0.14,0.89,0.89,v1,2026-02-19
283,62,0.35,0.21,0.46,0.24,0.81,0.45,v1,2026-02-19
284,783,0.93,0.14,0.1,0.72,0.8,0.47,v1,2026-02-19
285,277,0.73,0.68,0.71,0.88,0.89,0.74,v1,2026-02-19
286,456,0.34,0.84,0.74,0.46,0.35,0.31,v1,2026-02-19
287,361,0.22,0.18,0.31,0.99,0.12,0.23,v1,2026-02-19
288,54,0.48,0.15,0.51,0.17,0.78,0.61,v1,2026-02-19
289,607,0.46,0.11,0.19,0.96,0.47,0.81,v1,2026-02-19
290,840,0.72,0.95,0.62,0.18,0.15,0.79,v1,2026-02-19
291,791,0.51,0.0,0.07,0.24,0.91,0.64,v1,2026-02-19
292,837,0.12,0.15,0.98,0.64,0.74,0.71,v1,2026-02-19
293,478,0.77,0.36,0.07,0.34,0.3,0.36,v1,2026-02-19
294,573,0.09,0.64,0.47,0.04,0.61,0.35,v1,2026-02-19
295,529,0.99,0.92,0.59,0.06,0.73,0.65,v1,2026-02-19
296,161,0.43,0.45,0.17,0.05,0.06,0.29,v1,2026-02-19
297,473,0.45,0.36,0.37,0.43,0.77,0.3,v1,2026-02-19
298,346,0.96,0.32,0.45,0.34,1.0,0.12,v1,2026-02-19
299,698,0.95,0.84,0.42,0.91,0.34,0.74,v1,2026-02-19
300,293,0.47,0.43,0.49,0.62,0.93,0.77,v1,2026-02-19
301,282,0.43,0.54,0.58,0.79,0.81,0.77,v1,2026-02-19
302,816,0.43,0.4,0.54,0.65,0.87,0.6,v1,2026-02-19
303,203,0.62,0.94,0.96,0.64,0.89,0.64,v1,2026-02-19
304,313,0.1,0.77,0.75,0.92,0.49,0.61,v1,2026-02-19
305,41,0.49,0.25,0.46,0.16,0.02,0.35,v1,2026-02-19
306,581,0.19,0.79,0.99,0.76,0.39,0.47,v1,2026-02-19
307,785,0.04,0.27,0.11,0.45,0.87,0.63,v1,2026-02-19
308,414,0.6,0.78,0.97,0.72,0.87,0.26,v1,2026-02-19
309,794,0.61,0.03,0.63,0.9,0.64,0.4,v1,2026-02-19
310,658,0.71,0.84,0.82,0.9,0.49,0.44,v1,2026-02-19
311,921,0.31,0.04,0.66,0.16,0.29,0.62,v1,2026-02-19
312,472,0.55,0.05,0.95,0.59,0.7,0.26,v1,2026-02-19
313,73,0.62,0.19,0.5,0.57,0.85,0.96,v1,2026-02-19
314,844,0.36,0.47,0.56,0.15,0.66,0.76,v1,2026-02-19
315,841,0.1,0.84,0.71,0.09,0.21,0.35,v1,2026-02-19
316,823,0.48,0.23,0.42,0.25,0.43,0.67,v1,2026-02-19
317,667,0.32,0.83,0.23,0.33,0.86,0.24,v1,2026-02-19
318,863,0.38,0.73,0.24,0.07,0.93,0.43,v1,2026-02-19
319,925,0.86,0.58,0.88,0.2,0.88,0.93,v1,2026-02-19
320,136,0.12,0.46,0.21,0.74,0.93,1.0,v1,2026-02-19
321,520,0.31,0.21,0.46,0.83,0.2,0.87,v1,2026-02-19
322,603,0.46,0.29,0.14,0.61,0.9,0.2,v1,2026-02-19
323,288,0.6,0.59,0.48,0.93,0.68,0.41,v1,2026-02-19
324,781,0.12,0.58,0.57,0.49,0.77,0.26,v1,2026-02-19
325,691,0.17,0.21,0.77,0.16,0.09,0.03,v1,2026-02-19
326,44,0.35,0.43,0.01,0.62,0.8,0.14,v1,2026-02-19
327,178,0.96,0.62,0.61,0.28,0.34,0.15,v1,2026-02-19
328,547,0.56,0.97,0.5,0.48,0.0,0.94,v1,2026-02-19
329,633,0.73,0.3,0.36,0.08,0.8,0.23,v1,2026-02-19
330,928,0.87,0.51,0.98,0.27,0.79,0.49,v1,2026-02-19
331,223,0.12,0.53,0.11,0.67,0.03,0.3,v1,2026-02-19
332,144,0.28,0.25,0.73,0.45,0.69,0.24,v1,2026-02-19
333,943,0.81,0.12,0.79,0.19,0.34,0.61,v1,2026-02-19
334,81,0.89,0.97,0.86,0.38,0.72,0.24,v1,2026-02-19
335,752,0.6,0.24,0.73,0.78,0.04,0.03,v1,2026-02-19
336,477,0.84,0.86,0.68,0.03,0.17,0.4,v1,2026-02-19
337,675,0.37,0.31,0.47,0.67,0.69,0.53,v1,2026-02-19
338,263,0.99,0.98,0.65,0.67,0.87,0.32,v1,2026-02-19
339,393,0.44,0.65,0.9,0.41,0.57,0.01,v1,2026-02-19
340,549,0.45,0.4,0.13,0.46,0.34,0.17,v1,2026-02-19
341,661,0.71,0.53,0.74,0.63,0.27,0.53,v1,2026-02-19
342,3,0.13,0.43,0.12,0.17,0.21,0.07,v1,2026-02-19
343,664,0.98,0.72,0.36,0.16,0.54,0.52,v1,2026-02-19
344,53,0.85,0.53,0.86,0.08,0.82,0.71,v1,2026-02-19
345,702,0.79,0.76,0.94,0.26,0.4,0.38,v1,2026-02-19
346,920,0.22,0.26,0.85,0.85,0.18,0.39,v1,2026-02-19
347,9,0.32,0.18,0.25,0.08,0.09,0.81,v1,2026-02-19
348,855,0.1,0.44,0.12,0.07,0.14,0.64,v1,2026-02-19
349,33,0.24,0.77,0.88,0.72,0.26,0.81,v1,2026-02-19
350,689,0.7,0.75,0.87,0.96,0.15,0.11,v1,2026-02-19
351,798,0.27,0.35,0.8,0.07,0.16,0.55,v1,2026-02-19
352,84,0.08,0.05,0.57,0.08,0.77,0.11,v1,2026-02-19
353,259,0.65,0.83,0.9,0.05,0.46,0.61,v1,2026-02-19
354,20,0.77,0.9,0.68,0.54,0.34,0.69,v1,2026-02-19
355,1,0.74,0.73,0.23,0.68,0.78,0.74,v1,2026-02-19
356,74,0.86,0.55,0.88,0.61,0.04,0.98,v1,2026-02-19
357,802,0.64,0.88,0.17,0.56,0.56,0.01,v1,2026-02-19
358,494,0.64,0.8,0.29,0.15,0.03,0.45,v1,2026-02-19
359,727,0.25,0.4,0.48,0.67,0.41,0.17,v1,2026-02-19
360,334,0.27,0.56,0.18,0.53,0.16,0.55,v1,2026-02-19
361,560,0.85,0.39,0.13,0.2,0.93,0.29,v1,2026-02-19
362,989,0.64,0.74,0.68,0.96,0.37,0.07,v1,2026-02-19
363,748,0.11,0.46,0.77,0.21,0.29,0.21,v1,2026-02-19
364,358,0.92,0.77,0.68,0.96,0.78,0.46,v1,2026-02-19
