trend_id,skill_id,year,quarter,global_job_postings_count,india_job_postings_count,salary_average,growth_rate_percent,demand_score_normalized,industry_sector,source
69,380,2022,4,40825,29224,1948877,13.3,0.8,IT,LinkedIn
70,379,2021,3,4119,8369,466567,9.06,0.42,IT,LinkedIn
71,214,2019,1,40154,19849,1717322,0.79,0.87,IT,LinkedIn
72,984,2021,2,24081,10166,1359680,24.27,0.88,IT,LinkedIn
73,982,2019,3,26626,11276,744318,-1.83,0.75,IT,LinkedIn
74,207,2024,3,1029,17624,667456,19.75,0.84,IT,LinkedIn
75,908,2025,2,41105,17299,606803,16.51,0.55,IT,LinkedIn
76,545,2024,2,43480,12991,1147367,24.36,0.94,IT,LinkedIn
77,287,2019,2,24750,4545,954619,6.34,0.97,IT,LinkedIn
78,514,2025,2,37914,6515,589743,21.11,0.28,IT,LinkedIn
79,679,2025,2,29373,6723,1194804,19.34,0.25,IT,LinkedIn
80,487,2023,1,28697,18664,2260560,-4.8,0.93,IT,LinkedIn
81,887,2021,3,28284,25061,2423398,20.15,0.15,IT,LinkedIn
82,592,2022,1,567,23309,1114757,11.18,0.09,IT,LinkedIn
83,161,2021,1,18356,29866,1384258,19.63,0.93,IT,LinkedIn
84,252,2023,4,33871,14920,2413520,0.17,0.53,IT,LinkedIn
85,921,2022,1,15152,19033,1671089,8.86,0.85,IT,LinkedIn
86,49,2024,3,33723,2650,1780139,21.07,0.3,IT,LinkedIn
87,931,2020,2,3263,29325,600922,15.64,0.77,IT,LinkedIn
88,28,2022,2,24146,23707,938260,22.75,0.26,IT,LinkedIn
89,319,2021,3,48588,13867,2238984,13.59,0.32,IT,LinkedIn
90,675,2019,4,5701,17213,2042997,22.74,0.8,IT,LinkedIn
91,858,2019,1,507,26330,1482175,9.05,0.27,IT,LinkedIn
92,197,2025,3,1343,8395,911956,16.38,0.87,IT,LinkedIn
93,207,2023,3,46903,6391,1577239,8.37,0.44,IT,LinkedIn
94,535,2022,4,42482,15929,968069,3.41,0.14,IT,LinkedIn
95,31,2022,2,5482,11467,967717,4.16,0.18,IT,LinkedIn
96,953,2023,2,25334,10653,2486844,15.56,0.22,IT,LinkedIn
97,806,2024,2,20859,25541,2287539,22.72,0.84,IT,LinkedIn
98,205,2021,1,18966,16123,1578519,9.27,0.4,IT,LinkedIn
99,879,2023,1,25601,8765,1422704,-0.22,0.92,IT,LinkedIn
100,397,2024,1,6720,5659,1973510,23.35,0.47,IT,LinkedIn
101,612,2019,2,36778,28526,2043265,6.16,0.09,IT,LinkedIn
102,90,2019,1,14257,14755,837163,14.85,0.47,IT,LinkedIn
103,425,2023,3,39963,20783,1009801,9.6,0.71,IT,LinkedIn
104,99,2019,2,48345,27357,1177718,22.06,0.64,IT,LinkedIn
105,734,2022,1,35557,8014,1561384,0.08,0.2,IT,LinkedIn
106,524,2021,1,9554,14408,1798431,21.13,0.72,IT,LinkedIn
107,566,2025,1,31632,7941,1323606,-2.69,0.58,IT,LinkedIn
108,718,2024,1,21979,26020,1239083,-0.57,0.91,IT,LinkedIn
109,27,2024,1,8935,1689,2402027,-2.63,0.86,IT,LinkedIn
110,485,2025,2,26555,20757,2008414,-1.69,0.43,IT,LinkedIn
111,326,2023,2,1657,6168,1043363,17.66,0.84,IT,LinkedIn
112,20,2021,1,1134,25564,1120477,6.76,0.1,IT,LinkedIn
113,268,2023,4,35990,27406,2107976,7.62,0.01,IT,LinkedIn
114,342,2023,4,39141,11555,1993508,21.29,0.69,IT,LinkedIn
115,50,2023,2,39935,23950,1940598,20.74,0.44,IT,LinkedIn
116,895,2020,3,17489,494,2397024,17.01,0.02,IT,LinkedIn
117,216,2022,4,27185,14994,1863274,4.91,0.64,IT,LinkedIn
118,447,2019,2,1411,20604,2085898,24.14,0.94,IT,LinkedIn
119,631,2020,2,29350,8584,1491643,7.54,0.95,IT,LinkedIn
120,514,2024,1,31956,28713,2466261,14.12,0.87,IT,LinkedIn
121,955,2022,1,13791,17782,1854423,6.09,0.03,IT,LinkedIn
122,699,2024,1,28823,18800,1925307,12.07,0.73,IT,LinkedIn
123,303,2024,3,25083,11479,1011178,-1.49,0.23,IT,LinkedIn
124,611,2025,1,7689,10969,1715024,10.86,0.47,IT,LinkedIn
125,458,2020,4,48023,20571,1926721,17.75,0.24,IT,LinkedIn
126,613,2025,4,34854,13438,1501105,-1.57,0.35,IT,LinkedIn
127,771,2025,1,43860,9742,615973,11.7,0.75,IT,LinkedIn
128,688,2024,1,37203,13076,2347711,15.02,0.4,IT,LinkedIn
129,787,2020,3,15574,12934,516553,18.36,0.97,IT,LinkedIn
130,247,2021,4,13566,25903,837771,10.49,0.7,IT,LinkedIn
131,204,2022,4,45291,9648,2381076,17.3,0.75,IT,LinkedIn
132,464,2020,3,30931,18617,944360,-0.01,1.0,IT,LinkedIn
133,429,2022,3,17435,12793,1621457,24.69,0.43,IT,LinkedIn
134,425,2019,3,35442,6864,1032124,19.3,0.48,IT,LinkedIn
135,285,2021,3,27677,13702,2443504,13.58,0.68,IT,LinkedIn
136,287,2022,2,32140,1703,564667,22.89,0.1,IT,LinkedIn
137,16,2021,1,41665,19957,1621136,-4.83,0.84,IT,LinkedIn
138,820,2021,4,28477,7001,531760,7.3,0.85,IT,LinkedIn
139,670,2024,1,48231,26849,1181313,23.71,0.75,IT,LinkedIn
140,0,2019,1,32934,20281,1946395,4.85,0.63,IT,LinkedIn
141,76,2022,1,35697,12301,1606985,18.83,0.72,IT,LinkedIn
142,464,2024,2,21798,23479,1026760,-0.05,0.55,IT,LinkedIn
143,909,2020,2,3404,28757,1550033,6.93,0.65,IT,LinkedIn
144,34,2022,2,49202,24575,2312648,14.49,0.95,IT,LinkedIn
145,183,2019,3,30444,28742,548382,5.08,0.72,IT,LinkedIn
146,80,2021,1,44105,14095,1839720,-2.97,0.92,IT,LinkedIn
147,478,2021,3,27690,6117,635170,-3.13,0.1,IT,LinkedIn
148,484,2024,4,28190,4575,1733576,14.67,0.73,IT,LinkedIn
149,350,2022,1,31812,521,906469,14.15,0.76,IT,LinkedIn
150,532,2019,4,29295,6326,744617,-1.56,0.49,IT,LinkedIn
151,617,2021,3,31503,10089,2258803,16.41,0.44,IT,LinkedIn
152,266,2022,1,34954,23868,1976538,6.33,0.18,IT,LinkedIn
153,312,2022,4,45952,27224,1042899,8.24,0.45,IT,LinkedIn
154,139,2021,4,46945,13138,1166269,15.33,0.1,IT,LinkedIn
155,135,2025,3,25656,25200,1316286,-2.31,0.43,IT,LinkedIn
156,592,2023,2,20084,16088,2228395,17.69,0.79,IT,LinkedIn
157,209,2023,2,45435,21445,953767,1.44,0.71,IT,LinkedIn
158,207,2024,2,20321,12868,1633848,24.17,0.55,IT,LinkedIn
159,628,2021,4,5964,7060,1631708,19.05,0.25,IT,LinkedIn
160,170,2019,3,38071,18635,408344,7.48,0.61,IT,LinkedIn
161,731,2024,4,16838,22030,1829513,10.09,0.09,IT,LinkedIn
162,104,2023,2,2727,13201,1719915,18.23,0.9,IT,LinkedIn
163,27,2023,3,46189,2890,1743472,8.12,0.18,IT,LinkedIn
164,883,2019,3,24719,20316,899638,9.02,0.17,IT,LinkedIn
165,383,2025,1,47011,26340,1926277,1.04,0.32,IT,LinkedIn
166,840,2023,4,15349,25542,2449125,1.42,0.61,IT,LinkedIn
167,261,2020,3,12275,15231,1979909,21.65,0.54,IT,LinkedIn
168,116,2021,2,17775,16671,486998,1.32,0.75,IT,LinkedIn
169,455,2022,1,28300,27706,560180,6.59,0.22,IT,LinkedIn
170,825,2020,4,20949,26393,1589509,20.89,0.74,IT,LinkedIn
171,63,2024,2,22372,8770,461861,0.75,0.04,IT,LinkedIn
172,921,2022,2,21557,5752,1586896,18.84,0.23,IT,LinkedIn
173,57,2020,2,19322,20257,2201273,6.13,0.78,IT,LinkedIn
174,131,2022,2,14247,28987,1443791,0.38,0.73,IT,LinkedIn
175,955,2021,4,14974,23454,2074300,4.03,0.03,IT,LinkedIn
176,889,2025,4,26590,9740,2446970,18.49,0.39,IT,LinkedIn
177,344,2022,1,11088,2115,891197,20.7,0.83,IT,LinkedIn
178,189,2025,4,6007,19437,1613765,9.68,0.67,IT,LinkedIn
179,255,2019,3,20011,21702,2030671,13.84,0.6,IT,LinkedIn
180,651,2024,2,11600,14466,1575964,8.97,0.61,IT,LinkedIn
181,821,2019,2,22030,11043,457921,0.72,0.18,IT,LinkedIn
182,884,2020,1,49173,23100,549747,12.02,0.79,IT,LinkedIn
183,49,2023,2,43541,5146,2185807,0.92,0.43,IT,LinkedIn
184,784,2022,3,26942,18252,2331625,9.83,0.83,IT,LinkedIn
185,943,2025,3,33722,3326,696856,6.15,0.18,IT,LinkedIn
186,839,2023,2,2757,16862,2479749,-3.98,0.98,IT,LinkedIn
187,226,2019,2,31139,24046,970047,19.83,0.67,IT,LinkedIn
188,201,2024,1,16257,23803,933798,2.65,0.24,IT,LinkedIn
189,273,2022,2,31520,2497,1664721,12.68,0.62,IT,LinkedIn
190,589,2019,2,2111,1841,1245169,21.91,0.95,IT,LinkedIn
191,443,2019,4,21141,6819,679872,12.87,0.72,IT,LinkedIn
192,491,2023,1,38272,3735,2098301,8.83,0.64,IT,LinkedIn
193,453,2020,3,24166,1384,1900030,6.72,0.45,IT,LinkedIn
194,524,2023,1,27155,14429,2170906,9.36,0.34,IT,LinkedIn
195,914,2019,4,48888,24828,1351825,17.67,0.33,IT,LinkedIn
196,436,2024,1,30033,16051,950032,-3.19,0.26,IT,LinkedIn
197,428,2024,2,32994,7265,1710902,9.68,0.05,IT,LinkedIn
198,131,2019,1,3909,26440,1661993,21.41,0.74,IT,LinkedIn
199,771,2022,2,7203,6369,829748,0.14,0.06,IT,LinkedIn
200,92,2022,3,46034,10923,943470,12.55,0.17,IT,LinkedIn
201,72,2022,2,41608,22287,1966901,0.04,0.22,IT,LinkedIn
202,437,2022,1,12516,1506,2488361,4.67,0.57,IT,LinkedIn
203,94,2022,4,6258,14029,723834,11.56,0.02,IT,LinkedIn
204,909,2022,3,39781,13757,555389,-0.89,0.81,IT,LinkedIn
205,634,2022,1,10759,21267,1407097,-2.94,0.17,IT,LinkedIn
206,254,2020,1,40558,22734,1363124,15.84,0.18,IT,LinkedIn
207,311,2019,2,17799,27565,533415,15.82,0.41,IT,LinkedIn
208,295,2019,3,20405,10887,2391749,6.47,0.13,IT,LinkedIn
209,614,2020,1,4952,18703,1185831,0.32,0.74,IT,LinkedIn
210,202,2019,4,36717,23255,1500836,20.51,0.45,IT,LinkedIn
211,383,2022,2,44128,3020,1794307,15.43,0.11,IT,LinkedIn
212,838,2021,4,33066,29314,1330586,17.27,0.19,IT,LinkedIn
213,444,2022,4,44467,29698,2184098,8.5,0.45,IT,LinkedIn
214,261,2022,3,45883,14447,1126168,-3.74,0.07,IT,LinkedIn
215,654,2021,2,34937,1864,519016,20.66,0.46,IT,LinkedIn
216,977,2023,4,37501,11309,898109,-2.88,0.87,IT,LinkedIn
217,47,2024,1,28575,4477,1217800,20.22,0.47,IT,LinkedIn
218,82,2021,1,32144,12109,1991201,2.99,0.4,IT,LinkedIn
219,0,2023,3,42093,27871,1038334,10.23,0.66,IT,LinkedIn
220,455,2024,2,15627,27871,2063141,-0.54,0.81,IT,LinkedIn
221,891,2022,4,29723,23891,2326779,21.03,0.85,IT,LinkedIn
222,426,2020,1,21931,9930,1843762,16.34,0.31,IT,LinkedIn
223,520,2024,1,19255,22670,400603,6.21,0.97,IT,LinkedIn
224,306,2025,3,25006,19465,506468,3.16,0.35,IT,LinkedIn
225,754,2020,4,5057,5620,2114306,5.51,0.19,IT,LinkedIn
226,886,2021,4,48851,369,1761297,-3.28,0.15,IT,LinkedIn
227,345,2023,3,39758,11364,1259816,-2.12,0.57,IT,LinkedIn
228,880,2023,4,33217,2542,436171,4.26,0.97,IT,LinkedIn
229,307,2023,1,10291,397,775206,-2.96,0.23,IT,LinkedIn
230,650,2022,2,14991,7844,1269701,-4.37,0.11,IT,LinkedIn
231,388,2024,4,24523,20503,2394041,22.27,0.92,IT,LinkedIn
232,875,2022,3,14994,26194,1534592,15.05,0.39,IT,LinkedIn
233,570,2020,2,38997,17512,1232599,6.62,0.69,IT,LinkedIn
234,617,2025,1,33710,23599,793079,-3.0,0.16,IT,LinkedIn
235,356,2019,3,20548,12942,1669614,6.16,0.01,IT,LinkedIn
236,203,2020,3,25015,1889,818899,0.94,0.75,IT,LinkedIn
237,772,2023,3,41740,11064,450028,12.05,0.71,IT,LinkedIn
238,475,2025,3,22984,4241,1905283,-3.08,0.73,IT,LinkedIn
239,640,2023,1,34151,24863,1712653,1.73,0.29,IT,LinkedIn
240,461,2023,1,37144,13546,1620779,22.34,0.79,IT,LinkedIn
241,972,2022,2,14498,12963,1367491,4.13,0.42,IT,LinkedIn
242,310,2021,1,17737,18029,1180626,12.86,0.34,IT,LinkedIn
243,566,2021,1,29145,19029,1131356,15.51,0.9,IT,LinkedIn
244,67,2021,4,4770,5958,496568,10.6,0.59,IT,LinkedIn
245,783,2025,1,32433,21978,787486,10.03,0.76,IT,LinkedIn
246,202,2025,4,1422,18648,475497,15.74,0.07,IT,LinkedIn
247,653,2023,1,12852,9791,1768113,-0.87,0.32,IT,LinkedIn
248,556,2023,4,25673,29245,1047239,12.38,0.54,IT,LinkedIn
249,217,2022,4,8204,24471,2411820,8.09,0.26,IT,LinkedIn
250,221,2024,2,5012,26801,540023,11.67,0.4,IT,LinkedIn
251,388,2019,4,11872,5181,2000420,17.55,0.01,IT,LinkedIn
252,810,2022,4,44302,4184,1994483,5.45,0.31,IT,LinkedIn
253,842,2024,3,46969,3310,1911608,12.69,0.61,IT,LinkedIn
254,987,2020,3,20275,14397,1998259,8.22,0.46,IT,LinkedIn
255,408,2024,2,6844,18186,1798481,4.66,0.14,IT,LinkedIn
256,928,2023,4,40198,27808,1769670,22.87,0.9,IT,LinkedIn
257,672,2019,3,3394,24392,1249243,24.99,0.05,IT,LinkedIn
258,942,2023,2,31645,18489,547376,-2.88,0.23,IT,LinkedIn
259,431,2025,3,23472,11609,2053828,14.48,0.56,IT,LinkedIn
260,547,2020,1,20658,11066,2161236,10.24,0.1,IT,LinkedIn
261,558,2022,4,49657,29218,860966,0.39,0.06,IT,LinkedIn
262,662,2025,3,15856,12501,593613,-4.14,0.64,IT,LinkedIn
263,442,2025,3,48045,8252,1305676,11.96,0.05,IT,LinkedIn
264,120,2020,3,17671,4683,2102854,19.87,0.62,IT,LinkedIn
265,550,2020,1,42539,18389,2425763,11.07,0.51,IT,LinkedIn
266,203,2020,2,34539,25156,539395,4.62,0.92,IT,LinkedIn
267,300,2024,4,2763,752,488785,7.45,0.44,IT,LinkedIn
268,221,2025,2,30898,11915,2198240,-2.51,0.05,IT,LinkedIn
269,343,2021,1,17700,6265,563359,-2.02,0.42,IT,LinkedIn
270,805,2022,2,21252,29494,1770791,22.68,0.39,IT,LinkedIn
271,267,2021,2,28721,5052,881093,9.62,0.01,IT,LinkedIn
272,348,2019,1,48091,25330,1899815,-4.63,0.57,IT,LinkedIn
273,730,2019,3,34380,16482,656356,19.78,0.08,IT,LinkedIn
274,333,2020,2,31125,3884,467322,-1.52,0.19,IT,LinkedIn
275,694,2020,4,46775,4538,691186,-0.4,0.77,IT,LinkedIn
276,194,2023,3,6364,25756,673725,8.4,0.51,IT,LinkedIn
277,342,2024,2,41511,28725,1269566,24.54,0.36,IT,LinkedIn
278,386,2023,4,19598,9504,629149,21.87,0.16,IT,LinkedIn
279,479,2019,4,39158,16628,2198547,8.14,0.48,IT,LinkedIn
280,920,2024,4,48116,25255,552467,3.82,0.65,IT,LinkedIn
281,385,2020,3,4765,4557,1819905,18.36,0.32,IT,LinkedIn
282,471,2019,3,5515,18606,1620736,3.93,0.35,IT,LinkedIn
283,752,2021,2,2773,553,2181683,15.79,0.94,IT,LinkedIn
284,611,2023,2,23912,574,746594,23.75,0.2,IT,LinkedIn
285,503,2021,4,31548,29993,967158,22.85,0.6,IT,LinkedIn
286,735,2019,4,27750,23317,1649546,12.38,0.4,IT,LinkedIn
287,683,2020,3,43732,1937,456361,-2.32,0.78,IT,LinkedIn
288,164,2020,2,20347,15662,2432962,3.01,0.64,IT,LinkedIn
289,159,2022,2,34461,10473,623538,19.87,0.37,IT,LinkedIn
290,876,2023,3,36500,10215,2482344,-0.82,0.98,IT,LinkedIn
291,726,2023,3,48665,1225,1588498,14.66,0.84,IT,LinkedIn
292,197,2022,2,6439,29349,2100375,1.63,0.82,IT,LinkedIn
293,234,2025,2,20641,23223,1037309,10.52,0.3,IT,LinkedIn
294,976,2020,1,24638,4343,1661916,18.94,0.34,IT,LinkedIn
295,494,2023,2,15947,11653,1677088,0.99,0.95,IT,LinkedIn
296,938,2024,1,34223,5626,982655,23.57,0.36,IT,LinkedIn
297,245,2021,4,30702,28579,887302,21.11,0.44,IT,LinkedIn
298,583,2021,3,27277,17852,2455727,-4.05,0.18,IT,LinkedIn
299,986,2022,2,7881,582,2435805,9.98,0.33,IT,LinkedIn
300,877,2024,1,13352,15980,1057406,19.2,0.09,IT,LinkedIn
301,46,2020,1,32354,1483,998720,6.82,0.32,IT,LinkedIn
302,565,2022,2,42677,2848,2309123,11.09,0.04,IT,LinkedIn
303,888,2024,2,29162,22170,1519985,12.79,0.85,IT,LinkedIn
304,655,2019,1,22395,29425,1453536,-0.54,0.7,IT,LinkedIn
305,537,2019,2,610,23163,423024,-4.13,0.94,IT,LinkedIn
306,80,2020,2,21603,12074,1124485,15.24,0.49,IT,LinkedIn
307,355,2020,4,20787,4242,1231193,14.35,0.54,IT,LinkedIn
308,704,2019,1,32791,1828,1993823,13.15,0.45,IT,LinkedIn
309,743,2021,4,26901,2206,1274258,-4.17,0.57,IT,LinkedIn
310,409,2024,1,5966,12162,1320250,0.88,0.28,IT,LinkedIn
311,378,2019,4,34440,15066,841672,-2.36,0.57,IT,LinkedIn
312,481,2021,1,40806,21346,914033,1.22,0.34,IT,LinkedIn
313,228,2020,1,5908,23504,1587395,22.46,0.06,IT,LinkedIn
314,939,2024,2,30814,23887,571976,13.57,0.78,IT,LinkedIn
315,77,2023,4,45316,2346,1684304,24.24,0.94,IT,LinkedIn
316,702,2021,1,21996,23806,2266168,1.47,0.58,IT,LinkedIn
317,428,2025,1,43309,1930,2292703,6.85,0.38,IT,LinkedIn
318,145,2022,2,17813,17930,660552,-4.7,0.33,IT,LinkedIn
319,48,2020,2,2158,23294,1958411,6.96,0.7,IT,LinkedIn
320,271,2021,4,17968,11827,1121056,6.05,0.96,IT,LinkedIn
321,198,2024,4,11233,17325,596884,-2.06,0.88,IT,LinkedIn
322,7,2022,4,13128,20885,1494022,-0.54,0.2,IT,LinkedIn
323,559,2025,1,44186,21114,2395200,-0.68,0.66,IT,LinkedIn
324,250,2023,3,49793,15819,561568,-1.67,0.16,IT,LinkedIn
325,753,2022,4,9328,22765,1806757,-1.42,0.54,IT,LinkedIn
326,767,2023,2,31419,26858,1020362,2.99,0.59,IT,LinkedIn
327,404,2019,2,24637,8282,2070319,20.2,0.96,IT,LinkedIn
328,435,2025,2,9672,15149,2342215,0.47,0.09,IT,LinkedIn
329,229,2023,1,38470,4941,1802474,1.66,0.73,IT,LinkedIn
330,558,2021,4,42437,2092,2403875,19.64,0.6,IT,LinkedIn
331,859,2023,2,29160,13155,1546662,0.4,0.53,IT,LinkedIn
332,682,2019,1,22873,1729,2171243,18.85,0.14,IT,LinkedIn
333,943,2020,4,44520,9771,1923220,18.52,0.3,IT,LinkedIn
334,93,2025,2,49717,2401,1788588,23.2,0.59,IT,LinkedIn
335,280,2020,2,35937,20360,2218799,24.58,0.86,IT,LinkedIn
336,519,2022,4,22259,28645,1288573,1.51,0.91,IT,LinkedIn
337,960,2020,4,45799,2951,1760403,0.63,0.48,IT,LinkedIn
338,379,2020,2,39302,11946,1446386,3.02,0.94,IT,LinkedIn
339,247,2020,2,47210,27466,461008,14.17,0.04,IT,LinkedIn
340,939,2020,3,33835,9595,2470439,0.66,0.57,IT,LinkedIn
341,743,2020,1,26793,16417,458749,4.49,0.52,IT,LinkedIn
342,753,2022,4,8501,8819,1243488,10.83,0.23,IT,LinkedIn
343,675,2022,3,14675,1601,2085069,18.76,0.95,IT,LinkedIn
344,399,2025,4,30546,1521,892480,2.75,0.47,IT,LinkedIn
345,990,2019,4,30463,12118,1282119,22.05,0.45,IT,LinkedIn
346,432,2021,4,24408,26463,2025187,17.66,0.76,IT,LinkedIn
347,166,2022,1,41815,18223,2344207,23.86,0.38,IT,LinkedIn
348,277,2019,4,33994,8526,2086811,24.32,0.95,IT,LinkedIn
349,424,2023,1,25046,4812,1677184,-1.88,0.26,IT,LinkedIn
350,901,2024,4,6332,9004,920394,22.08,0.42,IT,LinkedIn
351,102,2020,1,26709,2682,461474,1.4,0.49,IT,LinkedIn
352,353,2024,4,43465,4648,1560488,10.88,0.03,IT,LinkedIn
353,625,2024,3,47919,23833,1378430,15.39,0.38,IT,LinkedIn
354,894,2024,3,22074,9449,640305,-4.73,0.15,IT,LinkedIn
355,909,2019,1,15722,13589,412103,13.13,0.42,IT,LinkedIn
356,439,2023,3,25274,2900,2139053,16.05,0.41,IT,LinkedIn
357,531,2019,1,16812,19115,413805,5.97,0.32,IT,LinkedIn
358,304,2022,4,12537,8520,2247681,11.9,0.08,IT,LinkedIn
359,305,2024,4,18299,13595,1060597,9.4,0.02,IT,LinkedIn
360,418,2024,3,44154,2116,1422116,-2.4,0.1,IT,LinkedIn
361,106,2023,2,26080,25642,2226229,-3.07,0.64,IT,LinkedIn
362,222,2025,1,44933,6189,1387664,1.13,0.64,IT,LinkedIn
363,740,2025,1,31545,11483,1985551,23.21,0.69,IT,LinkedIn
364,296,2022,4,5009,11053,507088,9.67,0.94,IT,LinkedIn
365,800,2020,4,14115,27947,1810461,22.09,0.17,IT,LinkedIn
366,355,2019,4,48943,24214,2177508,10.2,0.01,IT,LinkedIn
367,709,2020,1,40721,14862,1329495,2.21,0.19,IT,LinkedIn
368,705,2021,4,25942,18223,2236387,12.46,0.78,IT,LinkedIn
369,283,2022,3,48563,1831,1917898,-2.64,0.39,IT,LinkedIn
370,192,2025,4,46085,19093,2088623,-3.79,0.26,IT,LinkedIn
371,996,2025,4,31635,18888,836408,-4.15,1.0,IT,LinkedIn
372,774,2019,2,13390,1443,2282806,8.51,0.25,IT,LinkedIn
373,518,2020,3,4239,2533,692502,-1.35,0.27,IT,LinkedIn
374,539,2025,3,45408,17280,2213682,-2.73,0.87,IT,LinkedIn
375,946,2021,4,24506,7928,2400799,5.88,0.27,IT,LinkedIn
