path_id,current_role_id,next_role_id,transition_difficulty_score,required_additional_skills,required_experience_years,recommended_certifications,average_transition_time_months,salary_growth_percent,role_similarity_score
137,827,622,0.19,"109,281,689",1,AWS Certification,11,52,0.93
138,274,5,0.51,"412,485,877",2,AWS Certification,15,70,0.23
139,581,966,0.01,"564,142,358",3,AWS Certification,17,54,0.5
140,231,232,0.93,"690,566,884",5,AWS Certification,16,21,0.31
141,502,717,0.62,"26,722,269",3,AWS Certification,17,73,0.09
142,910,786,0.46,"825,315,982",4,AWS Certification,13,75,0.77
143,484,105,0.83,"500,691,750",1,AWS Certification,10,27,0.59
144,565,327,0.29,"645,133,388",3,AWS Certification,16,56,0.06
145,670,808,0.44,"72,225,484",2,AWS Certification,24,14,0.21
146,604,173,0.04,"829,347,444",4,AWS Certification,13,68,0.64
147,32,666,0.87,"496,556,713",1,AWS Certification,7,10,0.1
148,817,520,0.73,"986,112,783",2,AWS Certification,9,31,0.01
149,415,684,0.28,"138,706,679",3,AWS Certification,22,51,0.09
150,615,961,0.38,"609,522,518",4,AWS Certification,20,30,0.38
151,748,929,0.55,"79,593,7",1,AWS Certification,24,17,0.74
152,731,893,0.53,"344,940,938",1,AWS Certification,18,21,0.17
153,716,711,0.93,"775,416,177",4,AWS Certification,11,11,0.84
154,494,464,0.48,"779,546,15",5,AWS Certification,13,11,0.97
155,949,505,0.17,"7,535,687",5,AWS Certification,11,77,0.77
156,518,546,0.05,"311,610,904",3,AWS Certification,20,11,0.39
157,780,465,0.26,"250,590,317",2,AWS Certification,19,34,0.05
158,269,352,0.68,"327,255,119",5,AWS Certification,20,41,0.85
159,4,545,0.46,"34,88,755",3,AWS Certification,11,42,0.27
160,938,945,0.7,"541,299,75",5,AWS Certification,9,31,0.17
161,464,68,0.98,"980,790,547",2,AWS Certification,6,30,0.36
162,613,152,0.81,"896,813,717",3,AWS Certification,22,21,0.4
163,443,568,0.09,"480,394,789",2,AWS Certification,22,55,0.31
164,152,552,0.85,"541,2,51",3,AWS Certification,20,18,0.29
165,408,22,0.55,"156,457,200",3,AWS Certification,10,70,0.22
166,583,889,0.89,"840,27,202",1,AWS Certification,10,66,0.53
167,485,745,0.37,"351,196,403",5,AWS Certification,23,72,0.92
168,810,246,0.93,"332,941,344",1,AWS Certification,13,65,0.67
169,19,427,0.34,"368,370,253",5,AWS Certification,13,22,0.13
170,783,496,0.34,"67,450,85",5,AWS Certification,12,41,0.03
171,638,786,0.84,"859,648,263",2,AWS Certification,23,34,0.25
172,29,717,0.27,"907,734,413",1,AWS Certification,12,77,0.81
173,750,424,0.01,"312,404,839",2,AWS Certification,14,53,0.09
174,417,364,0.72,"279,610,379",1,AWS Certification,21,66,0.4
175,959,860,0.45,"634,963,352",4,AWS Certification,15,38,0.04
176,552,164,0.01,"265,157,924",2,AWS Certification,6,36,0.19
177,956,375,0.6,"467,304,914",3,AWS Certification,24,10,0.22
178,900,81,0.78,"455,659,522",4,AWS Certification,6,19,0.3
179,235,357,0.69,"105,330,96",2,AWS Certification,8,62,0.24
180,721,584,0.33,"368,695,695",3,AWS Certification,14,24,0.05
181,50,856,0.76,"809,315,525",1,AWS Certification,20,28,0.73
182,65,390,0.73,"418,78,219",4,AWS Certification,16,45,0.38
183,445,209,0.1,"371,284,710",1,AWS Certification,6,37,0.83
184,993,292,0.78,"796,615,432",1,AWS Certification,21,23,0.33
185,296,891,0.28,"876,723,501",2,AWS Certification,7,61,0.73
186,576,630,0.47,"969,136,339",2,AWS Certification,15,33,0.61
187,624,362,0.77,"526,189,17",4,AWS Certification,11,24,0.44
188,207,663,0.92,"203,116,778",5,AWS Certification,21,71,0.83
189,106,810,0.56,"598,653,675",4,AWS Certification,24,41,0.01
190,826,327,0.4,"664,107,355",2,AWS Certification,8,68,0.39
191,958,264,0.96,"864,832,223",3,AWS Certification,10,24,0.94
192,947,602,0.09,"697,731,496",3,AWS Certification,17,11,0.36
193,652,77,0.28,"558,370,367",3,AWS Certification,12,49,0.13
194,201,467,0.96,"809,811,619",1,AWS Certification,21,64,0.93
195,812,100,0.79,"297,457,176",5,AWS Certification,6,73,0.01
196,256,891,0.57,"381,159,170",4,AWS Certification,10,41,0.07
197,438,656,0.92,"495,868,768",1,AWS Certification,7,29,0.24
198,433,119,0.82,"212,276,51",3,AWS Certification,15,64,0.07
199,552,392,0.51,"542,26,386",4,AWS Certification,17,12,1.0
200,457,492,0.73,"457,448,861",4,AWS Certification,21,23,0.46
201,108,402,0.35,"907,656,584",4,AWS Certification,18,16,0.41
202,174,358,0.54,"273,68,356",4,AWS Certification,22,74,0.88
203,176,433,0.58,"310,708,92",5,AWS Certification,22,13,0.43
204,4,266,0.95,"572,721,390",2,AWS Certification,22,35,0.08
205,568,473,0.14,"604,217,936",4,AWS Certification,8,37,0.18
206,468,346,0.93,"411,23,334",4,AWS Certification,17,79,0.51
207,572,768,0.27,"341,58,823",5,AWS Certification,7,41,0.7
208,679,518,0.51,"426,278,818",2,AWS Certification,9,27,0.75
209,746,993,0.52,"277,386,970",2,AWS Certification,7,67,0.28
210,209,815,0.81,"747,424,438",2,AWS Certification,13,75,0.57
211,849,319,0.54,"71,855,752",3,AWS Certification,9,29,0.0
212,149,10,0.14,"55,245,888",2,AWS Certification,10,46,0.26
213,365,171,0.08,"159,693,11",3,AWS Certification,22,39,0.41
214,105,165,0.57,"466,372,23",3,AWS Certification,9,41,0.09
215,241,230,0.11,"168,703,89",1,AWS Certification,15,12,0.73
216,820,984,0.52,"779,825,242",3,AWS Certification,22,78,0.19
217,613,3,0.72,"452,19,392",1,AWS Certification,23,60,0.06
218,295,155,0.96,"11,535,562",5,AWS Certification,12,10,0.28
219,217,711,0.35,"919,402,180",5,AWS Certification,7,54,0.48
220,766,432,0.72,"721,25,690",5,AWS Certification,16,61,0.44
221,228,40,0.86,"281,525,341",5,AWS Certification,18,11,0.42
222,890,222,0.78,"799,863,770",1,AWS Certification,19,39,0.7
223,860,780,0.84,"31,296,370",1,AWS Certification,9,31,0.86
224,633,308,0.39,"959,269,956",3,AWS Certification,14,31,0.44
225,266,414,0.48,"29,693,830",4,AWS Certification,19,65,0.7
226,353,600,0.37,"805,942,888",4,AWS Certification,20,46,0.08
227,481,369,0.3,"564,504,742",1,AWS Certification,8,71,0.1
228,57,577,0.64,"769,948,1",1,AWS Certification,8,20,0.26
229,436,88,0.98,"957,192,800",2,AWS Certification,8,32,0.19
230,594,107,0.84,"815,599,803",1,AWS Certification,13,32,0.72
231,458,325,0.47,"595,277,243",2,AWS Certification,21,49,0.7
232,284,451,0.33,"818,650,966",3,AWS Certification,9,44,0.65
233,572,35,0.43,"4,672,41",4,AWS Certification,20,68,0.75
234,648,338,0.07,"248,979,239",3,AWS Certification,16,15,0.48
235,636,770,0.82,"465,729,643",4,AWS Certification,9,65,0.56
236,472,887,0.59,"203,26,224",5,AWS Certification,15,72,0.62
237,366,314,0.18,"91,401,627",1,AWS Certification,11,38,0.58
238,509,370,0.61,"534,147,13",5,AWS Certification,9,32,0.09
239,95,942,0.39,"123,313,417",2,AWS Certification,8,21,0.56
240,812,307,0.07,"148,866,641",3,AWS Certification,8,75,0.85
241,171,302,0.64,"218,335,692",4,AWS Certification,13,39,0.33
242,240,727,0.85,"969,995,285",5,AWS Certification,21,66,0.04
243,438,117,0.36,"381,855,285",5,AWS Certification,7,45,0.09
244,960,175,0.51,"513,266,412",3,AWS Certification,21,40,0.95
245,589,877,0.04,"833,27,425",5,AWS Certification,6,46,0.04
246,909,362,0.3,"656,625,821",2,AWS Certification,6,22,0.9
247,382,159,0.81,"397,75,221",3,AWS Certification,15,25,0.72
248,863,600,0.4,"413,938,352",1,AWS Certification,6,23,0.69
249,599,581,0.58,"42,402,628",3,AWS Certification,9,17,0.05
250,957,655,0.44,"845,168,961",4,AWS Certification,21,64,0.0
251,492,603,0.64,"968,898,662",3,AWS Certification,16,15,0.52
252,514,630,0.4,"692,460,271",3,AWS Certification,18,11,0.85
253,397,577,0.93,"842,580,526",3,AWS Certification,7,73,0.07
254,133,817,0.83,"645,183,389",5,AWS Certification,24,66,0.46
255,409,788,0.6,"5,599,744",2,AWS Certification,22,38,0.67
256,800,90,0.64,"845,738,894",2,AWS Certification,24,62,0.79
257,481,804,0.1,"622,453,95",5,AWS Certification,14,20,0.46
258,824,209,0.32,"294,230,640",2,AWS Certification,17,60,0.89
259,193,147,0.34,"403,33,395",5,AWS Certification,19,51,0.42
260,585,872,0.08,"80,421,66",4,AWS Certification,17,23,0.33
261,428,896,0.24,"665,943,136",4,AWS Certification,6,42,0.62
262,20,946,0.28,"784,87,145",2,AWS Certification,8,48,0.85
263,823,135,0.9,"273,125,720",5,AWS Certification,9,19,0.51
264,227,773,0.95,"60,707,963",3,AWS Certification,9,60,0.43
265,41,798,0.16,"462,124,256",4,AWS Certification,22,44,0.24
266,348,649,0.41,"431,743,705",1,AWS Certification,6,35,0.47
267,316,705,0.88,"282,61,30",1,AWS Certification,22,62,0.33
268,837,797,0.07,"469,224,228",5,AWS Certification,23,35,0.41
269,828,181,0.26,"357,406,76",2,AWS Certification,20,48,0.08
270,891,714,0.61,"155,44,717",5,AWS Certification,19,79,0.84
271,708,112,0.13,"178,542,386",4,AWS Certification,11,35,0.85
272,593,198,0.74,"626,83,648",3,AWS Certification,17,30,0.98
273,581,421,0.26,"890,544,157",1,AWS Certification,11,73,0.78
274,771,244,0.53,"725,53,375",1,AWS Certification,13,33,0.45
275,494,190,0.39,"129,626,151",5,AWS Certification,7,46,0.57
276,190,399,0.35,"367,332,63",4,AWS Certification,8,38,0.95
277,111,600,0.41,"337,682,54",5,AWS Certification,12,19,0.76
278,487,868,0.09,"134,200,719",4,AWS Certification,17,37,0.89
279,561,918,0.39,"511,104,623",4,AWS Certification,24,22,0.25
280,816,197,0.48,"186,564,793",5,AWS Certification,12,70,0.35
281,839,787,0.83,"374,682,840",4,AWS Certification,16,51,0.02
282,104,356,0.84,"832,890,219",2,AWS Certification,24,16,0.6
283,147,146,0.26,"504,247,377",3,AWS Certification,14,10,0.83
284,709,93,0.3,"308,705,313",1,AWS Certification,9,20,0.12
285,457,274,0.49,"275,156,526",1,AWS Certification,7,34,0.08
286,874,647,0.57,"280,758,805",1,AWS Certification,8,62,0.71
287,767,966,0.54,"332,401,648",1,AWS Certification,17,80,0.6
288,376,223,0.43,"311,320,233",2,AWS Certification,7,74,0.44
289,338,418,0.61,"823,856,70",5,AWS Certification,14,34,0.06
290,251,957,0.97,"487,149,771",2,AWS Certification,13,74,0.14
291,588,930,0.03,"57,976,899",3,AWS Certification,24,21,0.66
292,403,513,0.44,"349,29,928",4,AWS Certification,20,22,0.33
293,605,94,0.98,"419,461,505",3,AWS Certification,13,50,0.63
294,183,948,0.38,"471,803,169",4,AWS Certification,19,35,0.29
295,250,83,0.25,"932,283,228",2,AWS Certification,23,19,0.24
296,769,479,0.2,"972,102,19",1,AWS Certification,15,63,0.16
297,908,191,0.22,"202,532,43",2,AWS Certification,13,14,0.09
298,480,444,0.23,"259,796,876",5,AWS Certification,23,29,0.45
299,827,834,0.75,"621,485,955",3,AWS Certification,10,19,0.13
300,334,327,0.66,"705,941,871",4,AWS Certification,8,24,0.28
301,254,428,0.24,"389,77,250",2,AWS Certification,7,32,0.13
302,120,907,0.22,"377,533,514",2,AWS Certification,13,55,0.41
303,471,845,0.88,"981,445,411",1,AWS Certification,12,18,0.05
304,190,540,0.18,"418,952,591",3,AWS Certification,19,22,0.75
305,351,364,0.02,"437,685,579",2,AWS Certification,24,78,0.1
306,347,421,0.93,"910,342,303",2,AWS Certification,14,10,0.47
307,910,327,0.97,"58,507,527",4,AWS Certification,13,43,0.39
308,492,718,0.6,"418,607,864",3,AWS Certification,8,39,0.01
309,179,117,0.82,"171,75,589",3,AWS Certification,13,58,0.76
310,887,772,0.1,"1,985,24",5,AWS Certification,7,45,0.92
311,179,876,0.59,"69,482,517",2,AWS Certification,12,57,0.13
312,885,759,0.59,"533,50,86",5,AWS Certification,11,62,0.97
313,614,676,0.36,"142,527,598",2,AWS Certification,19,17,0.11
314,95,359,0.59,"567,296,684",2,AWS Certification,24,39,0.79
315,854,487,0.51,"550,587,97",2,AWS Certification,22,19,0.71
316,250,25,0.8,"116,946,405",5,AWS Certification,7,13,0.61
317,753,0,0.96,"17,610,554",4,AWS Certification,24,59,0.49
318,104,366,0.12,"462,789,941",2,AWS Certification,22,64,0.56
319,627,494,0.33,"598,701,283",5,AWS Certification,14,58,0.09
320,305,665,0.18,"220,715,333",2,AWS Certification,6,20,0.65
321,548,637,0.1,"876,434,215",3,AWS Certification,11,25,0.66
322,930,935,0.14,"821,76,802",4,AWS Certification,15,77,0.07
323,333,44,0.68,"869,467,262",1,AWS Certification,23,47,0.34
324,534,446,0.33,"670,750,945",3,AWS Certification,17,53,0.61
325,933,275,0.0,"1000,411,759",2,AWS Certification,18,47,0.18
326,965,171,0.25,"482,903,827",1,AWS Certification,19,58,0.07
327,799,595,0.75,"914,76,317",2,AWS Certification,24,76,0.19
328,103,376,0.66,"128,443,615",1,AWS Certification,6,54,0.33
329,775,242,0.52,"621,90,223",2,AWS Certification,11,31,0.4
330,684,773,0.12,"936,485,576",2,AWS Certification,10,35,0.77
331,456,899,0.38,"32,573,869",5,AWS Certification,11,47,0.79
332,806,955,0.55,"4,27,127",4,AWS Certification,7,25,0.86
333,536,860,0.98,"679,583,104",4,AWS Certification,11,20,0.48
334,756,721,0.48,"461,525,15",3,AWS Certification,18,59,0.3
335,656,547,0.95,"692,458,330",3,AWS Certification,18,35,0.85
336,653,492,0.75,"450,718,447",1,AWS Certification,13,28,0.52
337,14,143,0.64,"271,348,375",2,AWS Certification,6,66,0.81
338,513,550,0.44,"509,243,897",5,AWS Certification,17,63,0.36
339,61,964,0.46,"774,829,266",3,AWS Certification,16,15,0.03
340,985,805,0.55,"903,440,392",1,AWS Certification,24,45,0.83
341,452,339,0.72,"283,620,554",1,AWS Certification,17,29,1.0
342,886,572,0.7,"971,443,536",1,AWS Certification,13,70,0.19
343,980,62,0.03,"940,337,581",4,AWS Certification,12,65,0.2
344,306,740,0.06,"350,779,495",5,AWS Certification,20,34,0.54
345,50,428,0.9,"435,287,547",4,AWS Certification,18,55,0.18
346,977,562,0.38,"255,875,142",3,AWS Certification,17,48,0.32
347,541,592,0.72,"695,497,546",2,AWS Certification,16,31,0.11
348,386,845,0.67,"88,201,775",5,AWS Certification,8,14,0.73
349,677,729,0.51,"399,142,555",1,AWS Certification,8,25,0.44
350,19,726,0.26,"283,404,164",1,AWS Certification,17,44,0.81
351,22,734,0.48,"578,873,716",2,AWS Certification,20,61,0.74
352,49,360,0.45,"428,1,419",2,AWS Certification,9,11,0.4
353,584,496,0.25,"525,269,702",3,AWS Certification,10,75,0.91
354,868,564,0.81,"293,603,154",3,AWS Certification,11,60,1.0
355,104,799,0.42,"519,574,584",2,AWS Certification,13,48,0.67
356,103,936,0.3,"594,685,968",1,AWS Certification,22,76,0.14
357,977,178,0.85,"688,830,167",3,AWS Certification,10,27,0.42
358,560,574,0.83,"984,535,898",2,AWS Certification,18,70,0.07
359,495,304,0.48,"791,638,361",5,AWS Certification,10,58,0.16
360,900,496,0.92,"764,803,271",5,AWS Certification,14,37,0.32
361,869,857,0.53,"141,935,65",5,AWS Certification,13,48,0.55
362,561,161,0.01,"801,115,419",2,AWS Certification,24,22,0.73
363,343,129,0.32,"799,878,79",2,AWS Certification,24,79,0.18
364,537,284,0.37,"678,257,945",1,AWS Certification,18,19,0.98
365,837,865,0.63,"968,815,977",1,AWS Certification,10,36,0.2
366,673,493,0.82,"822,758,853",3,AWS Certification,16,25,0.47
367,843,66,0.8,"695,324,583",3,AWS Certification,11,60,0.2
368,426,35,0.79,"201,2,963",5,AWS Certification,13,69,0.02
369,236,538,0.19,"828,44,140",5,AWS Certification,24,43,0.06
370,558,248,0.77,"169,950,326",3,AWS Certification,23,47,0.21
371,125,93,0.29,"935,514,462",5,AWS Certification,21,40,0.97
372,10,154,0.96,"977,465,450",5,AWS Certification,7,35,0.23
373,650,848,0.04,"559,721,2",1,AWS Certification,13,20,0.41
374,925,254,0.46,"72,871,256",3,AWS Certification,11,64,0.83
375,399,302,0.28,"121,69,327",4,AWS Certification,22,39,0.87
376,820,376,0.25,"160,153,981",3,AWS Certification,19,35,0.69
377,506,685,0.34,"967,48,927",1,AWS Certification,24,78,0.49
378,209,340,0.13,"16,507,769",4,AWS Certification,6,17,0.64
379,559,169,0.88,"472,254,484",4,AWS Certification,6,19,0.28
380,831,331,0.79,"432,827,210",2,AWS Certification,18,68,0.64
381,757,23,0.24,"11,993,500",2,AWS Certification,9,34,0.85
382,268,408,0.24,"105,264,273",5,AWS Certification,19,46,0.64
383,338,685,0.11,"883,352,636",2,AWS Certification,16,64,0.43
384,906,993,0.45,"329,459,300",2,AWS Certification,12,33,0.06
385,531,148,0.01,"923,990,333",2,AWS Certification,17,53,0.51
386,705,554,0.18,"737,609,940",4,AWS Certification,14,24,0.1
387,578,663,0.72,"573,575,106",5,AWS Certification,21,11,0.88
388,868,337,0.31,"248,27,591",4,AWS Certification,13,22,0.26
389,708,446,0.11,"640,254,45",3,AWS Certification,22,41,0.06
390,105,906,0.13,"196,199,942",5,AWS Certification,16,65,0.9
391,93,980,0.96,"11,316,659",5,AWS Certification,12,52,0.59
392,51,477,0.94,"375,883,905",1,AWS Certification,9,66,0.14
393,999,875,0.53,"980,275,250",4,AWS Certification,21,28,0.75
394,389,441,0.15,"814,878,257",3,AWS Certification,7,46,0.2
395,63,166,0.68,"607,892,8",2,AWS Certification,9,72,0.63
396,295,52,0.04,"991,928,791",4,AWS Certification,12,59,0.42
397,75,727,0.68,"150,245,32",3,AWS Certification,9,53,0.19
398,34,95,0.78,"305,208,634",4,AWS Certification,10,21,0.87
399,204,822,0.37,"670,866,302",4,AWS Certification,11,75,0.62
400,378,873,0.75,"656,26,923",2,AWS Certification,15,74,0.54
401,529,659,0.33,"710,515,65",1,AWS Certification,14,38,0.3
402,70,896,0.38,"739,966,612",4,AWS Certification,18,60,0.7
403,333,549,0.23,"191,774,304",4,AWS Certification,11,27,0.51
404,759,829,0.94,"790,948,879",4,AWS Certification,17,23,0.88
405,1,441,0.23,"199,188,432",5,AWS Certification,12,48,0.07
406,328,540,0.34,"474,491,647",2,AWS Certification,18,60,0.9
