synonym_id,original_term,normalized_skill_name,synonym_type,confidence_score,language,region
242,Microservices,microservices,abbreviation,0.96,English,Global
243,TensorFlow,tensorflow,abbreviation,0.78,English,Global
244,Communication,communication,abbreviation,0.85,English,Global
245,TensorFlow,tensorflow,abbreviation,0.87,English,Global
246,Java,java,abbreviation,0.77,English,Global
247,SQL,sql,abbreviation,0.8,English,Global
248,Azure,azure,abbreviation,0.84,English,Global
249,Azure,azure,abbreviation,0.74,English,Global
250,Node.js,node.js,abbreviation,0.7,English,Global
251,REST API,rest api,abbreviation,0.87,English,Global
252,Java,java,abbreviation,0.83,English,Global
253,Azure,azure,abbreviation,0.93,English,Global
254,Leadership,leadership,abbreviation,0.97,English,Global
255,Problem Solving,problem solving,abbreviation,0.81,English,Global
256,React,react,abbreviation,0.76,English,Global
257,Kubernetes,kubernetes,abbreviation,0.72,English,Global
258,GCP,gcp,abbreviation,0.84,English,Global
259,PyTorch,pytorch,abbreviation,0.85,English,Global
260,Algorithms,algorithms,abbreviation,0.88,English,Global
261,Leadership,leadership,abbreviation,0.97,English,Global
262,Java,java,abbreviation,0.73,English,Global
263,Data Structures,data structures,abbreviation,0.97,English,Global
264,Azure,azure,abbreviation,0.92,English,Global
265,MongoDB,mongodb,abbreviation,0.8,English,Global
266,REST API,rest api,abbreviation,0.91,English,Global
267,REST API,rest api,abbreviation,0.97,English,Global
268,Spring Boot,spring boot,abbreviation,0.92,English,Global
269,AWS,aws,abbreviation,0.76,English,Global
270,Problem Solving,problem solving,abbreviation,0.89,English,Global
271,Communication,communication,abbreviation,0.85,English,Global
272,GCP,gcp,abbreviation,0.79,English,Global
273,Python,python,abbreviation,0.95,English,Global
274,Communication,communication,abbreviation,0.71,English,Global
275,GCP,gcp,abbreviation,0.77,English,Global
276,Leadership,leadership,abbreviation,0.86,English,Global
277,MongoDB,mongodb,abbreviation,0.91,English,Global
278,Leadership,leadership,abbreviation,0.97,English,Global
279,Angular,angular,abbreviation,0.73,English,Global
280,Kubernetes,kubernetes,abbreviation,0.99,English,Global
281,MongoDB,mongodb,abbreviation,0.77,English,Global
282,Data Structures,data structures,abbreviation,0.71,English,Global
283,AWS,aws,abbreviation,0.85,English,Global
284,Algorithms,algorithms,abbreviation,0.78,English,Global
285,TensorFlow,tensorflow,abbreviation,0.77,English,Global
286,Problem Solving,problem solving,abbreviation,0.76,English,Global
287,Java,java,abbreviation,0.91,English,Global
288,SQL,sql,abbreviation,0.85,English,Global
289,Docker,docker,abbreviation,0.84,English,Global
290,GCP,gcp,abbreviation,0.76,English,Global
291,AWS,aws,abbreviation,0.84,English,Global
292,Angular,angular,abbreviation,0.93,English,Global
293,Leadership,leadership,abbreviation,0.81,English,Global
294,Communication,communication,abbreviation,0.86,English,Global
295,Communication,communication,abbreviation,0.83,English,Global
296,Spring Boot,spring boot,abbreviation,0.87,English,Global
297,Leadership,leadership,abbreviation,0.95,English,Global
298,Leadership,leadership,abbreviation,0.79,English,Global
299,REST API,rest api,abbreviation,0.99,English,Global
300,Kubernetes,kubernetes,abbreviation,0.84,English,Global
301,Time Management,time management,abbreviation,0.93,English,Global
302,Git,git,abbreviation,0.75,English,Global
303,Leadership,leadership,abbreviation,0.85,English,Global
304,MongoDB,mongodb,abbreviation,0.73,English,Global
305,PyTorch,pytorch,abbreviation,0.9,English,Global
306,MongoDB,mongodb,abbreviation,0.74,English,Global
307,React,react,abbreviation,0.89,English,Global
308,Kubernetes,kubernetes,abbreviation,0.78,English,Global
309,Git,git,abbreviation,0.92,English,Global
310,MongoDB,mongodb,abbreviation,0.72,English,Global
311,MongoDB,mongodb,abbreviation,0.85,English,Global
312,Python,python,abbreviation,0.8,English,Global
313,Node.js,node.js,abbreviation,0.83,English,Global
314,Git,git,abbreviation,0.89,English,Global
315,GCP,gcp,abbreviation,0.86,English,Global
316,Time Management,time management,abbreviation,0.78,English,Global
317,MongoDB,mongodb,abbreviation,0.93,English,Global
318,Time Management,time management,abbreviation,0.8,English,Global
319,REST API,rest api,abbreviation,0.7,English,Global
320,GCP,gcp,abbreviation,0.92,English,Global
321,Node.js,node.js,abbreviation,0.96,English,Global
322,TensorFlow,tensorflow,abbreviation,0.75,English,Global
323,Git,git,abbreviation,0.93,English,Global
324,Spring Boot,spring boot,abbreviation,0.87,English,Global
325,React,react,abbreviation,0.89,English,Global
326,Data Structures,data structures,abbreviation,0.71,English,Global
327,Azure,azure,abbreviation,0.93,English,Global
328,Kubernetes,kubernetes,abbreviation,0.96,English,Global
329,SQL,sql,abbreviation,0.97,English,Global
330,Node.js,node.js,abbreviation,0.76,English,Global
331,Communication,communication,abbreviation,0.91,English,Global
332,Git,git,abbreviation,0.93,English,Global
333,Problem Solving,problem solving,abbreviation,0.96,English,Global
334,Spring Boot,spring boot,abbreviation,0.78,English,Global
335,Docker,docker,abbreviation,0.79,English,Global
336,Angular,angular,abbreviation,0.78,English,Global
337,Microservices,microservices,abbreviation,0.87,English,Global
338,Angular,angular,abbreviation,0.98,English,Global
339,Node.js,node.js,abbreviation,0.77,English,Global
340,Problem Solving,problem solving,abbreviation,0.94,English,Global
341,Angular,angular,abbreviation,0.76,English,Global
342,AWS,aws,abbreviation,0.8,English,Global
343,SQL,sql,abbreviation,0.75,English,Global
344,React,react,abbreviation,0.83,English,Global
345,AWS,aws,abbreviation,0.88,English,Global
346,Git,git,abbreviation,0.83,English,Global
347,Time Management,time management,abbreviation,0.74,English,Global
348,Kubernetes,kubernetes,abbreviation,0.83,English,Global
349,AWS,aws,abbreviation,0.72,English,Global
350,React,react,abbreviation,0.95,English,Global
351,Microservices,microservices,abbreviation,0.73,English,Global
352,Microservices,microservices,abbreviation,0.71,English,Global
353,React,react,abbreviation,0.95,English,Global
354,Node.js,node.js,abbreviation,0.78,English,Global
355,Problem Solving,problem solving,abbreviation,0.89,English,Global
356,Azure,azure,abbreviation,0.92,English,Global
357,REST API,rest api,abbreviation,0.97,English,Global
358,SQL,sql,abbreviation,0.78,English,Global
359,Kubernetes,kubernetes,abbreviation,0.93,English,Global
360,REST API,rest api,abbreviation,0.85,English,Global
361,REST API,rest api,abbreviation,0.89,English,Global
362,SQL,sql,abbreviation,0.92,English,Global
363,Node.js,node.js,abbreviation,0.82,English,Global
364,Microservices,microservices,abbreviation,0.73,English,Global
365,Azure,azure,abbreviation,0.88,English,Global
366,MongoDB,mongodb,abbreviation,0.76,English,Global
367,Time Management,time management,abbreviation,0.72,English,Global
368,PyTorch,pytorch,abbreviation,0.86,English,Global
369,Communication,communication,abbreviation,0.77,English,Global
370,GCP,gcp,abbreviation,0.81,English,Global
371,Microservices,microservices,abbreviation,0.91,English,Global
372,TensorFlow,tensorflow,abbreviation,0.96,English,Global
373,Angular,angular,abbreviation,0.94,English,Global
374,Algorithms,algorithms,abbreviation,0.79,English,Global
375,Git,git,abbreviation,0.8,English,Global
376,TensorFlow,tensorflow,abbreviation,0.93,English,Global
377,Azure,azure,abbreviation,0.89,English,Global
378,Angular,angular,abbreviation,0.98,English,Global
379,Data Structures,data structures,abbreviation,0.98,English,Global
380,Spring Boot,spring boot,abbreviation,0.75,English,Global
381,Spring Boot,spring boot,abbreviation,0.79,English,Global
382,Problem Solving,problem solving,abbreviation,0.97,English,Global
383,React,react,abbreviation,0.7,English,Global
384,Kubernetes,kubernetes,abbreviation,0.73,English,Global
385,Azure,azure,abbreviation,0.91,English,Global
386,REST API,rest api,abbreviation,0.88,English,Global
387,Azure,azure,abbreviation,0.91,English,Global
388,Java,java,abbreviation,0.9,English,Global
389,SQL,sql,abbreviation,0.8,English,Global
390,Azure,azure,abbreviation,0.97,English,Global
391,Angular,angular,abbreviation,0.85,English,Global
392,REST API,rest api,abbreviation,0.77,English,Global
393,Angular,angular,abbreviation,0.98,English,Global
394,React,react,abbreviation,0.8,English,Global
395,REST API,rest api,abbreviation,0.93,English,Global
396,Data Structures,data structures,abbreviation,0.72,English,Global
397,MongoDB,mongodb,abbreviation,0.85,English,Global
398,Problem Solving,problem solving,abbreviation,0.96,English,Global
399,Node.js,node.js,abbreviation,0.85,English,Global
400,MongoDB,mongodb,abbreviation,0.82,English,Global
401,Time Management,time management,abbreviation,0.85,English,Global
402,GCP,gcp,abbreviation,0.73,English,Global
403,Kubernetes,kubernetes,abbreviation,0.83,English,Global
404,AWS,aws,abbreviation,0.87,English,Global
405,Node.js,node.js,abbreviation,0.95,English,Global
406,Azure,azure,abbreviation,0.83,English,Global
407,Leadership,leadership,abbreviation,0.81,English,Global
408,Time Management,time management,abbreviation,0.82,English,Global
409,SQL,sql,abbreviation,0.94,English,Global
410,Algorithms,algorithms,abbreviation,0.81,English,Global
411,Azure,azure,abbreviation,0.92,English,Global
412,Node.js,node.js,abbreviation,0.79,English,Global
413,Kubernetes,kubernetes,abbreviation,0.74,English,Global
414,Java,java,abbreviation,0.94,English,Global
415,Java,java,abbreviation,0.9,English,Global
416,Docker,docker,abbreviation,0.87,English,Global
417,Node.js,node.js,abbreviation,0.78,English,Global
418,AWS,aws,abbreviation,0.91,English,Global
419,Python,python,abbreviation,0.71,English,Global
420,Git,git,abbreviation,0.98,English,Global
421,Microservices,microservices,abbreviation,0.81,English,Global
422,Spring Boot,spring boot,abbreviation,0.85,English,Global
423,Kubernetes,kubernetes,abbreviation,0.97,English,Global
424,Microservices,microservices,abbreviation,0.74,English,Global
425,Java,java,abbreviation,0.83,English,Global
426,React,react,abbreviation,0.71,English,Global
427,MongoDB,mongodb,abbreviation,0.8,English,Global
428,Azure,azure,abbreviation,0.81,English,Global
429,Problem Solving,problem solving,abbreviation,0.87,English,Global
430,Kubernetes,kubernetes,abbreviation,0.77,English,Global
431,Python,python,abbreviation,0.85,English,Global
432,Communication,communication,abbreviation,0.76,English,Global
433,PyTorch,pytorch,abbreviation,0.97,English,Global
434,AWS,aws,abbreviation,0.88,English,Global
435,Angular,angular,abbreviation,0.84,English,Global
436,React,react,abbreviation,0.94,English,Global
437,Microservices,microservices,abbreviation,0.84,English,Global
438,Problem Solving,problem solving,abbreviation,0.92,English,Global
439,Angular,angular,abbreviation,0.94,English,Global
440,Data Structures,data structures,abbreviation,0.74,English,Global
441,Time Management,time management,abbreviation,0.74,English,Global
442,Spring Boot,spring boot,abbreviation,0.7,English,Global
443,Python,python,abbreviation,0.97,English,Global
444,Kubernetes,kubernetes,abbreviation,0.99,English,Global
445,GCP,gcp,abbreviation,0.72,English,Global
446,Problem Solving,problem solving,abbreviation,0.75,English,Global
447,Problem Solving,problem solving,abbreviation,0.89,English,Global
448,Docker,docker,abbreviation,0.94,English,Global
449,Kubernetes,kubernetes,abbreviation,0.87,English,Global
450,SQL,sql,abbreviation,0.95,English,Global
451,TensorFlow,tensorflow,abbreviation,0.79,English,Global
452,Spring Boot,spring boot,abbreviation,0.75,English,Global
453,Leadership,leadership,abbreviation,0.84,English,Global
454,Python,python,abbreviation,0.8,English,Global
455,Leadership,leadership,abbreviation,0.75,English,Global
456,Git,git,abbreviation,0.73,English,Global
457,Algorithms,algorithms,abbreviation,0.98,English,Global
458,Node.js,node.js,abbreviation,0.96,English,Global
459,TensorFlow,tensorflow,abbreviation,0.72,English,Global
460,REST API,rest api,abbreviation,0.8,English,Global
461,React,react,abbreviation,0.88,English,Global
462,Time Management,time management,abbreviation,0.92,English,Global
463,PyTorch,pytorch,abbreviation,0.87,English,Global
464,SQL,sql,abbreviation,0.81,English,Global
465,TensorFlow,tensorflow,abbreviation,0.78,English,Global
466,Docker,docker,abbreviation,0.85,English,Global
467,Angular,angular,abbreviation,0.84,English,Global
468,Problem Solving,problem solving,abbreviation,0.76,English,Global
469,Angular,angular,abbreviation,0.76,English,Global
470,AWS,aws,abbreviation,0.76,English,Global
471,AWS,aws,abbreviation,0.95,English,Global
472,Kubernetes,kubernetes,abbreviation,0.78,English,Global
473,SQL,sql,abbreviation,0.87,English,Global
474,SQL,sql,abbreviation,0.79,English,Global
475,Docker,docker,abbreviation,0.81,English,Global
476,Java,java,abbreviation,0.85,English,Global
477,Node.js,node.js,abbreviation,0.86,English,Global
478,Docker,docker,abbreviation,0.9,English,Global
479,Python,python,abbreviation,0.79,English,Global
480,Leadership,leadership,abbreviation,0.71,English,Global
481,Problem Solving,problem solving,abbreviation,0.77,English,Global
482,Docker,docker,abbreviation,0.75,English,Global
483,Angular,angular,abbreviation,0.76,English,Global
484,Java,java,abbreviation,0.91,English,Global
485,Git,git,abbreviation,0.9,English,Global
486,Microservices,microservices,abbreviation,0.79,English,Global
487,Git,git,abbreviation,0.79,English,Global
488,Docker,docker,abbreviation,0.7,English,Global
489,Kubernetes,kubernetes,abbreviation,0.76,English,Global
490,Communication,communication,abbreviation,0.74,English,Global
491,AWS,aws,abbreviation,0.85,English,Global
492,Spring Boot,spring boot,abbreviation,0.93,English,Global
493,MongoDB,mongodb,abbreviation,0.7,English,Global
494,REST API,rest api,abbreviation,0.84,English,Global
495,Angular,angular,abbreviation,0.93,English,Global
496,Java,java,abbreviation,0.94,English,Global
497,MongoDB,mongodb,abbreviation,0.88,English,Global
498,Node.js,node.js,abbreviation,0.84,English,Global
499,Docker,docker,abbreviation,0.85,English,Global
500,GCP,gcp,abbreviation,0.98,English,Global
501,Microservices,microservices,abbreviation,0.77,English,Global
502,Time Management,time management,abbreviation,0.88,English,Global
503,Python,python,abbreviation,0.9,English,Global
504,React,react,abbreviation,0.86,English,Global
505,AWS,aws,abbreviation,0.79,English,Global
506,GCP,gcp,abbreviation,0.94,English,Global
507,SQL,sql,abbreviation,0.95,English,Global
508,MongoDB,mongodb,abbreviation,0.78,English,Global
509,Angular,angular,abbreviation,0.9,English,Global
510,Algorithms,algorithms,abbreviation,0.94,English,Global
511,AWS,aws,abbreviation,0.76,English,Global
512,Angular,angular,abbreviation,0.8,English,Global
513,Git,git,abbreviation,0.78,English,Global
514,Angular,angular,abbreviation,0.82,English,Global
515,Communication,communication,abbreviation,0.78,English,Global
516,Microservices,microservices,abbreviation,0.94,English,Global
517,PyTorch,pytorch,abbreviation,0.79,English,Global
518,Angular,angular,abbreviation,0.7,English,Global
519,Leadership,leadership,abbreviation,0.85,English,Global
520,REST API,rest api,abbreviation,0.82,English,Global
521,Docker,docker,abbreviation,0.87,English,Global
522,TensorFlow,tensorflow,abbreviation,0.77,English,Global
523,React,react,abbreviation,0.98,English,Global
524,Spring Boot,spring boot,abbreviation,0.96,English,Global
525,Kubernetes,kubernetes,abbreviation,0.95,English,Global
526,Communication,communication,abbreviation,0.95,English,Global
527,Microservices,microservices,abbreviation,0.89,English,Global
528,Communication,communication,abbreviation,0.95,English,Global
529,Docker,docker,abbreviation,0.71,English,Global
530,REST API,rest api,abbreviation,0.73,English,Global
531,Time Management,time management,abbreviation,0.76,English,Global
532,SQL,sql,abbreviation,0.81,English,Global
533,Docker,docker,abbreviation,0.91,English,Global
534,Azure,azure,abbreviation,0.94,English,Global
535,Microservices,microservices,abbreviation,0.95,English,Global
536,Kubernetes,kubernetes,abbreviation,0.94,English,Global
537,Leadership,leadership,abbreviation,0.95,English,Global
538,Algorithms,algorithms,abbreviation,0.96,English,Global
539,Spring Boot,spring boot,abbreviation,0.84,English,Global
540,GCP,gcp,abbreviation,0.92,English,Global
541,React,react,abbreviation,0.74,English,Global
542,REST API,rest api,abbreviation,0.73,English,Global
