verb_id,verb,impact_level,role_category,synonym_group,effectiveness_score
173,Optimized,Low,IT,905,0.51
174,Designed,High,IT,124,0.83
175,Implemented,Medium,IT,1363,0.11
176,Automated,High,IT,1373,0.18
177,Automated,Medium,IT,1044,0.31
178,Developed,Medium,IT,340,0.75
179,Designed,Low,IT,1529,0.8
180,Designed,Low,IT,284,0.54
181,Implemented,High,IT,1385,0.72
182,Led,High,IT,1660,0.71
183,Implemented,High,IT,1972,0.81
184,Implemented,High,IT,1877,0.38
185,Architected,Medium,IT,723,0.1
186,Designed,Medium,IT,888,0.88
187,Developed,Low,IT,909,0.58
188,Architected,Medium,IT,191,0.42
189,Implemented,Medium,IT,1624,0.53
190,Developed,Medium,IT,904,0.13
191,Optimized,Low,IT,1357,0.86
192,Optimized,Medium,IT,1805,0.01
193,Designed,Medium,IT,635,0.66
194,Developed,Medium,IT,134,0.54
195,Automated,Medium,IT,1651,0.51
196,Designed,Low,IT,955,0.33
197,Implemented,High,IT,1307,0.78
198,Led,Medium,IT,143,0.84
199,Implemented,Medium,IT,939,0.61
200,Optimized,Medium,IT,1994,0.7
201,Implemented,Medium,IT,1685,0.62
202,Automated,Medium,IT,600,0.41
203,Developed,Low,IT,683,0.41
204,Architected,Medium,IT,101,0.4
205,Automated,High,IT,914,0.63
206,Implemented,Medium,IT,1819,0.63
207,Developed,High,IT,237,0.12
208,Automated,Medium,IT,1910,0.46
209,Developed,High,IT,1679,0.2
210,Developed,Medium,IT,575,0.36
211,Led,Low,IT,318,0.87
212,Led,Medium,IT,1335,0.51
213,Designed,Medium,IT,1072,0.74
214,Optimized,High,IT,788,0.01
215,Automated,High,IT,707,0.51
216,Optimized,Low,IT,1926,0.68
217,Optimized,Low,IT,1822,0.52
218,Developed,Low,IT,1868,0.91
219,Automated,High,IT,344,0.37
220,Developed,High,IT,66,0.11
221,Developed,Low,IT,1798,0.05
222,Automated,Low,IT,480,0.64
223,Architected,Medium,IT,1107,0.46
224,Implemented,Medium,IT,810,0.36
225,Developed,Low,IT,122,0.6
226,Implemented,Medium,IT,928,0.99
227,Developed,Medium,IT,1822,0.21
228,Led,High,IT,1754,0.53
229,Optimized,Medium,IT,1188,0.21
230,Automated,High,IT,1829,0.77
231,Implemented,Low,IT,1338,0.81
232,Implemented,Low,IT,1336,0.97
233,Architected,Medium,IT,15,0.43
234,Architected,Low,IT,148,0.12
235,Architected,Medium,IT,682,0.95
236,Developed,Medium,IT,1403,0.36
237,Designed,High,IT,1360,0.39
238,Architected,High,IT,1897,0.39
239,Automated,Medium,IT,1697,0.45
240,Designed,High,IT,1634,0.15
241,Optimized,High,IT,870,0.01
242,Architected,Medium,IT,69,0.69
243,Architected,High,IT,784,0.38
244,Developed,High,IT,933,0.35
245,Designed,High,IT,1794,0.26
246,Implemented,Low,IT,627,0.17
247,Automated,High,IT,790,0.74
248,Architected,Low,IT,1260,0.89
249,Architected,Medium,IT,1552,0.52
250,Implemented,High,IT,492,0.82
251,Optimized,Low,IT,1605,0.06
252,Architected,Medium,IT,1719,0.58
253,Automated,Medium,IT,1577,0.79
254,Designed,Medium,IT,1291,0.46
255,Optimized,Low,IT,592,0.56
256,Designed,Low,IT,293,0.85
257,Architected,High,IT,941,0.25
258,Optimized,Medium,IT,1263,0.75
259,Developed,Medium,IT,904,0.04
260,Developed,High,IT,255,0.36
261,Automated,Low,IT,898,0.89
262,Led,Low,IT,1353,0.06
263,Developed,Low,IT,949,0.8
264,Optimized,High,IT,1326,0.93
265,Led,Low,IT,687,0.48
266,Designed,Medium,IT,690,0.39
267,Implemented,High,IT,1491,0.21
268,Architected,Medium,IT,743,0.17
269,Automated,High,IT,1066,0.81
270,Led,Low,IT,1707,0.72
271,Led,High,IT,1754,0.75
272,Architected,Medium,IT,591,0.95
273,Optimized,Medium,IT,566,0.53
274,Implemented,High,IT,276,0.43
275,Led,Low,IT,1963,0.77
276,Developed,Low,IT,505,0.7
277,Developed,High,IT,1703,0.59
278,Led,Low,IT,393,0.32
279,Developed,High,IT,1982,0.11
280,Implemented,High,IT,1906,0.51
281,Developed,Low,IT,1076,0.96
282,Optimized,Medium,IT,1073,0.92
283,Developed,Low,IT,165,0.2
284,Automated,Medium,IT,750,0.29
285,Architected,Low,IT,1519,0.68
286,Implemented,Medium,IT,690,0.94
287,Developed,High,IT,1504,0.18
288,Implemented,High,IT,1000,0.48
289,Optimized,High,IT,426,0.11
290,Designed,Low,IT,62,0.3
291,Architected,High,IT,16,0.74
292,Optimized,High,IT,1471,0.2
293,Optimized,Low,IT,1499,0.65
294,Led,Low,IT,241,0.02
295,Automated,Medium,IT,785,0.54
296,Led,Medium,IT,1684,0.95
297,Developed,High,IT,177,0.39
298,Architected,Low,IT,1874,0.81
299,Developed,High,IT,1692,0.97
300,Implemented,High,IT,229,0.94
301,Automated,High,IT,1116,0.8
302,Developed,High,IT,492,0.21
303,Led,Low,IT,939,0.75
304,Led,Medium,IT,137,0.92
305,Automated,High,IT,1189,0.19
306,Developed,High,IT,345,0.54
307,Developed,Medium,IT,630,0.18
308,Implemented,High,IT,108,0.56
309,Developed,High,IT,796,0.94
310,Developed,Low,IT,1474,0.56
311,Architected,Low,IT,1841,0.16
312,Architected,High,IT,4,0.31
313,Automated,High,IT,136,0.1
314,Designed,Low,IT,1379,0.34
315,Architected,High,IT,1621,0.38
316,Designed,Low,IT,646,0.92
317,Automated,High,IT,1608,0.42
318,Automated,Low,IT,1742,0.72
319,Automated,Medium,IT,877,0.57
320,Automated,High,IT,833,0.75
321,Automated,Medium,IT,1041,0.81
322,Architected,Medium,IT,1336,0.82
323,Implemented,High,IT,802,0.06
324,Designed,High,IT,1071,0.05
325,Designed,Low,IT,370,0.75
326,Designed,Low,IT,1063,0.96
327,Designed,Low,IT,1447,0.09
328,Optimized,High,IT,1954,0.41
329,Designed,Medium,IT,451,0.53
330,Implemented,Low,IT,344,0.97
331,Automated,Medium,IT,1197,0.83
332,Architected,Medium,IT,254,0.15
333,Developed,High,IT,226,0.32
334,Implemented,Medium,IT,1945,0.54
335,Implemented,High,IT,1378,0.48
336,Implemented,Low,IT,191,0.41
337,Developed,High,IT,412,0.24
338,Led,Medium,IT,34,0.41
339,Optimized,Medium,IT,1089,0.08
340,Developed,Low,IT,981,0.64
341,Led,Low,IT,445,0.48
342,Automated,Medium,IT,257,0.46
343,Led,Low,IT,467,0.9
344,Optimized,Low,IT,501,0.86
345,Designed,High,IT,670,0.07
346,Optimized,Low,IT,429,0.92
347,Developed,Medium,IT,1262,0.47
348,Automated,High,IT,1408,0.12
349,Optimized,Low,IT,1955,0.21
350,Developed,Low,IT,38,0.07
351,Designed,Medium,IT,167,0.43
352,Designed,High,IT,10,0.2
353,Led,High,IT,1687,0.65
354,Implemented,Low,IT,660,0.07
355,Architected,Low,IT,339,0.95
356,Optimized,Low,IT,490,0.94
357,Architected,High,IT,998,0.98
358,Designed,High,IT,1555,0.17
359,Implemented,Low,IT,1470,0.11
360,Implemented,Low,IT,896,0.62
361,Implemented,Medium,IT,1229,0.21
362,Implemented,Medium,IT,628,0.91
363,Developed,Low,IT,1761,0.33
364,Designed,High,IT,1680,0.11
365,Designed,Low,IT,378,0.26
366,Optimized,High,IT,869,0.34
367,Optimized,High,IT,77,0.79
368,Architected,Low,IT,39,0.91
369,Designed,Medium,IT,897,0.95
370,Architected,High,IT,984,0.39
371,Architected,Medium,IT,1756,0.98
372,Implemented,Medium,IT,1172,0.63
373,Architected,Low,IT,1895,0.36
374,Developed,Medium,IT,1535,0.91
375,Led,Medium,IT,187,0.88
376,Led,Low,IT,1153,0.13
377,Automated,Low,IT,431,0.74
378,Implemented,Medium,IT,558,0.38
379,Optimized,Medium,IT,1706,0.6
380,Optimized,Low,IT,1244,0.99
381,Implemented,Low,IT,1915,0.49
382,Automated,Medium,IT,1852,0.6
383,Designed,Medium,IT,1529,0.78
384,Automated,Low,IT,1318,0.6
385,Automated,Medium,IT,1925,0.47
386,Led,Low,IT,1982,0.09
387,Optimized,High,IT,629,0.31
388,Architected,Low,IT,647,0.89
389,Architected,High,IT,632,0.99
390,Automated,Low,IT,89,0.14
391,Designed,Low,IT,892,0.92
392,Developed,High,IT,1788,0.18
393,Optimized,High,IT,991,0.28
394,Automated,High,IT,1690,0.38
395,Designed,High,IT,702,0.98
396,Designed,High,IT,263,0.91
397,Automated,High,IT,1697,0.11
398,Designed,High,IT,1704,0.84
399,Architected,Medium,IT,1492,0.56
400,Implemented,Low,IT,1195,0.98
401,Optimized,Medium,IT,1500,0.83
402,Architected,High,IT,40,0.93
403,Developed,High,IT,850,0.71
404,Implemented,Medium,IT,1606,0.26
405,Developed,Low,IT,652,0.48
406,Architected,High,IT,301,0.73
407,Designed,High,IT,47,0.08
408,Implemented,Medium,IT,1428,0.09
409,Developed,Medium,IT,980,0.98
410,Implemented,High,IT,1313,0.83
411,Optimized,Medium,IT,1970,0.24
412,Architected,High,IT,1155,0.12
413,Architected,Low,IT,1409,0.59
414,Architected,Low,IT,841,0.41
415,Developed,High,IT,459,0.27
416,Developed,High,IT,965,0.13
417,Optimized,High,IT,861,1.0
418,Architected,Low,IT,1569,0.48
419,Developed,Medium,IT,231,0.58
420,Developed,Medium,IT,467,0.47
421,Optimized,Low,IT,1963,0.74
422,Led,High,IT,288,0.0
423,Developed,Low,IT,936,0.65
424,Architected,Low,IT,487,0.56
425,Led,High,IT,1614,0.89
426,Designed,Medium,IT,283,0.8
427,Architected,Medium,IT,1955,0.28
428,Automated,Low,IT,997,0.72
429,Designed,Low,IT,664,0.65
430,Automated,High,IT,1317,0.3
431,Implemented,Medium,IT,1390,0.14
432,Implemented,Medium,IT,1271,0.57
433,Automated,High,IT,155,0.69
434,Automated,High,IT,1925,0.38
435,Designed,Medium,IT,661,0.28
436,Led,High,IT,124,0.35
437,Automated,Medium,IT,1863,0.37
438,Architected,High,IT,574,0.88
439,Optimized,High,IT,356,0.63
440,Architected,Medium,IT,530,0.25
441,Designed,High,IT,691,0.78
442,Automated,Medium,IT,1460,0.96
443,Architected,Medium,IT,826,0.66
444,Automated,Low,IT,1163,0.64
445,Optimized,Low,IT,803,0.27
446,Optimized,Low,IT,227,0.11
447,Led,High,IT,1689,0.59
448,Implemented,Low,IT,251,0.02
449,Led,Low,IT,1796,0.17
450,Implemented,Medium,IT,1289,0.26
451,Designed,Medium,IT,388,0.84
452,Developed,Low,IT,1632,0.74
453,Developed,Low,IT,14,0.79
454,Automated,High,IT,1501,0.07
455,Developed,High,IT,943,0.09
456,Designed,Low,IT,769,0.61
457,Led,High,IT,1681,0.1
458,Designed,Medium,IT,276,0.41
459,Led,Low,IT,895,0.6
460,Automated,High,IT,1103,0.86
461,Designed,Low,IT,674,0.69
462,Automated,Medium,IT,1686,0.29
463,Led,Low,IT,1171,0.09
464,Automated,Medium,IT,1079,0.78
465,Optimized,Low,IT,1810,0.67
466,Implemented,High,IT,1728,0.61
467,Implemented,Low,IT,1015,0.98
468,Led,High,IT,112,0.34
469,Architected,High,IT,25,0.16
470,Designed,Low,IT,1693,0.72
471,Optimized,Medium,IT,1293,0.99
472,Automated,Low,IT,1279,0.36
473,Implemented,Medium,IT,72,0.14
474,Developed,High,IT,218,0.75
475,Led,High,IT,1700,0.03
476,Developed,Medium,IT,503,0.35
477,Led,Medium,IT,822,0.01
478,Designed,Low,IT,1771,0.3
479,Automated,Low,IT,1785,0.03
480,Automated,Low,IT,1966,0.74
481,Architected,Medium,IT,520,0.77
482,Implemented,High,IT,296,0.84
483,Implemented,High,IT,1834,0.23
484,Designed,High,IT,1822,0.18
485,Implemented,High,IT,1870,0.73
486,Implemented,Low,IT,1312,0.48
487,Led,Low,IT,421,0.4
488,Architected,Medium,IT,1809,0.56
489,Implemented,Low,IT,1687,0.95
490,Developed,Medium,IT,1523,0.56
491,Optimized,Low,IT,338,0.23
492,Developed,Medium,IT,1434,0.97
493,Optimized,Low,IT,1403,0.32
494,Automated,High,IT,118,0.83
495,Led,Low,IT,1861,0.04
496,Led,Low,IT,1815,0.47
497,Implemented,Medium,IT,731,0.54
498,Implemented,Low,IT,184,0.77
499,Implemented,High,IT,1945,0.41
500,Automated,High,IT,1845,0.92
501,Architected,Medium,IT,438,0.9
502,Developed,Medium,IT,1281,0.07
503,Architected,High,IT,1505,0.83
504,Automated,High,IT,496,0.21
505,Architected,Low,IT,763,0.89
506,Optimized,Low,IT,1273,0.23
507,Optimized,Low,IT,1949,0.64
508,Automated,Medium,IT,531,0.17
509,Automated,Low,IT,1616,0.11
510,Optimized,Medium,IT,1020,0.83
511,Designed,High,IT,782,0.8
512,Implemented,Medium,IT,111,0.69
513,Implemented,Low,IT,943,0.48
514,Implemented,Medium,IT,563,0.21
515,Optimized,High,IT,329,0.86
516,Developed,Medium,IT,1212,0.14
517,Architected,High,IT,1179,0.27
518,Developed,Low,IT,249,0.1
519,Designed,High,IT,24,0.66
520,Designed,High,IT,1423,0.77
521,Automated,Low,IT,1958,0.67
522,Developed,Low,IT,388,0.23
523,Automated,Low,IT,1734,0.79
524,Implemented,Medium,IT,51,0.74
525,Implemented,Medium,IT,551,0.18
526,Led,High,IT,785,0.26
527,Architected,Low,IT,6,0.71
528,Implemented,Low,IT,1633,0.83
529,Developed,High,IT,1218,0.95
530,Designed,Low,IT,1684,0.6
531,Designed,High,IT,1059,0.3
532,Developed,High,IT,30,0.69
533,Architected,High,IT,1111,0.53
534,Designed,High,IT,932,0.7
535,Designed,High,IT,1087,0.95
536,Developed,High,IT,1016,0.57
537,Architected,Low,IT,495,0.37
538,Optimized,Medium,IT,457,0.26
539,Led,High,IT,1590,0.48
540,Designed,Medium,IT,1997,0.39
541,Architected,Medium,IT,687,0.2
542,Architected,Medium,IT,1908,0.33
543,Optimized,High,IT,234,0.09
544,Architected,High,IT,1325,0.55
545,Automated,Low,IT,597,0.8
546,Automated,Low,IT,185,0.81
547,Automated,Low,IT,1706,0.0
548,Automated,High,IT,1892,0.52
549,Architected,Medium,IT,1539,0.48
550,Led,High,IT,1596,0.99
551,Automated,Low,IT,1656,0.02
552,Implemented,Medium,IT,1595,0.52
553,Implemented,Low,IT,899,0.08
554,Automated,Medium,IT,895,0.54
555,Automated,Medium,IT,1138,0.75
556,Developed,Low,IT,1045,0.86
557,Developed,Medium,IT,1485,0.01
558,Automated,Low,IT,1657,0.39
559,Architected,Low,IT,746,0.2
560,Architected,High,IT,362,0.36
561,Led,High,IT,1269,0.03
562,Architected,High,IT,430,0.7
563,Led,Medium,IT,1453,0.93
564,Implemented,Low,IT,56,0.55
565,Architected,High,IT,1285,0.41
566,Developed,High,IT,786,0.55
567,Implemented,Medium,IT,46,0.1
568,Automated,Low,IT,1783,0.5
569,Developed,Low,IT,1366,0.08
570,Implemented,High,IT,1543,0.96
571,Developed,Low,IT,276,0.36
572,Automated,Low,IT,806,0.58
573,Optimized,High,IT,664,0.98
574,Architected,Medium,IT,900,0.55
575,Architected,Low,IT,584,0.58
576,Developed,Low,IT,785,0.5
577,Architected,High,IT,1890,0.26
578,Developed,High,IT,799,0.99
579,Implemented,High,IT,1126,0.18
580,Automated,Medium,IT,1253,0.31
581,Optimized,Medium,IT,514,0.51
582,Automated,High,IT,974,0.26
583,Automated,High,IT,1749,0.45
584,Led,Low,IT,1230,0.19
585,Developed,High,IT,901,0.95
586,Designed,Medium,IT,1206,0.86
587,Developed,High,IT,1097,0.87
588,Architected,Medium,IT,767,0.55
589,Architected,Low,IT,413,0.77
590,Implemented,Low,IT,748,0.85
591,Architected,Low,IT,1052,0.04
592,Designed,Low,IT,1591,0.08
593,Architected,Low,IT,1479,0.79
594,Led,Low,IT,1340,0.56
595,Architected,High,IT,1966,0.79
596,Implemented,High,IT,315,0.36
597,Implemented,Low,IT,184,0.55
598,Architected,Medium,IT,683,0.52
599,Developed,Low,IT,1915,0.61
600,Implemented,High,IT,1397,0.11
601,Designed,High,IT,964,0.04
602,Implemented,Low,IT,1076,0.1
603,Led,Low,IT,295,0.69
604,Implemented,High,IT,87,0.57
605,Developed,Low,IT,674,0.97
606,Architected,High,IT,1449,0.37
607,Designed,Low,IT,1492,0.32
608,Led,High,IT,547,0.7
609,Led,Medium,IT,575,0.32
610,Architected,Medium,IT,1040,0.0
611,Automated,Medium,IT,961,0.36
612,Developed,Medium,IT,435,0.31
613,Led,Low,IT,1004,0.41
614,Designed,High,IT,159,0.11
615,Developed,Low,IT,1040,0.91
616,Implemented,Medium,IT,471,0.97
617,Architected,Medium,IT,1886,0.71
618,Developed,High,IT,716,0.81
619,Architected,High,IT,528,0.75
620,Developed,Medium,IT,1481,0.9
621,Architected,High,IT,756,0.06
622,Implemented,Low,IT,218,0.66
623,Designed,Medium,IT,1522,0.47
624,Designed,Medium,IT,1345,0.51
625,Automated,Medium,IT,1821,0.47
626,Optimized,Low,IT,1810,0.4
627,Led,High,IT,13,0.56
628,Led,Low,IT,1923,0.59
629,Automated,Medium,IT,588,0.51
630,Developed,High,IT,115,0.76
631,Developed,Medium,IT,1031,0.1
632,Developed,Low,IT,1494,0.92
633,Designed,Low,IT,709,1.0
634,Implemented,Low,IT,1133,0.21
635,Implemented,Medium,IT,1701,0.27
636,Automated,Medium,IT,954,0.77
637,Optimized,High,IT,82,0.12
638,Automated,Medium,IT,232,0.99
639,Led,High,IT,1922,0.93
640,Architected,Low,IT,148,0.36
641,Architected,High,IT,1050,1.0
642,Optimized,Medium,IT,840,0.8
643,Optimized,Medium,IT,789,0.28
644,Designed,Medium,IT,937,0.12
645,Implemented,High,IT,579,0.24
646,Automated,High,IT,862,0.07
647,Automated,Medium,IT,826,0.2
648,Implemented,Low,IT,280,0.2
649,Optimized,High,IT,1596,0.85
650,Designed,Medium,IT,1183,0.58
651,Developed,Medium,IT,942,0.79
652,Developed,High,IT,953,0.37
653,Developed,High,IT,632,1.0
654,Developed,High,IT,852,0.68
655,Automated,Medium,IT,1336,0.08
656,Developed,Medium,IT,1077,0.67
657,Automated,Medium,IT,427,0.07
658,Implemented,Medium,IT,478,0.51
659,Developed,High,IT,1033,0.9
660,Developed,Low,IT,893,0.77
661,Implemented,Medium,IT,856,0.76
662,Automated,High,IT,886,0.8
663,Optimized,Low,IT,789,0.57
664,Designed,Medium,IT,1487,0.96
665,Developed,High,IT,530,0.08
666,Automated,High,IT,1325,0.25
667,Architected,Low,IT,530,0.54
668,Architected,Low,IT,702,0.08
669,Architected,Medium,IT,477,0.94
670,Designed,High,IT,384,0.9
671,Led,Low,IT,978,0.86
672,Led,Low,IT,1206,0.1
673,Developed,Medium,IT,1361,0.33
674,Architected,Low,IT,770,0.72
675,Automated,Low,IT,1389,0.13
676,Automated,Medium,IT,1254,0.52
677,Developed,Medium,IT,1245,0.24
678,Optimized,Low,IT,91,0.5
679,Architected,High,IT,454,0.64
680,Led,Medium,IT,1570,0.13
681,Automated,Medium,IT,660,0.54
682,Developed,Low,IT,266,0.31
683,Designed,Low,IT,1559,0.19
684,Optimized,High,IT,890,0.1
685,Led,Low,IT,868,0.72
686,Implemented,High,IT,1282,0.7
687,Automated,Medium,IT,1477,1.0
688,Led,Low,IT,79,0.07
689,Optimized,Low,IT,180,0.36
690,Implemented,Medium,IT,1632,0.78
691,Architected,High,IT,1645,0.89
692,Architected,Low,IT,691,0.8
693,Designed,Medium,IT,1596,0.01
694,Developed,High,IT,643,0.06
695,Led,Low,IT,1073,0.5
696,Architected,Low,IT,41,0.61
697,Architected,Low,IT,1513,0.02
698,Automated,Low,IT,1779,0.16
699,Developed,Low,IT,1376,0.16
700,Architected,Medium,IT,73,0.72
701,Developed,Low,IT,241,0.23
702,Architected,Medium,IT,46,0.22
703,Architected,High,IT,1719,0.42
704,Optimized,Medium,IT,1536,0.71
705,Designed,Low,IT,901,0.87
706,Architected,Medium,IT,1186,0.56
707,Developed,Medium,IT,1114,0.55
708,Optimized,High,IT,265,0.45
709,Developed,High,IT,1154,0.27
710,Implemented,Medium,IT,1003,0.51
711,Led,Medium,IT,1663,0.63
712,Implemented,Low,IT,1166,0.41
713,Developed,Medium,IT,1499,0.35
714,Architected,High,IT,1240,0.84
715,Architected,Medium,IT,1882,0.42
716,Optimized,Medium,IT,1707,0.23
717,Designed,Medium,IT,220,0.68
718,Architected,Low,IT,764,0.29
719,Implemented,High,IT,1469,0.62
720,Optimized,High,IT,1800,0.92
721,Implemented,Low,IT,304,0.05
722,Designed,Low,IT,1680,0.25
723,Led,High,IT,1270,0.45
724,Implemented,High,IT,735,0.26
725,Architected,Low,IT,1540,0.34
726,Automated,High,IT,355,0.26
727,Developed,High,IT,499,0.46
728,Led,Low,IT,1593,0.12
729,Optimized,Low,IT,1924,0.96
730,Designed,Medium,IT,242,0.76
731,Implemented,Low,IT,1645,0.31
732,Developed,Medium,IT,865,0.19
733,Implemented,Low,IT,1251,0.49
734,Architected,Low,IT,898,0.51
735,Architected,Low,IT,1291,0.4
736,Implemented,Low,IT,733,0.07
737,Implemented,Medium,IT,1119,0.66
738,Led,Low,IT,804,0.89
739,Led,Low,IT,70,0.96
740,Automated,Medium,IT,989,0.41
741,Designed,Medium,IT,322,0.6
742,Led,Low,IT,583,0.65
743,Led,High,IT,320,0.21
744,Led,Medium,IT,1504,0.4
745,Optimized,High,IT,746,0.16
746,Automated,Medium,IT,10,0.61
747,Architected,Low,IT,1080,0.45
